,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Jane and Louise Wilson at 303 Gallery, John Armleder, Olivier Mosset, Haim Steinbach at Nicole Klagsbrun, “The Future as Disruption” at the Kitchen and more.",https://www.nytimes.com/2008/08/01/arts/design/01gall.html,"Jane and Louise Wilson at 303 Gallery, John Armleder, Olivier Mosset, Haim Steinbach at Nicole Klagsbrun, “The Future as Disruption” at the Kitchen and more.",Jane and Louise Wilson,E,29,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/01/arts/01gall_190.jpg', 'height': 229, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/01/arts/01gall_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/08/01/arts/01gall_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Art', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Wilson, Louise', 'rank': 2, 'major': 'N'}]",2008-08-01T04:00:00+0000,article,Weekend,Arts,Art & Design,Review,nyt://article/fe9bb18f-8889-5309-a89a-ecf6a37746f7,1113,nyt://article/fe9bb18f-8889-5309-a89a-ecf6a37746f7,Art in Review,,,Art in Review,,,,By The New York Times,[],The New York Times
1,Millions of dollars in federal contracts intended for small businesses reportedly were awarded to companies that had not qualified or had won the contracts fraudulently.,https://www.nytimes.com/2008/07/24/business/smallbusiness/24sba.html,Millions of dollars in federal contracts intended for small businesses reportedly were awarded to companies that had not qualified or had won the contracts fraudulently.,WASHINGTON  Two government reports have uncovered millions of dollars in federal contracts that were supposed to go to small businesses but instead were awarded to companies that had not qualified or had obtained the contracts fraudulently.,C,4,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/24/business/24sba.190.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/24/business/24sba.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/07/24/business/24sba.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Washington (DC)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'CONTRACTS', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Velazquez, Nydia M', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Small Business', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Government Accountability Office', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Small Business Administration', 'rank': 8, 'major': 'N'}]",2008-07-24T04:00:00+0000,article,Business,Business Day,Entrepreneurship,News,nyt://article/41f87f90-7c37-5404-8705-35d77f5da2c3,974,nyt://article/41f87f90-7c37-5404-8705-35d77f5da2c3,Reports Find Errors and Fraud in Small Business Administration Contracts,,,Reports Find Errors and Fraud in Small Business Administration Contracts,,,,By Elizabeth Olson,"[{'firstname': 'Elizabeth', 'middlename': None, 'lastname': 'Olson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,"In Las Vegas, the United States men’s basketball team began its final workouts before heading over to China.",https://beijing2008.blogs.nytimes.com/2008/07/21/usa-basketball-potpourri/,"In Las Vegas, the United States men’s basketball team began its final workouts before heading over to China.","LAS VEGAS – The setting for the final leg of the rebranding of USA Basketball fittingly began in the humblest of places. At Valley High School, in a nondescript building about two miles of the Strip, Team USA began its final workouts before heading over to China to begin its project of reclaiming what the players and coaches perceive as the country’s rightful spot atop the world basketball hierarchy. ",,,The New York Times,[],[],2008-07-22T03:52:15+0000,article,,Sports,Olympics,News,nyt://article/6efccda8-e504-5b9e-a3e2-352761a6c9f3,579,nyt://article/6efccda8-e504-5b9e-a3e2-352761a6c9f3,USA Basketball Potpourri,Rings,,,,,,By Pete Thamel,"[{'firstname': 'Pete', 'middlename': None, 'lastname': 'Thamel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,POP.,https://www.nytimes.com/2008/07/18/arts/music/18pop.html,POP.,POP,E,23,The New York Times,[],[],2008-07-18T04:00:00+0000,article,Weekend,Arts,Music,Schedule,nyt://article/2c10a93d-545c-50ff-9c8d-7dba69ef72b3,1980,nyt://article/2c10a93d-545c-50ff-9c8d-7dba69ef72b3,Pop and Rock Listings,,,The Listings ,,,,By The New York Times,[],The New York Times
4,Dr. DeBakey’s innovative heart and blood vessel operations made him one of America’s most influential doctors.,https://www.nytimes.com/2008/07/13/health/12cnd-debakey.html,Dr. DeBakey’s innovative heart and blood vessel operations made him one of America’s most influential doctors.,"Dr. Michael E. DeBakey, whose innovative heart and blood vessel operations made him one of the most influential doctors in the United States, died Friday night in Houston, where he lived. He was 99.",A,,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-600.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2008/07/12/obituaries/12debakey-600.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-600.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-395.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/07/12/obituaries/12debakey-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2008-07-13T04:00:00+0000,article,ContinuousNews,Health,,Obituary (Obit),nyt://article/463b5768-a311-5a88-87b5-2acf20f24fb0,2873,nyt://article/463b5768-a311-5a88-87b5-2acf20f24fb0,"Dr. Michael E. DeBakey, Rebuilder of Hearts, Dies at 99",,,,,,,By Lawrence K. Altman,"[{'firstname': 'Lawrence', 'middlename': 'K.', 'lastname': 'Altman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,Dr. DeBakey’s innovative operations on hearts and blood vessels made him one of the most influential U.S. doctors.,https://www.nytimes.com/2008/07/13/health/13debakey.html,Dr. DeBakey’s innovative operations on hearts and blood vessels made him one of the most influential U.S. doctors.,"Dr. Michael E. DeBakey, whose innovative heart and blood vessel operations made him one of the most influential doctors in the United States, died Friday night in Houston, where he lived. He was 99.",A,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-600.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2008/07/12/obituaries/12debakey-600.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-600.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-395.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/12/obituaries/12debakey-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/07/12/obituaries/12debakey-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Baylor College of Medicine', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Heart', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Surgery and Surgeons', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'DeBakey, Michael E', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 6, 'major': 'N'}]",2008-07-13T04:00:00+0000,article,National,Health,,Obituary (Obit),nyt://article/65eff0e8-86f4-5750-8655-b4daaa1d2a9c,2816,nyt://article/65eff0e8-86f4-5750-8655-b4daaa1d2a9c,"Michael DeBakey, Rebuilder of Hearts, Dies at 99",,,"Michael DeBakey, 99, Rebuilder of Hearts, Dies",,,,By Lawrence K. Altman,"[{'firstname': 'Lawrence', 'middlename': 'K.', 'lastname': 'Altman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,A question about using straws at the Bronx Zoo.,https://www.nytimes.com/2008/07/13/nyregion/thecity/13fyi.html,A question about using straws at the Bronx Zoo.,Slurping at the Zoo,CY,2,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}]",2008-07-13T04:00:00+0000,article,CityWeekly,New York,The City,Question,nyt://article/ef39de36-1d33-575a-a1a4-c00cb23889ec,493,nyt://article/ef39de36-1d33-575a-a1a4-c00cb23889ec,Slurping at the Zoo,F. Y. I.,,,,,,By Michael Pollak,"[{'firstname': 'Michael', 'middlename': None, 'lastname': 'Pollak', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,"One by one, John Devaney sold his treasures, hoping to forestall what was in the end inevitable. He sold his Renoir and his Gulfstream, his home and his helicopter. Even his cherished yacht – gone. ",https://dealbook.nytimes.com/2008/07/10/hedge-fund-manager-describes-rock-bottom/,,"One by one, John Devaney sold his treasures, hoping to forestall what was in the end inevitable. He sold his Renoir and his Gulfstream, his home and his helicopter. Even his cherished yacht – gone. ",,,The New York Times,[],[],2008-07-10T12:30:39+0000,article,Business,Business Day,,News,nyt://article/96fc2862-05d3-57ee-a63e-a0eb23c29ecc,482,nyt://article/96fc2862-05d3-57ee-a63e-a0eb23c29ecc,Hedge Fund Manager Describes Rock Bottom,DealBook,,,,,,By Dealbook,"[{'firstname': 'Dealbook', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,"One by one, John Devaney sold his treasures, hoping to forestall what was in the end inevitable. He sold his Renoir and his Gulfstream, his home and his helicopter. Even his cherished yacht — gone.",https://www.nytimes.com/2008/07/10/business/worldbusiness/10iht-10fund.14378752.html,,"One by one, John Devaney sold his treasures, hoping to forestall what was in the end inevitable. He sold his Renoir and his Gulfstream, his home and his helicopter. Even his cherished yacht — gone.",,,International Herald Tribune,[],[],2008-07-10T05:00:00+0000,article,IHT News,Business Day,International Business,News,nyt://article/0aca09af-9b2d-51c8-8143-c5cd492053f4,602,nyt://article/0aca09af-9b2d-51c8-8143-c5cd492053f4,Hedge fund manager describes rock bottom,,,Hedge fund manager describes rock bottom,,,,By Louise Story,"[{'firstname': 'Louise', 'middlename': None, 'lastname': 'Story', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"John Devaney, who made and then lost a fortune trading mortgage investments, has finally called it quits. He shut his hedge fund, and told his investors that all their money was gone too.",https://www.nytimes.com/2008/07/10/business/10fund.html,"John Devaney, who made and then lost a fortune trading mortgage investments, has finally called it quits. He shut his hedge fund, and told his investors that all their money was gone too.","One by one, John Devaney sold his treasures, hoping to forestall what was in the end inevitable. He sold his Renoir and his Gulfstream, his home and his helicopter. Even his cherished yacht  gone. ",C,3,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/10/business/10devaney.450.jpg', 'height': 680, 'width': 450, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/10/business/10devaney.190.jpg', 'height': 245, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/07/10/business/10devaney.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/07/10/business/10devaney.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Devaney, John', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Hedge Funds', 'rank': 2, 'major': 'N'}]",2008-07-10T04:00:00+0000,article,Business,Business Day,,News,nyt://article/b2a8476b-df26-5b40-8753-6e3300be0292,632,nyt://article/b2a8476b-df26-5b40-8753-6e3300be0292,Hedge Fund Manager Describes Rock Bottom,,,Hedge Fund Manager Describes Rock Bottom,,,,By Louise Story,"[{'firstname': 'Louise', 'middlename': None, 'lastname': 'Story', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
