,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,We should be much more aggressive in recovering money stolen from Medicare and Medicaid.,https://www.nytimes.com/2011/09/27/opinion/to-save-on-health-care-first-crack-down-on-fraud.html,We should be much more aggressive in recovering money stolen from Medicare and Medicaid.,"Santa Barbara, Calif.",The New York Times,[],"[{'name': 'subject', 'value': 'Medicare', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicaid', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Quest Diagnostics Inc', 'rank': 5, 'major': 'N'}]",2011-09-27T00:46:56+0000,article,OpEd,Opinion,Op-Ed,nyt://article/21602315-9f3e-52ad-8ffa-ac7bb0275c62,794,nyt://article/21602315-9f3e-52ad-8ffa-ac7bb0275c62,"To Save on Health Care, First Crack Down on Fraud",Op-Ed Contributor,,"To Save on Health Care, First Crack Down on Fraud",,,,By Kathleen Sharp,"[{'firstname': 'Kathleen', 'middlename': None, 'lastname': 'Sharp', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
1,"“Restorative justice,” an alternative to punishment for violent criminals, has gained backing in San Francisco, even among some candidates for district attorney.",https://www.nytimes.com/2011/09/18/us/prosecutor-candidates-support-restorative-justice.html,"“Restorative justice,” an alternative to punishment for violent criminals, has gained backing in San Francisco, even among some candidates for district attorney.","On Wednesday, Betty Renee Ricks stood inside San Francisco County Jail and told 40 inmates how she was first prostituted at age 12, and how one pimp broke her teeth, beat her with hangers until she bled and poured Brut cologne into her wounds.",The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/09/18/us/18BCDISCTRICTATTORNEY3/18BCDISCTRICTATTORNEY3-blog480.jpg', 'height': 294, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/09/18/us/18BCDISCTRICTATTORNEY3/18BCDISCTRICTATTORNEY3-jumbo.jpg', 'height': 628, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/09/18/us/18BCDISCTRICTATTORNEY3/18BCDISCTRICTATTORNEY3-popup.jpg', 'height': 399, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/09/18/us/18BCDISCTRICTATTORNEY3/18BCDISCTRICTATTORNEY3-articleInline.jpg', 'height': 117, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/09/18/us/18BCDISCTRICTATTORNEY3/18BCDISCTRICTATTORNEY3-sfSpan.jpg', 'height': 242, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/09/18/us/18BCDISCTRICTATTORNEY3/18BCDISCTRICTATTORNEY3-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/09/18/us/18BCDISCTRICTATTORNEY3/18BCDISCTRICTATTORNEY3-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Crime and Criminals', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 2, 'major': 'N'}]",2011-09-18T01:44:25+0000,article,National,U.S.,News,nyt://article/5aeb9330-539f-56b9-beb6-42df238cfc50,1183,nyt://article/5aeb9330-539f-56b9-beb6-42df238cfc50,Prosecutor Candidates Support ‘Restorative Justice’,The Bay Citizen,,Prosecutor Candidates Support ‘Restorative Justice’,,,,By Trey Bundy,"[{'firstname': 'Trey', 'middlename': None, 'lastname': 'Bundy', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,27A,
2,"The Campaign Against Marijuana Planting, whose costs are shared by the State of California and the federal government, is endangered because of California budget cuts.",https://www.nytimes.com/2011/07/29/us/29bccamp.html,"The Campaign Against Marijuana Planting, whose costs are shared by the State of California and the federal government, is endangered because of California budget cuts.","On Wednesday, a helicopter buzzed over the rugged hills of Mendocino National Forest and lowered five narcotics agents dressed in green fatigues and armed with guns, clippers and machetes. Under the bright blue sky, the crew began to cut down thousands of marijuana plants that were flourishing with the help of an irrigation system in a remote section of the forest in Tehama County.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/29/us/29bccamp/29bccamp-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2011/07/29/us/29bccamp/29bccamp-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/29/us/29bccamp/29bccamp-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/29/us/29bccamp/29bccamp-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/29/us/29bccamp/29bccamp-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/29/us/29bccamp/29bccamp-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/07/29/us/29bccamp/29bccamp-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Marijuana', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Parks and Other Recreation Areas', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 4, 'major': 'N'}]",2011-07-29T01:14:05+0000,article,National,U.S.,News,nyt://article/1e19c48d-691d-5f90-a4b4-f06fa389dcd0,1157,nyt://article/1e19c48d-691d-5f90-a4b4-f06fa389dcd0,Budget Cuts Endanger State’s Marijuana Eradication Program,The Bay Citizen,,Budget Cuts Endanger State’s Marijuana Eradication Program,,,,By Zusha Elinson,"[{'firstname': 'Zusha', 'middlename': None, 'lastname': 'Elinson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,17A,
3,"For N.F.L. Commissioner Roger Goodell and DeMaurice Smith, the head of the players union, a possible labor agreement will probably define their legacies.",https://www.nytimes.com/2011/07/23/sports/football/for-roger-goodell-and-demaurice-smith-nfl-labor-peace-within-reach.html,"For N.F.L. Commissioner Roger Goodell and DeMaurice Smith, the head of the players union, a possible labor agreement will probably define their legacies.","After the tumult of Thursday, the N.F.L. went mostly silent Friday. That was in recognition of the mourning for the Patriots owner Robert Kraft’s wife, Myra, whose funeral in Boston was attended by other owners, league officials and the players association executive director, DeMaurice Smith. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/23/sports/nfl/nfl-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2011/07/23/sports/nfl/nfl-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/23/sports/nfl/nfl-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/23/sports/nfl/nfl-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/23/sports/nfl/nfl-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/07/23/sports/nfl/nfl-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/07/23/sports/nfl/nfl-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Collective Bargaining', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League Players Assn', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Lockouts', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Smith, DeMaurice', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Labor', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 8, 'major': 'N'}]",2011-07-23T02:06:23+0000,article,Sports,Sports,News,nyt://article/c99daae3-8713-501f-9a68-be898ec23e44,990,nyt://article/c99daae3-8713-501f-9a68-be898ec23e44,Labor Peace Within Reach for Two N.F.L. Leaders,,,Labor Peace Within Reach For Two N.F.L. Leaders,,,,By Judy Battista,"[{'firstname': 'Judy', 'middlename': None, 'lastname': 'Battista', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,1,Pro Football
4,"The effort was part of a wider initiative to attack crime inside the state and across the border, including trafficking in guns, drugs and people.",https://www.nytimes.com/2011/06/09/us/09gang.html,"The effort was part of a wider initiative to attack crime inside the state and across the border, including trafficking in guns, drugs and people.","SAN FRANCISCO — The authorities in California announced Wednesday the arrest of more than 100 people suspected of being gang members in the largely agricultural Central Valley, the latest sweep by law enforcement to stem what they call a growing — and international — menace in the nation’s most populous state.",The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/06/09/us/gang/gang-blog480.jpg', 'height': 352, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/06/09/us/gang/gang-jumbo.jpg', 'height': 751, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/06/09/us/gang/gang-popup.jpg', 'height': 477, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/06/09/us/gang/gang-articleInline.jpg', 'height': 139, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/06/09/us/gang/gang-sfSpan.jpg', 'height': 290, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/06/09/us/gang/gang-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/06/09/us/gang/gang-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Crime and Criminals', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Gangs', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 4, 'major': 'N'}]",2011-06-09T03:08:26+0000,article,National,U.S.,News,nyt://article/35a68ea6-ec10-569b-8479-2b4526472999,423,nyt://article/35a68ea6-ec10-569b-8479-2b4526472999,California Raids Net Dozens Suspected of Being Gang Members,,,California Raids Net Dozens Suspected of Being Gang Members,,,,By Jesse McKinley,"[{'firstname': 'Jesse', 'middlename': None, 'lastname': 'McKinley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,19,
5,"Although independent reporting inside Syria is still blocked by the government, video posted online by Syrian activists appears to offer glimpses of new protests and clashes on Friday.",https://thelede.blogs.nytimes.com/2011/05/20/video-of-protests-and-gunfire-in-syria/,"Although independent reporting inside Syria is still blocked by the government, video posted online by Syrian activists appears to offer glimpses of new protests and clashes on Friday.","As our colleague Anthony Shadid reports, Syrians took to the streets on Friday in Homs and Hama, both in central Syria, as well as in the towns of Baniyas and Latakia along the Mediterranean coast. Government security forces responded with gunfire, killing at least 17 people, human rights activists said. ",The New York Times,[],"[{'name': 'subject', 'value': 'Middle East and North Africa Unrest (2010- )', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Assad, Bashar al-', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Twitter', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'YouTube.com', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Damascus (Syria)', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Syria', 'rank': 6, 'major': 'N'}]",2011-05-20T18:10:26+0000,article,,Blogs,,nyt://article/75d97bf3-2c50-5838-9495-4c6b2e56ec47,352,nyt://article/75d97bf3-2c50-5838-9495-4c6b2e56ec47,Video of Protests and Gunfire in Syria,The Lede,,,,,,By Elizabeth A. Harris and Robert Mackey,"[{'firstname': 'Elizabeth', 'middlename': 'A.', 'lastname': 'Harris', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Robert', 'middlename': None, 'lastname': 'Mackey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,,,
6,The campaign of Meg Whitman opted not to join a rehashing of what went right and wrong in the contest for governor.,https://www.nytimes.com/2011/01/23/us/23govs.html,The campaign of Meg Whitman opted not to join a rehashing of what went right and wrong in the contest for governor.,"BERKELEY, Calif.  Every four years, the minds  left and right  that brought you the California governor’s race get together for a collegial post-mortem at the University of California, Berkeley, on what they did right and wrong in the campaign. Coffee is served, as is  usually  political dish. ",The New York Times,[],"[{'name': 'subject', 'value': 'Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Whitman, Margaret C', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Governors (US)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 5, 'major': 'N'}]",2011-01-22T22:31:35+0000,article,National,U.S.,News,nyt://article/635a3ea8-6460-5edb-83bd-17b5b0cfdf40,611,nyt://article/635a3ea8-6460-5edb-83bd-17b5b0cfdf40,California Runner-Up Bypasses Review of Race,,,California Runner-Up Bypasses Review of Race,,,,By Jesse McKinley,"[{'firstname': 'Jesse', 'middlename': None, 'lastname': 'McKinley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,20,
7,"Behind the scenes at San Francisco City Hall, Mayor Gavin Newsom, former Mayor Willie L. Brown Jr. and Rose Pak played crucial roles in the selection of an interim mayor.",https://www.nytimes.com/2011/01/07/us/07bcmayor.html,"Behind the scenes at San Francisco City Hall, Mayor Gavin Newsom, former Mayor Willie L. Brown Jr. and Rose Pak played crucial roles in the selection of an interim mayor.","On Sunday afternoon, former Mayor Willie L. Brown Jr. made an urgent call to Rose Pak, his longtime political ally and the powerful head of the Chinatown Chamber of Commerce. Word had trickled out that San Francisco’s Board of Supervisors had narrowed the list of interim candidates to replace Mayor Gavin Newsom, the lieutenant governor-elect. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/07/us/07BCMAYOR2_span/07BCMAYOR2-articleLarge.jpg', 'height': 300, 'width': 600, 'legacy': {'xlarge': 'images/2011/01/07/us/07BCMAYOR2_span/07BCMAYOR2-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 300}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/07/us/07BCMAYOR2_span/07BCMAYOR2-articleLarge.jpg', 'height': 300, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'subject', 'value': 'Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'APPOINTMENTS AND EXECUTIVE CHANGES', 'rank': 3, 'major': 'N'}]",2011-01-07T02:22:32+0000,article,National,U.S.,News,nyt://article/3651a599-3255-5dcb-bb04-5393028a9c06,1399,nyt://article/3651a599-3255-5dcb-bb04-5393028a9c06,Behind-the-Scenes Power Politics: The Making of a Mayor,The Bay Citizen,,Behind-the-Scenes Power Politics: The Making of a Mayor,,,,By Gerry Shih,"[{'firstname': 'Gerry', 'middlename': None, 'lastname': 'Shih', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,17A,
8,"Katherine Feinstein, the daughter of Senator Dianne Feinstein, may be interested in appointment to the district attorney post in San Francisco.",https://www.nytimes.com/2010/12/10/us/10bcfeinstein.html,"Katherine Feinstein, the daughter of Senator Dianne Feinstein, may be interested in appointment to the district attorney post in San Francisco.","For three decades, Katherine Feinstein, the only child of Senator Dianne Feinstein, quietly observed the milestones in her mother’s struggle to reach the top of national politics: Two failed San Francisco mayoral campaigns before the assassination of George Moscone elevated her to mayor; a bitter and unsuccessful race for governor; and, finally, a triumphant Senate bid in 1992.",The New York Times,[],"[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Feinstein, Dianne', 'rank': 3, 'major': 'N'}]",2010-12-10T03:47:36+0000,article,National,U.S.,News,nyt://article/a0e055bf-f045-5162-b18d-a5a7184e63f3,1153,nyt://article/a0e055bf-f045-5162-b18d-a5a7184e63f3,Possible Candidate for District Attorney Carries a Powerful Name: Feinstein,The Bay Citizen,,Possible Candidate for District Attorney Carries a Powerful Name: Feinstein,,,,By Gerry Shih,"[{'firstname': 'Gerry', 'middlename': None, 'lastname': 'Shih', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,25A,
9,Labor unions celebrated a huge victory after San Francisco voters easily defeated a measure that would force city employees to contribute more toward their pensions and benefits.,https://www.nytimes.com/2010/11/05/us/05bcelection.html,Labor unions celebrated a huge victory after San Francisco voters easily defeated a measure that would force city employees to contribute more toward their pensions and benefits.,"The scene at Hi Dive, a bar on the Embarcadero tucked under the Bay Bridge, was a merry one late Tuesday night. ",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/05/us/05BCELECTION2/05BCELECTION2-jumbo.jpg', 'height': 1024, 'width': 814, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/05/us/05BCELECTION2/05BCELECTION2-popup.jpg', 'height': 450, 'width': 358, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/05/us/05BCELECTION2/05BCELECTION2-articleInline.jpg', 'height': 238, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'Pensions and Retirement Plans', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Local Government', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'National Labor Relations Board', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Adachi, Jeff', 'rank': 5, 'major': 'N'}]",2010-11-05T03:42:20+0000,article,National,U.S.,News,nyt://article/5353cb9b-36a6-5154-b5f3-6a7e6477e9c7,1374,nyt://article/5353cb9b-36a6-5154-b5f3-6a7e6477e9c7,Defeat of Proposition B Cements Labor’s Power,Bay Citizen,,Defeat of Proposition B Cements Labor’s Power,,,,By Elizabeth Lesly Stevens,"[{'firstname': 'Elizabeth', 'middlename': 'Lesly', 'lastname': 'Stevens', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,21A,
