,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page
0,“Imagine starting your life’s work at seventy-two.”,https://www.nytimes.com/2011/05/15/books/review/excerpt-the-paper-garden-by-molly-peacock.html,“Imagine starting your life’s work at seventy-two.”,Chapter One: Seedcase ,The New York Times,[],"[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}]",2011-05-13T22:46:20+0000,article,BookReview,Books,Book Review,First Chapter,nyt://article/67952f5a-ef1a-59ec-aefe-3f89185b34b5,5647,nyt://article/67952f5a-ef1a-59ec-aefe-3f89185b34b5,‘The Paper Garden’,Excerpt,,,,,,By Molly Peacock,"[{'firstname': 'Molly', 'middlename': None, 'lastname': 'Peacock', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,
1,"Elliott Advisors, the activist hedge fund, has agreed to back the management of National Express at the British transport operator’s annual shareholder meeting on Tuesday.",https://dealbook.nytimes.com/2011/05/10/national-express-and-elliott-reach-11th-hour-deal/,"Elliott Advisors, the activist hedge fund, has agreed to back the management of National Express at the British transport operator’s annual shareholder meeting on Tuesday.",National Express and the activist hedge fund Elliott Advisors have agreed to put aside their differences just in time for the British transport operator’s annual shareholder meeting on Tuesday.,The New York Times,[],"[{'name': 'persons', 'value': 'Devaney, John', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Elliott Advisors', 'rank': 2, 'major': 'N'}]",2011-05-10T09:38:10+0000,article,,Business Day,,,nyt://article/08b57bae-d3c2-51de-b0db-6e91db5684dd,591,nyt://article/08b57bae-d3c2-51de-b0db-6e91db5684dd,National Express and Elliott Advisors Reach Last-Minute Deal,DealBook,,,,,,By Chris V. Nicholson,"[{'firstname': 'Chris', 'middlename': 'V.', 'lastname': 'Nicholson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,
2,"A selected guide to pop, rock, hip-hop and other music performances in New York and the area.",https://www.nytimes.com/2011/04/29/arts/music/pop-and-rock-listings.html,"A selected guide to pop, rock, hip-hop and other music performances in New York and the area.",Pop,The New York Times,[],"[{'name': 'subject', 'value': 'Gospel Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rap and Hip-Hop', 'rank': 2, 'major': 'N'}]",2011-04-28T20:23:06+0000,article,Weekend,Arts,Music,Schedule,nyt://article/cca1e7fd-1b61-51a2-b83b-9b5d595be572,1678,nyt://article/cca1e7fd-1b61-51a2-b83b-9b5d595be572,Pop and Rock Listings,,,The Listings,,,,,[],,C,22
3,"Some people come to New York to become artists. Others come to start churches. An independent group of evangelicals, called Trinity Grace, is part of a movement, expanding one church at a time.",https://www.nytimes.com/2011/04/24/nyregion/evangelical-group-sees-nyc-as-incubator-to-plant-churches.html,"Some people come to New York to become artists. Others come to start churches. An independent group of evangelicals, called Trinity Grace, is part of a movement, expanding one church at a time.","IN a vast, unheated room overlooking Cooper Square in the East Village, Guy Wasko tried to shake off the start-up jitters. It was late March, less than three weeks before the biggest day of his professional life, and there was still so much to do. A financial backer was wavering. The music was a big question mark: was it the right flavor for the neighborhood, funky enough, soulful enough? What about his hospitality team? The members had to be trained, the signs had to be right, the branding had to pop. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-jumbo.jpg', 'height': 682, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/04/24/nyregion/24CHURCH1/24CHURCH1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Evangelical Movement', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'East Village (NYC)', 'rank': 2, 'major': 'N'}]",2011-04-22T14:00:09+0000,article,Metro,New York,,News,nyt://article/c4aaf717-6ef6-5004-bfea-08c42fca1a02,2477,nyt://article/c4aaf717-6ef6-5004-bfea-08c42fca1a02,The Evangelical Squad,,,The God Squad,,,,By John Leland,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Leland', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,MB,1
4,A sampling of noteworthy musical presentations planned for the holiday season.,https://www.nytimes.com/2011/04/15/arts/music/easter-services-programs-of-classical-music.html,A sampling of noteworthy musical presentations planned for the holiday season.,"A sampling of noteworthy musical presentations planned for the holiday season at churches and other sites in New York, from Friday through Easter Sunday, compiled by Anne Mancuso. All are free unless otherwise noted. (Churches accept donations. Unless noted, church choirs are featured in church concerts.) ",The New York Times,[],"[{'name': 'subject', 'value': 'Easter and Holy Week', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 2, 'major': 'N'}]",2011-04-14T22:23:12+0000,article,Weekend,Arts,Music,Schedule,nyt://article/0b1ef01b-e348-5dd7-877f-383a07ef4028,2911,nyt://article/0b1ef01b-e348-5dd7-877f-383a07ef4028,Sanctuaries of Sound to Observe the Easter Holiday,,,Sanctuaries of Sound to Observe the Easter Holiday,,,,,[],,C,24
5,A guide to cultural and recreational goings-on in and around the Hudson Valley.,https://www.nytimes.com/2011/04/10/nyregion/10listingswe.html,A guide to cultural and recreational goings-on in and around the Hudson Valley.,"A guide to cultural and recreational goings-on in and around the Hudson Valley. Items for the guide should be sent at least three weeks in advance to westweek@nytimes.com, or by mail to Westchester Calendar, Metropolitan, 620 Eighth Avenue, New York, N.Y. 10018-1405.",The New York Times,[],"[{'name': 'subject', 'value': 'Culture (Arts)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Museums', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Art', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Westchester County (NY)', 'rank': 4, 'major': 'N'}]",2011-04-09T00:18:20+0000,article,Metro,New York,,Schedule,nyt://article/b60e2d24-0b25-557c-a520-89e3e929af44,3607,nyt://article/b60e2d24-0b25-557c-a520-89e3e929af44,Events in Westchester,Calendar,,WESTCHESTER,,,,,[],,WE,8
6,A selected guide to pop performances in New York and the area.,https://www.nytimes.com/2011/04/08/arts/music/pop-and-rock-listings-for-april-8-14.html,A selected guide to pop performances in New York and the area.,Pop,The New York Times,[],"[{'name': 'subject', 'value': 'Folk Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Japan Earthquake and Tsunami (2011)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Earthquakes', 'rank': 3, 'major': 'N'}]",2011-04-07T23:19:55+0000,article,Weekend,Arts,Music,Schedule,nyt://article/901f58c5-351c-540e-a8ad-9a994ab3b12d,1869,nyt://article/901f58c5-351c-540e-a8ad-9a994ab3b12d,Pop and Rock Listings for April 8-14,,,The Listings,,,,,[],,C,21
7,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2011/04/05/morning-take-out-217/,Highlights from the DealBook newsletter.,MERGERS & ACQUISITIONS,The New York Times,[],[],2011-04-05T12:20:34+0000,article,Business,Business Day,,,nyt://article/b388a241-cbf2-5f43-9ae1-e34632e329d6,1806,nyt://article/b388a241-cbf2-5f43-9ae1-e34632e329d6,Morning Take-Out,DealBook,,,,,,By Dealbook,"[{'firstname': 'Dealbook', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,
8,"In 1984, Ms. Ferraro took her place in American history as the first woman nominated for national office by a major party.",https://www.nytimes.com/2011/03/27/us/politics/27geraldine-ferraro.html,"In 1984, Ms. Ferraro took her place in American history as the first woman nominated for national office by a major party.","Geraldine A. Ferraro, the former Queens congresswoman who strode onto a podium in 1984 to accept the Democratic nomination for vice president and to take her place in American history as the first woman nominated for national office by a major party, died on Saturday in Boston. She was 75.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/27/us/27ferraro-span/27ferraro-articleLarge.jpg', 'height': 382, 'width': 600, 'legacy': {'xlarge': 'images/2011/03/27/us/27ferraro-span/27ferraro-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 382}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/27/us/27ferraro-span/27ferraro-blog480.jpg', 'height': 330, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/27/us/27ferraro-span/27ferraro-jumbo.jpg', 'height': 696, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/27/us/27ferraro-span/27ferraro-popup.jpg', 'height': 442, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/27/us/27ferraro-span/27ferraro-sfSpan.jpg', 'height': 265, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/03/27/us/27ferraro-span/27ferraro-span-thumbStandard-v2.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/03/27/us/27ferraro-span/27ferraro-span-thumbStandard-v2.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Women and Girls', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Ferraro, Geraldine A', 'rank': 4, 'major': 'N'}]",2011-03-26T17:18:34+0000,article,Metro,U.S.,Politics,Obituary (Obit),nyt://article/473131c6-c83a-5899-916f-d54a4f3a148e,3383,nyt://article/473131c6-c83a-5899-916f-d54a4f3a148e,She Ended the Men’s Club of National Politics,"Geraldine A. Ferraro, 1935-2011",,She Ended the Men’s Club of National Politics,,,,By Douglas Martin,"[{'firstname': 'Douglas', 'middlename': None, 'lastname': 'Martin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1
9,"A selected guide to rock, pop, folk, metal, hip-hop and other music performances in New York and the area.",https://www.nytimes.com/2011/03/25/arts/music/pop-and-rock-listings-for-march-25-31.html,"A selected guide to rock, pop, folk, metal, hip-hop and other music performances in New York and the area.",Pop,The New York Times,[],"[{'name': 'subject', 'value': 'Japan Earthquake and Tsunami (2011)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 2, 'major': 'N'}]",2011-03-24T21:34:58+0000,article,Weekend,Arts,Music,Schedule,nyt://article/197eaefb-f290-5f49-ad4c-15bfbfc49fd6,2008,nyt://article/197eaefb-f290-5f49-ad4c-15bfbfc49fd6,Pop and Rock Listings for March 25-31,,,The Listings,,,,,[],,C,19
