,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,Opera.,https://www.nytimes.com/2004/09/19/arts/music/music-listings.html,Opera.,Opera,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-09-19T05:00:00+0000,article,Arts / Music,Archives,Results Listing,nyt://article/552f0aaf-0e89-5eb2-82f6-51351946299a,2709,nyt://article/552f0aaf-0e89-5eb2-82f6-51351946299a,Music Listings,,,Music Listings,,,,,[],,,,
1,Pop/Jazz.,https://www.nytimes.com/2004/09/12/arts/music/music-listings.html,Pop/Jazz.,Pop/Jazz,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-09-12T05:00:00+0000,article,Arts / Music,Archives,Results Listing,nyt://article/7a941984-c368-59e2-9416-bd881452ff0d,2717,nyt://article/7a941984-c368-59e2-9416-bd881452ff0d,Music Listings,,,Music Listings,,,,,[],,,,
2," A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    MUHAL RICHARD ABRAMS ENSEMBLE, SOLO, Community Church of New York, 40 East 35th Street, Manhattan, (212) 594-7149. Two different sets led from one of the most accomplished composers and pianists of the 1960's experimental-jazz generation. The first is a group that includes the saxophonist Aaron Stewart, the bassist Brad Jones and the drummer Reggie Nicholson; the second is solo piano. Tonight at 8; tickets are $20 (Ben Ratliff).",https://www.nytimes.com/2004/09/10/arts/music/pop-and-jazz-listings.html,"A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    MUHAL RICHARD ABRAMS ENSEMBLE, SOLO, Community Church of New York, 40...",Correction Appended,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}]",2004-09-10T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Arts,Schedule,nyt://article/53586d60-98d8-5b98-8a24-78b9aa857d23,6516,nyt://article/53586d60-98d8-5b98-8a24-78b9aa857d23,Pop and Jazz Listings,,,POP AND JAZZ GUIDE,,,,,[],,E,4,
3,Opera.,https://www.nytimes.com/2004/09/05/arts/music/music-listings.html,Opera.,Opera,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-09-05T05:00:00+0000,article,Arts / Music,Archives,Results Listing,nyt://article/8b08f77e-a568-50fb-8f70-50d921b92a08,2830,nyt://article/8b08f77e-a568-50fb-8f70-50d921b92a08,Music Listings,,,Music Listings,,,,,[],,,,
4,Pop/Jazz.,https://www.nytimes.com/2004/08/29/arts/music/music-listings.html,Pop/Jazz., Pop/Jazz ,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-08-29T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/e0d70edd-493a-5ab7-99e6-0c9dc13e0ea4,2743,nyt://article/e0d70edd-493a-5ab7-99e6-0c9dc13e0ea4,Music Listings,,,Music Listings,,,,,[],,,,Music
5,"A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    AGATSUMA, North Plaza, Lincoln Center, (212) 875-5456. The shamisen is an ancient Japanese instrument that sounds like a banjo with more of a snap. Agatsuma is a rock musician who has put the shamisen at the center of his songs. Tonight at 6; free (Jon Pareles).",https://www.nytimes.com/2004/08/27/movies/pop-and-jazz-guide-759856.html,"A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    AGATSUMA, North Plaza, Lincoln Center, (212) 875-5456. The shamisen i...",A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,The New York Times,[],[],2004-08-27T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/e1fdcc1a-e9e0-5571-9b3e-62d27f3f87db,4306,nyt://article/e1fdcc1a-e9e0-5571-9b3e-62d27f3f87db,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,E,21,
6,Pop/Jazz.,https://www.nytimes.com/2004/08/22/arts/music/music-listings.html,Pop/Jazz., Pop/Jazz ,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-08-22T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/cab9959d-723d-5746-b5b0-6b0f0f0a5891,2639,nyt://article/cab9959d-723d-5746-b5b0-6b0f0f0a5891,Music Listings,,,Music Listings,,,,,[],,,,Music
7," A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    AFRICAN DIVAS 2004, S.O.B.'s (Sounds of Brazil), 204 Varick Street, at Houston Street, South Village, (212) 243-4940. Four women share this bill of African music just beginning to make itself heard here: the modal funk of the Ivory Coast. Monique Seka, Nayanka Bell and Affou Keita are from the Ivory Coast; Fifi Rafiatou is from Togo. The Ivorian women in the audience may be a show in themselves, twirling in big hoop skirts. Sunday night at 8 and 11; tickets are $22 in advance, $25 Sunday (Jon Pareles).",https://www.nytimes.com/2004/08/20/movies/pop-and-jazz-guide-690236.html,"A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    AFRICAN DIVAS 2004, S.O.B.'s (Sounds of Brazil), 204 Varick Street, a...",Correction Appended,The New York Times,[],[],2004-08-20T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/57e062e1-02c5-5380-bc7b-7fade92ae2ed,5846,nyt://article/57e062e1-02c5-5380-bc7b-7fade92ae2ed,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,E,24,
8,"Razing of more modest original homes on Key Biscayne, Fla, to make way for megamansions continues; Pres Richard M Nixon's Winter White House, ranch-style house, was recently demolished; photos (M)",https://www.nytimes.com/2004/08/15/realestate/national-perspectives-key-biscayne-makes-way-for-even-more-affluence.html,"Razing of more modest original homes on Key Biscayne, Fla, to make way for megamansions continues; Pres Richard M Nixon's Winter White House, ranch-style house, was recently demolished; photos (M)","FRANK MACKLE IV, a 38-year-old builder, recently razed two modest one-story houses on this South Florida island to make room for a megamansion. The new home, built for a local orthodontist in an ''Old World Mediterranean'' style, will have 6,500 square feet of living space and a third-floor observation deck looking toward Biscayne Bay and the Miami skyline.",The New York Times,[],"[{'name': 'glocations', 'value': 'Key Biscayne (Fla)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Nixon, Richard Milhous', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Housing', 'rank': 3, 'major': 'N'}]",2004-08-15T05:00:00+0000,article,Real Estate Desk,Real Estate,News,nyt://article/371337f5-fc2d-5aad-9b05-1fcaddaf22ac,1120,nyt://article/371337f5-fc2d-5aad-9b05-1fcaddaf22ac,Key Biscayne Makes Way For Even More Affluence,NATIONAL PERSPECTIVES,,NATIONAL PERSPECTIVES; Key Biscayne Makes Way For Even More Affluence,,,,By Nancy Beth Jackson,"[{'firstname': 'Nancy', 'middlename': 'Beth', 'lastname': 'Jackson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,11,12,
9,Classical/Opera.,https://www.nytimes.com/2004/08/15/arts/music/music-listings.html,Classical/Opera., Classical/Opera ,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-08-15T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/8efe907a-66cf-5e01-a577-91119b17e4df,2612,nyt://article/8efe907a-66cf-5e01-a577-91119b17e4df,Music Listings,,,Music Listings,,,,,[],,,,Music
