,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,POP.,https://www.nytimes.com/2007/01/12/arts/music/12pop.html,POP.,POP,E,4,The New York Times,[],"[{'name': 'glocations', 'value': 'New York State', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 2, 'major': 'N'}]",2007-01-12T05:00:00+0000,article,Weekend,Arts,Music,News,nyt://article/7f50dcdc-b61f-58ac-9d23-2f9a0d968a08,2047,nyt://article/7f50dcdc-b61f-58ac-9d23-2f9a0d968a08,Rock/Pop Listings,,,,,,,By The New York Times,[],The New York Times
1,POP.,https://www.nytimes.com/2007/01/05/arts/music/05pop.html,POP.,POP,E,33,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 2, 'major': 'N'}]",2007-01-05T05:00:00+0000,article,Weekend,Arts,Music,News,nyt://article/db1cc862-4b90-5278-937e-7078dfdfb3be,1908,nyt://article/db1cc862-4b90-5278-937e-7078dfdfb3be,Pop and Rock Listings,,,,,,,By The New York Times,[],The New York Times
2,JAZZ.,https://www.nytimes.com/2007/01/05/arts/music/05jazz.html,JAZZ.,JAZZ,E,34,The New York Times,[],"[{'name': 'subject', 'value': 'Jazz', 'rank': 1, 'major': 'N'}]",2007-01-05T05:00:00+0000,article,Weekend,Arts,Music,News,nyt://article/0c18a8ac-d572-5d3f-86f4-bd610ffadd34,2436,nyt://article/0c18a8ac-d572-5d3f-86f4-bd610ffadd34,Jazz Listings,,,,,,,By Nate Chinen,"[{'firstname': 'Nate', 'middlename': None, 'lastname': 'Chinen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,Alan Light reviews books Exile on Main Street: A Season in Hell With the Rolling Stones by Robert Greenfield and Layla and Other Assorted Love Songs by Derek and the Dominos by Jan Reid; photo (M),https://www.nytimes.com/2006/12/31/books/review/torn-and-frayed.html,Alan Light reviews books Exile on Main Street: A Season in Hell With the Rolling Stones by Robert Greenfield and Layla and Other Assorted Love Songs by Derek and the Dominos by Jan Reid; photo (M),EXILE ON MAIN STREET,7,21,The New York Times,[],"[{'name': 'organizations', 'value': 'Rolling Stones', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'DEREK AND THE DOMINOS', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Greenfield, Robert', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Clapton, Eric', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Richards, Keith', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Jan', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Jagger, Mick', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Recordings and Downloads (Audio)', 'rank': 11, 'major': 'N'}, {'name': 'creative_works', 'value': 'LAYLA AND OTHER ASSORTED LOVE SONGS (BOOK)', 'rank': 12, 'major': 'N'}, {'name': 'creative_works', 'value': 'EXILE ON MAIN STREET (BOOK)', 'rank': 13, 'major': 'N'}]",2006-12-31T05:00:00+0000,article,Book Review Desk,Books,,Review,nyt://article/50cbf9ce-4c90-50ca-b180-acb54b504e42,1199,nyt://article/50cbf9ce-4c90-50ca-b180-acb54b504e42,Torn and Frayed,,,Torn and Frayed,,,,By Alan Light,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Light', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,"At a time when the album is dying, the “making of a classic album” book strategy seems to be a growth industry. ",https://www.nytimes.com/2006/12/31/books/review/Light.t.html,"At a time when the album is dying, the “making of a classic album” book strategy seems to be a growth industry. ","The album is dying. As a format of recorded music, the album — LP, CD, record, disc, platter, licorice pizza, whatever — has been tossed aside by file sharing and the iPod. Tower Records, rest in peace. For better or worse, pop music has effectively returned to the days before the Beatles arrived, when everything was strictly one single at a time.",,,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2006/12/31/books/ligh450.jpg', 'height': 450, 'width': 282, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2006/12/31/books/ligh190.jpg', 'height': 303, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2006/12/31/books/ligh75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2006/12/31/books/ligh75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Richards, Keith', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Jagger, Mick', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Recordings and Downloads (Audio)', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Rolling Stones', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Greenfield, Robert', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Jan', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Clapton, Eric', 'rank': 10, 'major': 'N'}]",2006-12-31T05:00:00+0000,article,BookReview,Books,Book Review,Review,nyt://article/7e2877e7-7752-561d-a2ad-9833c33c95d1,1176,nyt://article/7e2877e7-7752-561d-a2ad-9833c33c95d1,Torn and Frayed,,,Torn and Frayed,,,,By Alan Light,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Light', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,JAZZ.,https://www.nytimes.com/2006/12/29/arts/music/29jazz.html,JAZZ.,JAZZ,E,34,The New York Times,[],"[{'name': 'subject', 'value': 'Jazz', 'rank': 1, 'major': 'N'}]",2006-12-29T05:00:00+0000,article,Weekend,Arts,Music,News,nyt://article/5a8118f5-f047-54ae-a843-2e5d09c99676,1910,nyt://article/5a8118f5-f047-54ae-a843-2e5d09c99676,Jazz Listings,,,,,,,By Nate Chinen,"[{'firstname': 'Nate', 'middlename': None, 'lastname': 'Chinen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,"The music critics of The New York Times offer previews of 23 of New York’s better New Year’s Eve shows  each of which promises its own mixture of indulgence, hilarity and hysteria.",https://www.nytimes.com/2006/12/29/arts/music/29eve.html,"The music critics of The New York Times offer previews of 23 of New York’s better New Year’s Eve shows  each of which promises its own mixture of indulgence, hilarity and hysteria.","THE last notes of 2006, the first song of 2007 — those are big symbolic responsibilities for musicians to take on and for listeners to seek out, but there’s no shortage of volunteers. Nightlife in New York City on New Year’s Eve has an edge of indulgence, hilarity and hysteria, and it’s premium-priced as a promise that performers will offer up not just a concert, but an occasion. Here are previews of 23 of the night’s better shows, chosen by music critics of The New York Times. ",E,23,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2006/12/28/arts/29eve_CA0.468.jpg', 'height': 750, 'width': 468, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2006/12/28/arts/29eve_CA0.190.jpg', 'height': 325, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2006/12/28/arts/29eve_CA0.75.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2006/12/28/arts/29eve_CA0.75.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': ""Joe's Pub"", 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Knitting Factory', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Bargemusic', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Hammerstein Ballroom', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Brazilian Girls', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Regency Hotel', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'ALGONQUIN HOTEL', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Beacon Theater', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Nassau Coliseum', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Irving Plaza', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': ""Swingin' Neckbreakers"", 'rank': 12, 'major': 'N'}]",2006-12-29T05:00:00+0000,article,Weekend,Arts,Music,News,nyt://article/a18e5e56-5ac7-500a-9245-733ffdfe1706,3079,nyt://article/a18e5e56-5ac7-500a-9245-733ffdfe1706,"Ring Out, Ring in, and You Can Choose the Beat",,,"Ring Out, Ring In, And You Can Choose the Beat",,,,By The New York Times,[],The New York Times
7,To the Editor:.,https://www.nytimes.com/2006/12/29/opinion/l29heart.html,To the Editor:.,To the Editor:,A,24,The New York Times,[],"[{'name': 'subject', 'value': 'Doctors', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Surgery and Surgeons', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'DeBakey, Michael E', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Death and Dying', 'rank': 5, 'major': 'N'}]",2006-12-29T05:00:00+0000,article,Letters,Opinion,,Letter,nyt://article/7e60b480-0484-5f65-8811-cd9033b700e7,999,nyt://article/7e60b480-0484-5f65-8811-cd9033b700e7,DeBakey Surgery: Not a Case Study (7 Letters),,,DeBakey Surgery: Not a Case Study,,,,,[],
8,Ben Sisario recommends seeing Patti Smith at Bowery Ballroom on New Year's Eve; drawing (M),https://www.nytimes.com/2006/12/29/arts/movies/ring-out-ring-in-and-you-can-choose-the-beat-patti-smith.html,Ben Sisario recommends seeing Patti Smith at Bowery Ballroom on New Year's Eve; drawing (M),"Every new year should start like a Patti Smith song: passionate, cleansing and in no particular hurry. And for the last nine years that's exactly how it has begun at the Bowery Ballroom, with Ms. Smith leading her band for a few nights in the rhapsodic and elemental music -- like ""Gloria,"" which transforms a rock standard into an erotic psychodrama -- that brought her to prominence in the 1970s. It has been a big year for Ms. Smith. In October she presided over the last night at CBGB, the Bowery cave where she started, and shortly thereafter made her third appearance at the Metropolitan Museum of Art in a tribute to Joan of Arc. Tomorrow she hits another milestone: her 60th birthday. May she have many happy returns. At 9 p.m., 6 Delancey Street, near the Bowery, (212) 533-2111, boweryballroom.com; sold out.",E,24,The New York Times,[],"[{'name': 'persons', 'value': 'Smith, Patti', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'New Year', 'rank': 3, 'major': 'N'}]",2006-12-29T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Arts,,News,nyt://article/076bd267-fb47-5ee4-97e7-3f9eed139f00,146,nyt://article/076bd267-fb47-5ee4-97e7-3f9eed139f00,"Ring Out, Ring In, And You Can Choose the Beat; PATTI SMITH",,,"Ring Out, Ring In, And You Can Choose the Beat; PATTI SMITH",,,,By Ben Sisario,"[{'firstname': 'Ben', 'middlename': None, 'lastname': 'Sisario', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,Nate Chinen recommends seeing performance by Steven Bernstein's Millennial Territory Orchestra at Tonic on New Year's Eve; drawing (M),https://www.nytimes.com/2006/12/29/arts/movies/ring-out-ring-in-and-you-can-choose-the-beat-steven-bernsteins.html,Nate Chinen recommends seeing performance by Steven Bernstein's Millennial Territory Orchestra at Tonic on New Year's Eve; drawing (M),"The standard rap on New Year's Eve is that you glance backward (at the year just past) and forward (to the year ahead). That duality may not have a better musical equivalent than the Millennial Territory Orchestra, a scrappy little big band conducted by the slide trumpeter Steven Bernstein. The band's repertory stretches from prewar swing to Stevie Wonder, but its style suggests some unifying principles (like a boisterous spit-shine irreverence). Jennifer Charles, the breathy lead singer of Elysian Fields, will join the group as a special guest. And because Mr. Bernstein first formed the orchestra as a midnight staple at Tonic, they'll have a home court advantage. At 10:30 p.m., Tonic, 107 Norfolk Street, near Delancey Street, Lower East Side; (212) 358-7501, tonicnyc.com; $30, including Champagne toast. John Zorn, Guy Licata, Bill Laswell and Milford Graves perform at 8 p.m., for $30.",E,23,The New York Times,[],"[{'name': 'organizations', 'value': 'MILLENIAL TERRITORY ORCHESTRA', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bernstein, Steven', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'New Year', 'rank': 4, 'major': 'N'}]",2006-12-29T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Arts,,News,nyt://article/85d948c5-4fb1-55b6-aa47-af1a1d0f11af,148,nyt://article/85d948c5-4fb1-55b6-aa47-af1a1d0f11af,"Ring Out, Ring In, And You Can Choose the Beat; STEVEN BERNSTEIN'S MILLENNIAL TERRITORY ORCHESTRA",,,"Ring Out, Ring In, And You Can Choose the Beat; STEVEN BERNSTEIN'S MILLENNIAL TERRITORY ORCHESTRA",,,,By Nate Chinen,"[{'firstname': 'Nate', 'middlename': None, 'lastname': 'Chinen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
