,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"Fannie Mae and Freddie Mac have become major residential landowners in the Bay Area, and some complain that they are hurting neighborhoods by not keeping all of their properties in good repair.",https://www.nytimes.com/2012/03/04/us/fannie-mae-and-freddie-mac-are-criticized-for-bay-area-properties-in-disrepair.html,"Fannie Mae and Freddie Mac have become major residential landowners in the Bay Area, and some complain that they are hurting neighborhoods by not keeping all of their properties in good repair.","Every few weeks, Alvin Chandra cleans up the garbage that has accumulated in the vacant lot next to his granite fabrication plant on Adeline Street in West Oakland — soiled mattresses, worn-out sofa beds and piles of used fast food containers. ",A,27A,The New York Times,[],"[{'name': 'organizations', 'value': 'Federal National Mortgage Association (Fannie Mae)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Home Loan Mortgage Corp (Freddie Mac)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco Bay Area (Calif)', 'rank': 6, 'major': 'N'}]",2012-03-04T02:41:03+0000,article,National,U.S.,News,nyt://article/78316214-a4cd-51c9-9c86-3c305876e950,657,nyt://article/78316214-a4cd-51c9-9c86-3c305876e950,Companies Foreclose; Blight Follows,The Bay Citizen,,Companies Foreclose; Blight Follows,,,,By Aaron Glantz,"[{'firstname': 'Aaron', 'middlename': None, 'lastname': 'Glantz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2012/02/28/morning-take-out-430/,Highlights from the DealBook newsletter.,"Bending the Tax Code, and Lifting A.I.G.’s Profit  |  Last week, the American International Group reported a whopping $19.8 billion profit for its fourth quarter. It was a quite a feat for a company that was on its death bed just a little over three years ago, so sick that it needed a huge taxpayer bailout, Andrew Ross Sorkin writes in his DealBook column.",,,The New York Times,[],[],2012-02-28T13:41:00+0000,article,,Business Day,News,nyt://article/fdc4c14e-eecc-52ea-8216-810a534b85f1,2254,nyt://article/fdc4c14e-eecc-52ea-8216-810a534b85f1,Morning Take-Out,DealBook,,,,,,By William Alden,"[{'firstname': 'William', 'middlename': None, 'lastname': 'Alden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
2,"Proponents of debt forgiveness note that roughly one out of five Americans owes more on a home than it is worth, and that negative equity totals almost $700 billion.",https://www.nytimes.com/2012/02/28/business/california-seeks-to-suspend-foreclosures.html,"Proponents of debt forgiveness note that roughly one out of five Americans owes more on a home than it is worth, and that negative equity totals almost $700 billion.","California’s attorney general, Kamala D. Harris, has ratcheted up the pressure on Fannie Mae and Freddie Mac to allow debt reduction on their home loans by asking the mortgage finance giants to halt foreclosures in the state.",B,4,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-blog480.jpg', 'height': 314, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-jumbo.jpg', 'height': 670, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-popup.jpg', 'height': 425, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-articleInline.jpg', 'height': 124, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-sfSpan.jpg', 'height': 258, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'organizations', 'value': 'Federal Home Loan Mortgage Corp (Freddie Mac)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal National Mortgage Association (Fannie Mae)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 6, 'major': 'N'}]",2012-02-27T22:38:46+0000,article,Business,Business Day,News,nyt://article/35bf2780-e11d-53a7-8bc7-f6356d96c014,641,nyt://article/35bf2780-e11d-53a7-8bc7-f6356d96c014,Pressure Grows on Fannie and Freddie to Cut Principal on Loans,,,Pressure Grows on Fannie and Freddie to Reduce Principal on Some Loans,,,,By Shaila Dewan,"[{'firstname': 'Shaila', 'middlename': None, 'lastname': 'Dewan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,"As an economic concept, “moral hazard” means that people are apt to take undue risks if they don’t have to bear the consequences. But it’s also part of the debate on the limits of self-reliance.",https://www.nytimes.com/2012/02/26/business/moral-hazard-as-the-flip-side-of-self-reliance.html,"As an economic concept, “moral hazard” means that people are apt to take undue risks if they don’t have to bear the consequences. But it’s also part of the debate on the limits of self-reliance.","THE reports outraged America: In the wake of Hurricane Katrina, people who fled the ravaged Gulf Coast were spending disaster relief, paid for by taxpayers, on tattoos, $800 handbags and trips to topless bars.",BU,1,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/26/business/26-MORAL/26-MORAL-jumbo.jpg', 'height': 1024, 'width': 718, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/26/business/26-MORAL/26-MORAL-popup.jpg', 'height': 500, 'width': 351, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/26/business/26-MORAL/26-MORAL-articleInline.jpg', 'height': 271, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'Insurance', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Economics (Theory and Philosophy)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Subprime Mortgage Crisis', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 6, 'major': 'N'}]",2012-02-25T18:51:10+0000,article,SundayBusiness,Business Day,News Analysis,nyt://article/161d672e-17ab-5e66-89f0-250631943418,1582,nyt://article/161d672e-17ab-5e66-89f0-250631943418,Moral Hazard: A Tempest-Tossed Idea,News Analysis,,Moral Hazard: A Tempest-Tossed Idea,,,,By Shaila Dewan,"[{'firstname': 'Shaila', 'middlename': None, 'lastname': 'Dewan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2012/02/23/morning-take-out-427/,Highlights from the DealBook newsletter.,European Banks Struggle Under Continent’s Crisis  |  Several of Europe’s largest banks provided a reminder on Thursday of how much work remained to overcome the effects of the financial crisis that began in 2008 and the sovereign debt crisis that quickly followed.,,,The New York Times,[],[],2012-02-23T13:49:45+0000,article,,Business Day,News,nyt://article/f8b8b548-b9fa-5b6d-9b87-1e9ea37e2fd3,2272,nyt://article/f8b8b548-b9fa-5b6d-9b87-1e9ea37e2fd3,Morning Take-Out,DealBook,,,,,,By William Alden,"[{'firstname': 'William', 'middlename': None, 'lastname': 'Alden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
5,The Obama administration said its suggestions would empower consumers regarding use of their personal data gleaned from Internet searches.,https://www.nytimes.com/2012/02/23/business/white-house-outlines-online-privacy-guidelines.html,The Obama administration said its suggestions would empower consumers regarding use of their personal data gleaned from Internet searches.,WASHINGTON — The Obama administration on Wednesday outlined a set of online privacy principles that officials said would help consumers control the use of their personal data gleaned from Internet searches.,B,1,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-jumbo.jpg', 'height': 682, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'subject', 'value': 'Computers and the Internet', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Privacy', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'E-Commerce', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Computer Security', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Consumer Protection', 'rank': 7, 'major': 'N'}]",2012-02-23T05:01:34+0000,article,Business,Business Day,News,nyt://article/638a8e3b-5a76-55ef-9f65-fb301cda8ea0,781,nyt://article/638a8e3b-5a76-55ef-9f65-fb301cda8ea0,"White House, Consumers in Mind, Offers Online Privacy Guidelines",,,"White House, Consumers in Mind, Offers Online Privacy Guidelines",,,,By Edward Wyatt,"[{'firstname': 'Edward', 'middlename': None, 'lastname': 'Wyatt', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
6,"California’s attorney general, Kamala D. Harris, said the state had reached an agreement with Amazon.com, Apple, Google, Hewlett-Packard, Microsoft and Research in Motion to strengthen privacy protections for smartphone owners who download mobile applications. The agreement will force developers to post conspicuous privacy policies.",https://bits.blogs.nytimes.com/2012/02/22/california-attorney-general-reaches-deal-on-app-privacy/,"California’s attorney general, Kamala D. Harris, said the state had reached an agreement with Amazon.com, Apple, Google, Hewlett-Packard, Microsoft and Research in Motion to strengthen privacy protections for smartphone owners who download mobile ...", 4:14 p.m. | Updated  Adding Google statement. ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Mobile Applications', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Privacy', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'AMAZON.COM INC', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Apple Incorporated', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Google Inc', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Hewlett-Packard Company', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'iTunes', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Microsoft Corporation', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Research In Motion Ltd', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 10, 'major': 'N'}]",2012-02-22T20:37:16+0000,article,,Technology,News,nyt://article/175e7442-8863-57db-9304-0698e1ad4c98,600,nyt://article/175e7442-8863-57db-9304-0698e1ad4c98,"Apple, Google and Others in Agreement on App Privacy",Bits,,,,,,By Nicole Perlroth and Nick Bilton,"[{'firstname': 'Nicole', 'middlename': None, 'lastname': 'Perlroth', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Nick', 'middlename': None, 'lastname': 'Bilton', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
7,"Gen. Martin E. Dempsey talks about Iran, and Representative Ron Paul, Rick Santorum and Newt Gingrich weigh in on their standings in the Republican presidential race.",https://thecaucus.blogs.nytimes.com/2012/02/19/sunday-breakfast-menu-feb-19/,"Gen. Martin E. Dempsey talks about Iran, and Representative Ron Paul, Rick Santorum and Newt Gingrich weigh in on their standings in the Republican presidential race.","Iran put up an increasingly aggressive front last week, threatening to cut off oil sales to Europe and posturing over the progress of its nuclear program, as well as drawing blame for assassination attempts on Israelis. The actions suggested that sanctions were working, as American and European officials announced negotiations over Iran’s nuclear weapons program might resume soon.",,,The New York Times,[],"[{'name': 'subject', 'value': 'Presidential Election of 2012', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}]",2012-02-19T05:07:55+0000,article,,U.S.,News,nyt://article/8c2c3a98-fef0-5352-ae56-af533173867e,519,nyt://article/8c2c3a98-fef0-5352-ae56-af533173867e,"Sunday Breakfast Menu, Feb. 19",The Caucus,,,,,,By Emmarie Huetteman,"[{'firstname': 'Emmarie', 'middlename': None, 'lastname': 'Huetteman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
8,The findings of San Francisco county officials suggest how pervasive irregularities may be across the nation.,https://www.nytimes.com/2012/02/16/business/california-audit-finds-broad-irregularities-in-foreclosures.html,The findings of San Francisco county officials suggest how pervasive irregularities may be across the nation.,"An audit by San Francisco county officials of about 400 recent foreclosures there determined that almost all involved either legal violations or suspicious documentation, according to a report released Wednesday. ",A,1,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/16/business/16foreclosure-web/16foreclosure-web-blog480-v2.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/16/business/16foreclosure-web/16foreclosure-web-jumbo-v2.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/16/business/16foreclosure-web/16foreclosure-web-sfSpan-v2.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/16/business/16foreclosure-web/16foreclosure-web-articleInline-v3.jpg', 'height': 241, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/16/business/16foreclosure-web/16foreclosure-web-sfSpan-v2.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'subject', 'value': 'Regulation and Deregulation of Industry', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Subprime Mortgage Crisis', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 6, 'major': 'N'}]",2012-02-15T22:06:18+0000,article,Business,Business Day,News,nyt://article/e4eb9c32-d099-5cf2-a440-82ca45a419bc,971,nyt://article/e4eb9c32-d099-5cf2-a440-82ca45a419bc,Audit Uncovers Extensive Flaws in Foreclosures,,,Audit Uncovers Extensive Flaws in Foreclosures,,,,By Gretchen Morgenson,"[{'firstname': 'Gretchen', 'middlename': None, 'lastname': 'Morgenson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
9,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2012/02/14/morning-take-out-421/,Highlights from the DealBook newsletter.,"At Volcker Rule Deadline, a Strong Pushback From Wall St.  |  Wall Street made its broadest assault yet against new regulation on Monday, taking aim at a rule that has come to define the battle over how to police banks in the aftermath of the financial crisis.",,,The New York Times,[],[],2012-02-14T13:28:30+0000,article,,Business Day,News,nyt://article/7cce8fd2-18e3-58be-8042-589cb66d40ab,2013,nyt://article/7cce8fd2-18e3-58be-8042-589cb66d40ab,Morning Take-Out,DealBook,,,,,,By William Alden,"[{'firstname': 'William', 'middlename': None, 'lastname': 'Alden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
