,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Reading, watching and listening with California’s attorney general.",https://www.nytimes.com/2012/03/18/opinion/sunday/catching-up-with-kamala-harris.html,"Reading, watching and listening with California’s attorney general.",Kamala Harris is California’s attorney general and the first woman of African and South Asian descent to serve in that position. She recently wrested $18 billion from financial institutions accused of mortgage misdeeds for her state’s beleaguered homeowners.,SR,2,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/18/sunday-review/download/download-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2012/03/18/sunday-review/download/download-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/18/sunday-review/download/download-jumbo.jpg', 'height': 1024, 'width': 271, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/18/sunday-review/download/download-popup.jpg', 'height': 500, 'width': 132, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/18/sunday-review/download/download-articleInline.jpg', 'height': 718, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/18/sunday-review/download/download-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/03/18/sunday-review/download/download-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 2, 'major': 'N'}]",2012-03-17T21:20:26+0000,article,OpEd,Opinion,Sunday Review,Op-Ed,nyt://article/cedbccdf-388f-5a34-b5a9-856a73ee49d1,384,nyt://article/cedbccdf-388f-5a34-b5a9-856a73ee49d1,Kamala Harris,Download,,Kamala Harris,,,,By Kate Murphy,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Murphy', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,"Two years after public and pressure prompted Craigslist.org to scrap its “erotic services” section, other classified Web sites that serve the sex trade continue to prosper.",https://www.nytimes.com/2012/03/16/us/online-sex-trade-flourishing-despite-efforts-to-curb-it.html,"Two years after public and pressure prompted Craigslist.org to scrap its “erotic services” section, other classified Web sites that serve the sex trade continue to prosper.","Early this month, the social networking Web site itspimpin101.net fell into disarray after its founder, Kelly Surrell, was fatally wounded in a shooting while driving his Bentley in East Oakland.",A,21A,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/16/us/16BCSITES/16BCSITES-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2012/03/16/us/16BCSITES/16BCSITES-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/16/us/16BCSITES/16BCSITES-blog480.jpg', 'height': 285, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/16/us/16BCSITES/16BCSITES-jumbo.jpg', 'height': 608, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/16/us/16BCSITES/16BCSITES-popup.jpg', 'height': 386, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/16/us/16BCSITES/16BCSITES-articleInline.jpg', 'height': 113, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/03/16/us/16BCSITES/16BCSITES-sfSpan.jpg', 'height': 234, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'subject', 'value': 'Computers and the Internet', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Prostitution', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Human Trafficking', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Online Advertising', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Classified Advertising', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Craigslist', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco Bay Area (Calif)', 'rank': 7, 'major': 'N'}]",2012-03-16T06:53:55+0000,article,National,U.S.,,News,nyt://article/36661f60-7733-5bdb-9aa8-9a971af3926f,1166,nyt://article/36661f60-7733-5bdb-9aa8-9a971af3926f,Online Sex Trade Is Flourishing Despite Efforts to Curb It,The Bay Citizen,,Online Sex Trade Is Flourishing Despite Efforts to Curb It,,,,By Shoshana Walter,"[{'firstname': 'Shoshana', 'middlename': None, 'lastname': 'Walter', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,Guests came from both sides of the Atlantic for a White House dinner honoring the British prime minister.,https://thecaucus.blogs.nytimes.com/2012/03/14/guest-list-for-state-dinner-includes-big-names-and-ordinary-people/,Guests came from both sides of the Atlantic for a White House dinner honoring the British prime minister.,"Most people have probably heard of the actor George Clooney by now. But the name Elaine Brye might not ring a bell outside of Winona, Ohio.",,,The New York Times,[],"[{'name': 'persons', 'value': 'Cameron, David', 'rank': 1, 'major': 'N'}]",2012-03-15T01:07:09+0000,article,,U.S.,Politics,News,nyt://article/77676b5c-1901-5352-844d-ebe2d09aac6a,274,nyt://article/77676b5c-1901-5352-844d-ebe2d09aac6a,Guest List for State Dinner Includes Big Names and Ordinary People,The Caucus,,,,,,By Ashley Southall,"[{'firstname': 'Ashley', 'middlename': None, 'lastname': 'Southall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,"Fannie Mae and Freddie Mac have become major residential landowners in the Bay Area, and some complain that they are hurting neighborhoods by not keeping all of their properties in good repair.",https://www.nytimes.com/2012/03/04/us/fannie-mae-and-freddie-mac-are-criticized-for-bay-area-properties-in-disrepair.html,"Fannie Mae and Freddie Mac have become major residential landowners in the Bay Area, and some complain that they are hurting neighborhoods by not keeping all of their properties in good repair.","Every few weeks, Alvin Chandra cleans up the garbage that has accumulated in the vacant lot next to his granite fabrication plant on Adeline Street in West Oakland — soiled mattresses, worn-out sofa beds and piles of used fast food containers. ",A,27A,The New York Times,[],"[{'name': 'organizations', 'value': 'Federal National Mortgage Association (Fannie Mae)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Home Loan Mortgage Corp (Freddie Mac)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'San Francisco Bay Area (Calif)', 'rank': 6, 'major': 'N'}]",2012-03-04T02:41:03+0000,article,National,U.S.,,News,nyt://article/78316214-a4cd-51c9-9c86-3c305876e950,657,nyt://article/78316214-a4cd-51c9-9c86-3c305876e950,Companies Foreclose; Blight Follows,The Bay Citizen,,Companies Foreclose; Blight Follows,,,,By Aaron Glantz,"[{'firstname': 'Aaron', 'middlename': None, 'lastname': 'Glantz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2012/02/28/morning-take-out-430/,Highlights from the DealBook newsletter.,"Bending the Tax Code, and Lifting A.I.G.’s Profit  |  Last week, the American International Group reported a whopping $19.8 billion profit for its fourth quarter. It was a quite a feat for a company that was on its death bed just a little over three years ago, so sick that it needed a huge taxpayer bailout, Andrew Ross Sorkin writes in his DealBook column.",,,The New York Times,[],[],2012-02-28T13:41:00+0000,article,,Business Day,,News,nyt://article/fdc4c14e-eecc-52ea-8216-810a534b85f1,2254,nyt://article/fdc4c14e-eecc-52ea-8216-810a534b85f1,Morning Take-Out,DealBook,,,,,,By William Alden,"[{'firstname': 'William', 'middlename': None, 'lastname': 'Alden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,"Proponents of debt forgiveness note that roughly one out of five Americans owes more on a home than it is worth, and that negative equity totals almost $700 billion.",https://www.nytimes.com/2012/02/28/business/california-seeks-to-suspend-foreclosures.html,"Proponents of debt forgiveness note that roughly one out of five Americans owes more on a home than it is worth, and that negative equity totals almost $700 billion.","California’s attorney general, Kamala D. Harris, has ratcheted up the pressure on Fannie Mae and Freddie Mac to allow debt reduction on their home loans by asking the mortgage finance giants to halt foreclosures in the state.",B,4,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-blog480.jpg', 'height': 314, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-jumbo.jpg', 'height': 670, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-popup.jpg', 'height': 425, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-articleInline.jpg', 'height': 124, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/28/business/Mortgage1/Mortgage1-sfSpan.jpg', 'height': 258, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'organizations', 'value': 'Federal Home Loan Mortgage Corp (Freddie Mac)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal National Mortgage Association (Fannie Mae)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 6, 'major': 'N'}]",2012-02-27T22:38:46+0000,article,Business,Business Day,,News,nyt://article/35bf2780-e11d-53a7-8bc7-f6356d96c014,641,nyt://article/35bf2780-e11d-53a7-8bc7-f6356d96c014,Pressure Grows on Fannie and Freddie to Cut Principal on Loans,,,Pressure Grows on Fannie and Freddie to Reduce Principal on Some Loans,,,,By Shaila Dewan,"[{'firstname': 'Shaila', 'middlename': None, 'lastname': 'Dewan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,"As an economic concept, “moral hazard” means that people are apt to take undue risks if they don’t have to bear the consequences. But it’s also part of the debate on the limits of self-reliance.",https://www.nytimes.com/2012/02/26/business/moral-hazard-as-the-flip-side-of-self-reliance.html,"As an economic concept, “moral hazard” means that people are apt to take undue risks if they don’t have to bear the consequences. But it’s also part of the debate on the limits of self-reliance.","THE reports outraged America: In the wake of Hurricane Katrina, people who fled the ravaged Gulf Coast were spending disaster relief, paid for by taxpayers, on tattoos, $800 handbags and trips to topless bars.",BU,1,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/26/business/26-MORAL/26-MORAL-jumbo.jpg', 'height': 1024, 'width': 718, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/26/business/26-MORAL/26-MORAL-popup.jpg', 'height': 500, 'width': 351, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/26/business/26-MORAL/26-MORAL-articleInline.jpg', 'height': 271, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'Insurance', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Economics (Theory and Philosophy)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Subprime Mortgage Crisis', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Foreclosures', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 6, 'major': 'N'}]",2012-02-25T18:51:10+0000,article,SundayBusiness,Business Day,,News Analysis,nyt://article/161d672e-17ab-5e66-89f0-250631943418,1582,nyt://article/161d672e-17ab-5e66-89f0-250631943418,Moral Hazard: A Tempest-Tossed Idea,News Analysis,,Moral Hazard: A Tempest-Tossed Idea,,,,By Shaila Dewan,"[{'firstname': 'Shaila', 'middlename': None, 'lastname': 'Dewan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2012/02/23/morning-take-out-427/,Highlights from the DealBook newsletter.,European Banks Struggle Under Continent’s Crisis  |  Several of Europe’s largest banks provided a reminder on Thursday of how much work remained to overcome the effects of the financial crisis that began in 2008 and the sovereign debt crisis that quickly followed.,,,The New York Times,[],[],2012-02-23T13:49:45+0000,article,,Business Day,,News,nyt://article/f8b8b548-b9fa-5b6d-9b87-1e9ea37e2fd3,2272,nyt://article/f8b8b548-b9fa-5b6d-9b87-1e9ea37e2fd3,Morning Take-Out,DealBook,,,,,,By William Alden,"[{'firstname': 'William', 'middlename': None, 'lastname': 'Alden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8,The Obama administration said its suggestions would empower consumers regarding use of their personal data gleaned from Internet searches.,https://www.nytimes.com/2012/02/23/business/white-house-outlines-online-privacy-guidelines.html,The Obama administration said its suggestions would empower consumers regarding use of their personal data gleaned from Internet searches.,WASHINGTON — The Obama administration on Wednesday outlined a set of online privacy principles that officials said would help consumers control the use of their personal data gleaned from Internet searches.,B,1,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-jumbo.jpg', 'height': 682, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/02/23/business/Privacy/Privacy-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'subject', 'value': 'Computers and the Internet', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Privacy', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'E-Commerce', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Computer Security', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Consumer Protection', 'rank': 7, 'major': 'N'}]",2012-02-23T05:01:34+0000,article,Business,Business Day,,News,nyt://article/638a8e3b-5a76-55ef-9f65-fb301cda8ea0,781,nyt://article/638a8e3b-5a76-55ef-9f65-fb301cda8ea0,"White House, Consumers in Mind, Offers Online Privacy Guidelines",,,"White House, Consumers in Mind, Offers Online Privacy Guidelines",,,,By Edward Wyatt,"[{'firstname': 'Edward', 'middlename': None, 'lastname': 'Wyatt', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"California’s attorney general, Kamala D. Harris, said the state had reached an agreement with Amazon.com, Apple, Google, Hewlett-Packard, Microsoft and Research in Motion to strengthen privacy protections for smartphone owners who download mobile applications. The agreement will force developers to post conspicuous privacy policies.",https://bits.blogs.nytimes.com/2012/02/22/california-attorney-general-reaches-deal-on-app-privacy/,"California’s attorney general, Kamala D. Harris, said the state had reached an agreement with Amazon.com, Apple, Google, Hewlett-Packard, Microsoft and Research in Motion to strengthen privacy protections for smartphone owners who download mobile ...", 4:14 p.m. | Updated  Adding Google statement. ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Mobile Applications', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Privacy', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'AMAZON.COM INC', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Apple Incorporated', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Google Inc', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Hewlett-Packard Company', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'iTunes', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Microsoft Corporation', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Research In Motion Ltd', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 10, 'major': 'N'}]",2012-02-22T20:37:16+0000,article,,Technology,,News,nyt://article/175e7442-8863-57db-9304-0698e1ad4c98,600,nyt://article/175e7442-8863-57db-9304-0698e1ad4c98,"Apple, Google and Others in Agreement on App Privacy",Bits,,,,,,By Nicole Perlroth and Nick Bilton,"[{'firstname': 'Nicole', 'middlename': None, 'lastname': 'Perlroth', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Nick', 'middlename': None, 'lastname': 'Bilton', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
