,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0," EVENTS    ''GONE FISHING,'' Robert F. Wagner Jr. Park, Battery Park City, Lower Manhattan. Catch-and-release fishing today, 11:30 a.m. to 1:30 p.m. Free; equipment provided. Sponsored by the Battery Park City Parks Conservancy. Information: (212) 267-9700.",https://www.nytimes.com/2003/06/06/arts/spare-times-974927.html,,EVENTS,E,38,The New York Times,[],[],2003-06-06T05:00:00+0000,article,Leisure/Weekend Desk,Arts,Schedule,nyt://article/8de4ee49-a5cc-5b55-a823-3cbf64ee3d29,2982,nyt://article/8de4ee49-a5cc-5b55-a823-3cbf64ee3d29,SPARE TIMES,,,SPARE TIMES,,,,,[],,
1," A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    J. D. ALLEN QUARTET, Jazz Gallery, 290 Hudson Street, at Spring Street, South Village, (212) 242-1063. A young tenor player who's been heard in Cindy Blackman and Duane Eubanks's bands; here he leads a first-class group, with the pianist Orrin Evans, the bassist Eric Revis and the drummer Ali Jackson. Tomorrow at 9 and 10:30; cover charge is $12, $10 for members (Ben Ratliff).",https://www.nytimes.com/2003/06/06/movies/pop-and-jazz-guide-988812.html,,A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,E,8,The New York Times,[],[],2003-06-06T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/121547d4-3445-57ef-9dc3-cd7fcce36628,3482,nyt://article/121547d4-3445-57ef-9dc3-cd7fcce36628,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,
2,Classical/Opera.,https://www.nytimes.com/2003/06/01/arts/music/music-listings.html,Classical/Opera., Classical/Opera ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2003-06-01T05:00:00+0000,article,Arts / Music,Arts,News,nyt://article/c5dbe52d-6cb4-5af1-a919-570f9933d773,2369,nyt://article/c5dbe52d-6cb4-5af1-a919-570f9933d773,Music Listings,,,Music Listings,,,,,[],,Music
3,List of books alphabetized under genre headings selected from books reviewed since Holiday Books issue of December 2002; drawing (L),https://www.nytimes.com/2003/06/01/books/reading.html,List of books alphabetized under genre headings selected from books reviewed since Holiday Books issue of December 2002; drawing (L),This list has been selected from books reviewed since the Holiday Books issue of December 2002. The books are alphabetized under genre headings; the complete reviews can be found at nytimes.com/books.,7,18,The New York Times,[],"[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}]",2003-06-01T05:00:00+0000,article,Book Review Desk,Books,List,nyt://article/fb013ab6-0b4f-5bc9-847d-ba66eb7f0b9f,8126,nyt://article/fb013ab6-0b4f-5bc9-847d-ba66eb7f0b9f,READING,,,READING,,,,,[],,
4,"A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    * JOS&#201; ALBERTO'S T&#205;PICA 73 REUNION, Copacabana, 560 West 34th Street, Manhattan, (212) 239-2672. In the late 1970's and early 80's, the high-flying Dominican salsa singer (and whistler) Jos&#233; Alberto (El Canario) led T&#237;pica 73, a group that linked salsa with its Cuban heritage. This show reunites him with an all-star band that includes Alfredo de la F&#233; on violin, Sonny Bravo on piano, Mario Rivera on saxophones and Nelson Gonz&#225;lez on guitar. Tomorrow night after 10; general admission is $25, table seats $35, plus a two-drink minimum (Jon Pareles).",https://www.nytimes.com/2003/05/30/movies/pop-and-jazz-guide-896713.html,,A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,E,23,The New York Times,[],[],2003-05-30T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/79cd8e99-ee5e-588d-be47-5e65171f101e,2806,nyt://article/79cd8e99-ee5e-588d-be47-5e65171f101e,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,
5,Classical/Opera.,https://www.nytimes.com/2003/05/25/arts/music/music-listings.html,Classical/Opera., Classical/Opera ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2003-05-25T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/17c3c998-cdaa-52a8-bb08-27fa2e31cba0,2347,nyt://article/17c3c998-cdaa-52a8-bb08-27fa2e31cba0,Music Listings,,,Music Listings,,,,,[],,Music
6,"A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    ANIMAL COLLECTIVE, Tonic, 107 Norfolk Street, near Delancey Street, Lower East Side, (212) 358-7503. The Animal Collective, featuring Avey Tare, Panda Bear, Geologist and Deaken, has been making whimsical, convoluted studio albums full of odd electronic noises and childlike delight. It shares the bill with Espers and Gang Gang Dance. Sunday night at 8; admission is $8 (Jon Pareles).",https://www.nytimes.com/2003/05/23/movies/pop-and-jazz-guide-797103.html,,A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,E,30,The New York Times,[],[],2003-05-23T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/178c7ce7-f591-5d09-8a84-0c85e7cf7f47,3359,nyt://article/178c7ce7-f591-5d09-8a84-0c85e7cf7f47,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,
7,Classical/Opera.,https://www.nytimes.com/2003/05/18/arts/music/music-listings.html,Classical/Opera., Classical/Opera ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2003-05-18T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/b52422f8-3946-5b9a-9f31-e0d32d0fcded,2424,nyt://article/b52422f8-3946-5b9a-9f31-e0d32d0fcded,Music Listings,,,Music Listings,,,,,[],,Music
8," EVENTS    P.S. 11 BENEFIT, Chelsea Market, Ninth and Tenth Avenues, between 15th and 16th Streets. Food and drink sampling from more than 20 restaurants, including Boulud, Amy's Bread, Hale and Hearty Soup, and the Chelsea Market Basket. Today, 6 to 9 p.m. Admisssion, $30. Information: (212) 496-4520.    NEW YORK ASIAN FILM FESTIVAL, Anthology Film Archives, 32 Second Avenue, at Second Street, East Village. With more than 20 films from Korea, India, Hong Kong, Taiwan, Thailand and Japan. Through May 26. Screenings this weekend today at 6:30, 9 and 11:30 p.m.; tomorrow at 2, 4, 6:15, 9 and 11:30 p.m.; and Sunday at 2, 4:15, 6:45 and 9:15 p.m. Admission, $8. Information: (212) 592-3259; www.subwaycinema.com.",https://www.nytimes.com/2003/05/16/arts/spare-times-704342.html,,EVENTS,E,38,The New York Times,[],[],2003-05-16T05:00:00+0000,article,Leisure/Weekend Desk,Arts,Schedule,nyt://article/914af796-42d9-5688-b621-21cd6ace3b46,1958,nyt://article/914af796-42d9-5688-b621-21cd6ace3b46,SPARE TIMES,,,SPARE TIMES,,,,,[],,
9," A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    * AARKTICA, Galapagos, 70 North Sixth Street, Williamsburg, Brooklyn, (718) 782-5188. Aarktica's songs are extended reveries, built on loops of guitars and drums and occasional voices. The musical elements hover and circle, float by or bristle with distortion, as the songs drift through serenity and trouble. Tomorrow night at 7; admission is $8 (Jon Pareles).",https://www.nytimes.com/2003/05/16/movies/pop-and-jazz-guide-705284.html,,A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,E,7,The New York Times,[],[],2003-05-16T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/f9d2b1df-bbb3-5947-9994-4fac500ffabc,2970,nyt://article/f9d2b1df-bbb3-5947-9994-4fac500ffabc,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,
