,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,subsection_name
0,"President Bush expressed sadness today over the conviction of the vice president’s former chief of staff, while a spokesman tried to douse speculation about a pardon.",https://www.nytimes.com/2007/03/07/washington/07cnd-pardon.html,"President Bush expressed sadness today over the conviction of the vice president’s former chief of staff, while a spokesman tried to douse speculation about a pardon.","WASHINGTON, March 7 — If some people imagined a verdict in the criminal trial of I. Lewis Libby Jr. would calm the political passions surrounding his fate, they may have forgotten two words with a combustible history: presidential pardon.",The New York Times,[],[],2007-03-07T05:00:00+0000,article,ContinuousNews,Washington,News,nyt://article/c635ce13-58b2-512d-bdcc-a16ffbe8e981,1159,nyt://article/c635ce13-58b2-512d-bdcc-a16ffbe8e981,Pardon Libby? Left and Right Erupt in a Fight,,,,,,,By Scott Shane,"[{'firstname': 'Scott', 'middlename': None, 'lastname': 'Shane', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
1,THEATER,https://www.nytimes.com/2007/03/04/arts/04weekahead.html,,THEATER,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/01/arts/04week600.1.jpg', 'height': 300, 'width': 600, 'legacy': {'xlarge': 'images/2007/03/01/arts/04week600.1.jpg', 'xlargewidth': 600, 'xlargeheight': 300}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/01/arts/04week600.1.jpg', 'height': 300, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/01/arts/04week75.1.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/03/01/arts/04week75.1.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2007-03-04T10:42:00+0000,article,Arts&Leisure,Arts,News,nyt://article/32e4e88a-3826-58f9-97fa-381e4d32d713,2135,nyt://article/32e4e88a-3826-58f9-97fa-381e4d32d713,The Week Ahead: March 4 - 10,,,,,,,By The New York Times,[],The New York Times,,,
2,AROUND TOWN.,https://www.nytimes.com/2007/03/02/arts/02spare.html,AROUND TOWN.,AROUND TOWN,The New York Times,[],[],2007-03-02T05:00:00+0000,article,Weekend,Arts,News,nyt://article/b138d7a5-4fb5-5907-adcb-20c1de2cd217,2526,nyt://article/b138d7a5-4fb5-5907-adcb-20c1de2cd217,Spare Times,,,,,,,By The New York Times,[],The New York Times,E,23,
3,POP.,https://www.nytimes.com/2007/03/02/arts/music/02Pop.html,POP.,POP,The New York Times,[],"[{'name': 'glocations', 'value': 'Manhattan (NYC)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 2, 'major': 'N'}]",2007-03-02T05:00:00+0000,article,Weekend,Arts,News,nyt://article/337ae1b0-5e85-5f6f-94bd-ac11dcbeffaf,2004,nyt://article/337ae1b0-5e85-5f6f-94bd-ac11dcbeffaf,Pop and Rock Listings,,,,,,,By The New York Times,[],The New York Times,E,20,Music
4,JAZZ.,https://www.nytimes.com/2007/03/02/arts/music/02Jazz.html,JAZZ.,JAZZ,The New York Times,[],[],2007-03-02T05:00:00+0000,article,Weekend,Arts,News,nyt://article/855506d3-919e-5a47-972a-f9c502d9425f,2096,nyt://article/855506d3-919e-5a47-972a-f9c502d9425f,Jazz Listings,,,,,,,By The New York Times,[],The New York Times,E,21,Music
5,"If you’re a patriotic American who believes in extrasensory perception, I have some bad news for you — assuming you haven’t already gotten it from my brain on your personal wireless network. ",https://tierneylab.blogs.nytimes.com/2007/03/01/the-esp-gap/,,"If you’re a patriotic American who believes in extrasensory perception, I have some bad news for you — assuming you haven’t already gotten it from my brain on your personal wireless network. ",The New York Times,[],[],2007-03-02T00:55:44+0000,article,,Science,News,nyt://article/575a3357-244f-54de-9f7e-4a9ce3a4b73a,672,nyt://article/575a3357-244f-54de-9f7e-4a9ce3a4b73a,The E.S.P. Gap,TierneyLab,,,,,,By John Tierney,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Tierney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
6,Workers’ trucks double-park as several renovations bring a fresh wave of change to East 93rd Street from Madison to Fifth Avenues in the Carnegie Hill Historic District.,https://www.nytimes.com/2007/02/25/realestate/25scap.html,Workers’ trucks double-park as several renovations bring a fresh wave of change to East 93rd Street from Madison to Fifth Avenues in the Carnegie Hill Historic District.,"SLOPING down from the crest of Carnegie Hill, East 93rd Street from Madison to Fifth Avenues is a peaceful block in the Carnegie Hill Historic District, with a mix of old brownstones and later town-house renovations of the 1920s and 1930s. Now workers’ trucks double-park here as several renovations bring a fresh wave of change. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/02/25/realestate/25scap1.600.jpg', 'height': 240, 'width': 600, 'legacy': {'xlarge': 'images/2007/02/25/realestate/25scap1.600.jpg', 'xlargewidth': 600, 'xlargeheight': 240}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/02/25/realestate/25scap1.600.jpg', 'height': 240, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/02/25/realestate/25scape2.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/02/25/realestate/25scape2.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Restoration and Rehabilitation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Historic Buildings and Sites', 'rank': 2, 'major': 'N'}]",2007-02-25T05:00:00+0000,article,RealEstate,Real Estate,News,nyt://article/18b6cfc1-da6a-53db-b2b4-358074b9608e,912,nyt://article/18b6cfc1-da6a-53db-b2b4-358074b9608e,A Wave of Change for a Quiet Block,Streetscapes | East 93rd Street,,A Wave of Change for a Quiet Block,,,,By Christopher Gray,"[{'firstname': 'Christopher', 'middlename': None, 'lastname': 'Gray', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,RE,8,
7,POP.,https://www.nytimes.com/2007/02/23/arts/music/23pop.html,POP.,POP,The New York Times,[],"[{'name': 'glocations', 'value': 'Manhattan (NYC)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 2, 'major': 'N'}]",2007-02-23T05:00:00+0000,article,Weekend,Arts,News,nyt://article/1cfb8b5b-e074-5eea-86dd-17794de0595a,1964,nyt://article/1cfb8b5b-e074-5eea-86dd-17794de0595a,Pop and Rock Listings,,,,,,,By The New York Times,[],The New York Times,E,25,Music
8,ON FLANNERY O’CONNOR.,https://www.nytimes.com/2007/02/18/travel/18letters.html,ON FLANNERY O’CONNOR.,ON FLANNERY O’CONNOR ,The New York Times,[],[],2007-02-18T05:00:00+0000,article,Travel,Travel,Letter,nyt://article/792e8eeb-94f8-5aa6-b8ab-d610537b6045,583,nyt://article/792e8eeb-94f8-5aa6-b8ab-d610537b6045,Letters to the Editor,,,,,,,,[],,TR,3,
9,AROUND TOWN.,https://www.nytimes.com/2007/02/16/arts/16spar.html,AROUND TOWN.,AROUND TOWN,The New York Times,[],[],2007-02-16T05:00:00+0000,article,Weekend,Arts,News,nyt://article/26a9b4e6-2adb-5573-8bda-5a57af40b279,2374,nyt://article/26a9b4e6-2adb-5573-8bda-5a57af40b279,Spare Times,,,,,,,By The New York Times,[],The New York Times,E,29,
