,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"Michael Kalesniko's acerbic comedy is a Hollywood rarity, a movie about an icy grown-up heart-warmed by a child that doesn't wield emotional pliers to try to squeeze out tears. That frosty heart belongs to Peter McGowan (Kenneth Branagh), a whiny, cynical British-American playwright, nicknamed America's Favorite Bastard, who lives comfortably in a Los Angeles suburb with his wife, Melanie (Robin Wright Penn). The child, Amy Walsh (Suzi Hofrichter), is an 8-year-old who moves in next door with her mother, Trina (Lucinda Jenney), and their very noisy dog, Baby. &quot;How to Kill Your Neighbor's Dog&quot; reminds us that when it comes to comedy, it's  all in the writing. Mr. Kalesniko's satirically barbed screenplay, whose spirit harks back to the comic heyday of Blake Edwards, stirs up an insistent verbal energy that rarely flags. – Stephen Holden",https://www.nytimes.com/2002/02/22/movies/film-review-a-tale-of-2-neighbors-both-pains-in-the-neck.html,"Michael Kalesniko's acerbic comedy is a Hollywood rarity, a movie about an icy grown-up heart-warmed by a child that doesn't wield emotional pliers to try to squeeze out tears. That frosty heart belongs to Peter McGowan (Kenneth Branagh), a whiny,...","Michael Kalesniko's acerbic comedy, ''How to Kill Your Neighbor's Dog,'' is a Hollywood rarity, a movie about an icy grown-up heart-warmed by a child that doesn't wield emotional pliers to try to squeeze out tears. That frosty heart belongs to Peter McGowan (Kenneth Branagh), a whiny, cynical British-American playwright, nicknamed America's Favorite Bastard, who lives comfortably in a Los Angeles suburb with his wife, Melanie (Robin Wright Penn).",E,12,The New York Times,[],"[{'name': 'persons', 'value': 'Branagh, Kenneth', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Penn, Robin Wright', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'KALESNIKO, MICHAEL', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'MOTION PICTURES', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': ""How to Kill Your Neighbor's Dog (Movie)"", 'rank': 6, 'major': 'N'}]",2002-02-22T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Review,nyt://article/04224e68-7f53-568d-9d86-f6f9fa745df3,904,nyt://article/04224e68-7f53-568d-9d86-f6f9fa745df3,"A Tale of 2 Neighbors, Both Pains in the Neck",FILM REVIEW,,"FILM REVIEW; A Tale of 2 Neighbors, Both Pains in the Neck",,,,By Stephen Holden,"[{'firstname': 'Stephen', 'middlename': None, 'lastname': 'Holden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,(Approximate running times are given at end of Broadway and Off Broadway listings.).,https://www.nytimes.com/2002/02/03/arts/theater/theater-listings.html,(Approximate running times are given at end of Broadway and Off Broadway listings.)., Approximate running times are given at end of Broadway and Off Broadway listings. ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}]",2002-02-03T05:00:00+0000,article,Arts,Theater,News,nyt://article/2c815b2b-be6b-5a73-8d7a-f05b349946c7,2074,nyt://article/2c815b2b-be6b-5a73-8d7a-f05b349946c7,Theater Listings,,,Theater Listings,,,,,[],
2,Approximate running times are given at end of Broadway and Off Broadway listings.),https://www.nytimes.com/2002/01/27/arts/theater/theater-listings.html,Approximate running times are given at end of Broadway and Off Broadway listings.), Approximate running times are given at end of Broadway and Off Broadway listings.) ,,,The New York Times,[],[],2002-01-27T05:00:00+0000,article,Arts,Theater,News,nyt://article/08d72822-fc54-5912-9e20-9adf8c9863bb,2015,nyt://article/08d72822-fc54-5912-9e20-9adf8c9863bb,Theater Listings,,,Theater Listings,,,,,[],
3,(Approximate running times are given at end of Broadway and Off Broadway listings.).,https://www.nytimes.com/2001/09/30/arts/theater/theater-listings.html,(Approximate running times are given at end of Broadway and Off Broadway listings.)., Approximate running times are given at end of Broadway and Off Broadway listings. ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}]",2001-09-30T05:00:00+0000,article,Arts,Theater,News,nyt://article/584d0e09-f313-5fcd-a884-e547cc487f91,2663,nyt://article/584d0e09-f313-5fcd-a884-e547cc487f91,Theater Listings,,,Theater Listings,,,,By,[],
4,(Approximate running times are given at end of Broadway and Off Broadway listings.).,https://www.nytimes.com/2001/09/23/arts/theater/theater-listings.html,(Approximate running times are given at end of Broadway and Off Broadway listings.)., Approximate running times are given at end of Broadway and Off Broadway listings.) ,,,The New York Times,[],"[{'name': 'glocations', 'value': 'Broadway', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Theater 80', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Ionesco, Eugene', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'MOTION PICTURES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Culture', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Dancing', 'rank': 7, 'major': 'N'}]",2001-09-23T05:00:00+0000,article,Arts,Theater,News,nyt://article/6fa8aead-eebf-5ddb-812d-8f9f5c2f282b,2466,nyt://article/6fa8aead-eebf-5ddb-812d-8f9f5c2f282b,Theater Listings,,,Theater Listings,,,,By,[],
5, BASEBALL    MLB--Suspended Philadelphia Phillies RHP Jose Mesa two games for throwing at St. Louis Cardinals OF Jim Edmonds in an Aug. 19 game.  American League  TAMPA BAY DEVIL RAYS--Announced the Seattle Mariners have purchased the contract of C Pat Borders and assigned him to Tacoma of the PCL.  TEXAS RANGERS--Announced RHP Kevin Foster has refused assignment to Oklahoma of the PCL and was granted free agency.    National League  SAN FRANCISCO GIANTS--Recalled RHP Ryan Jensen from Fresno of the PCL. Optioned LHP Chad Zerbe to Fresno.  California League  MODESTO ATHLETICS--Announced OF Adam Piatt has been added on a rehab assignment. Announced RHP Shane Bazzell was promoted to Midland of the Texas League. Added LHP John Rheinecker and RHP Tanner Trosper to the roster.  SAN JOSE GIANTS--Announced RHP Jeff Alfano has been assigned to Shreveport of the Texas League.,https://www.nytimes.com/2001/08/28/sports/transactions-905909.html,,BASEBALL,D,7,The New York Times,[],[],2001-08-28T05:00:00+0000,article,Sports Desk,Sports,List,nyt://article/60d86756-b175-5faf-a34d-6c5f95dcc65b,964,nyt://article/60d86756-b175-5faf-a34d-6c5f95dcc65b,TRANSACTIONS,,,TRANSACTIONS,,,,,[],
6, BASEBALL    American League  BALTIMORE ORIOLES--Purchased the contract of RHP Jorge Julio from Bowie of the Eastern League. Optioned LHP John Bale to Rochester of the International League.  TEXAS RANGERS--Sent RHP Jonathan Johnson to Oklahoma of the PCL.    Pacific Coast League  CALGARY CANNONS--Announced RHP Chuck Smith has been assigned to the team by the Florida Marlins of the NL.,https://www.nytimes.com/2001/04/25/sports/transactions-020419.html,,BASEBALL,D,6,The New York Times,[],[],2001-04-25T05:00:00+0000,article,Sports Desk,Sports,List,nyt://article/2df752a7-4cae-5ac6-8d0d-1a5c6ec5a803,558,nyt://article/2df752a7-4cae-5ac6-8d0d-1a5c6ec5a803,TRANSACTIONS,,,TRANSACTIONS,,,,,[],
7,Directory of ship cruises worldwide this spring and summer; photos (L),https://www.nytimes.com/2001/02/04/travel/spring-summer-cruises-more-ships-mean-more-ports.html,Directory of ship cruises worldwide this spring and summer; photos (L),"EVEN though three cruise lines -- Premier, Commodore and Crown -- have suspended service since last September, the cruise industry last year experienced an 11 percent increase in capacity and a 16 percent growth in passengers from North America. Some 6.9 million North Americans took cruises last year, compared with 3.6 million in 1990, according to Cruise Lines International Association.",5,11,The New York Times,[],"[{'name': 'subject', 'value': 'Ships and Shipping', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Cruises', 'rank': 3, 'major': 'N'}]",2001-02-04T05:00:00+0000,article,Travel Desk,Travel,News,nyt://article/aad96a1b-dcc9-51c7-88de-914fcd68dc48,35508,nyt://article/aad96a1b-dcc9-51c7-88de-914fcd68dc48,More Ships Mean More Ports,SPRING-SUMMER CRUISES,,SPRING-SUMMER CRUISES; More Ships Mean More Ports,,,,By Vernon Kidd,"[{'firstname': 'Vernon', 'middlename': None, 'lastname': 'Kidd', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
8," ARCHERY  U.S. Target  Men's Olympic Bow: Richard Johnson, Woodstock, Conn.  Women's Olympic Bow: Karen Scavotto, Enfield, Conn.  Men's Compound Bow: Dave Cousins, Westbrooke, Me.  Women's Compound Bow: Christie Bisco, Raymond, Me.    U.S. Intercollegiate  Team: Texas A&M.  Men's Olympic Bow: Christopher Shull, Texas A&M.  Women's Olympic Bow: Jessica Carlson, Michigan State.  Men's Compound Bow: Caleb Heller, James Madison.  Women's Compound Bow: Sally Wunderle, Eastern Illinois.  Men's Olympic Bow Team: Texas A&M.  Women's Olympic Bow Team: Texas A&M.  Men's Compound Bow Team: James Madison.  Women's Compound Bow Team: Texas A&M.",https://www.nytimes.com/2000/12/31/sports/champions-2000-from-sydney-to-the-bronx-the-winners.html,,ARCHERY,8,5,The New York Times,[],[],2000-12-31T05:00:00+0000,article,Sports Desk,Sports,List,nyt://article/a6d099f4-8e69-527e-8858-6b087c92c60a,14260,nyt://article/a6d099f4-8e69-527e-8858-6b087c92c60a,"From Sydney To the Bronx, the Winners",CHAMPIONS 2000,,"CHAMPIONS 2000; From Sydney To the Bronx, the Winners",,,,Compiled by Vincent M. Mallozzi,"[{'firstname': 'Vincent', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,Scene at Omo Norma Kamali showroom in Manhattan during pre-Fourth of July swimsuit sample sale described; photo (M),https://www.nytimes.com/2000/07/02/nyregion/neighborhood-report-midtown-buzz-mere-bits-skimpy-plastic-are-hits-sample-sale.html,Scene at Omo Norma Kamali showroom in Manhattan during pre-Fourth of July swimsuit sample sale described; photo (M),"THE SETTING -- The cool, vaultlike showrooms of Omo Norma Kamali, designer known for her bare-it-all bikinis and stretchy swimsuits. Not only is it a sample sale day at the 56th Street store, but also, the Fourth of July holiday looms. With casual desperation, shoppers examine more than 30 styles of suits in a rainbow of fruity colors, shimmery metals and predator skins. At discounts of 40 to 75 percent, prices are $25 to $123.",14,6,The New York Times,[],"[{'name': 'organizations', 'value': 'Omo Norma Kamali', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Bathing Suits', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'APPAREL', 'rank': 3, 'major': 'N'}]",2000-07-02T05:00:00+0000,article,The City Weekly Desk,New York,News,nyt://article/c36241c9-becc-5f4e-8bc6-81066e6dd5d6,458,nyt://article/c36241c9-becc-5f4e-8bc6-81066e6dd5d6,Mere Bits of Skimpy Plastic Are Hits at Sample Sale Day,NEIGHBORHOOD REPORT: MIDTOWN -- BUZZ,,NEIGHBORHOOD REPORT: MIDTOWN -- BUZZ; Mere Bits of Skimpy Plastic Are Hits at Sample Sale Day,,,,By Kelly Crow,"[{'firstname': 'Kelly', 'middlename': None, 'lastname': 'Crow', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
