,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page,type_of_material
0,"In a setback for Senator Christopher J. Dodd, the Senate voted to amend its financial regulatory legislation to allow the Federal Reserve to retain its supervision of state-chartered banks and some bank-holding companies.",https://thecaucus.blogs.nytimes.com/2010/05/12/senate-votes-to-continue-fed-oversight-of-state-banks/,"In a setback for Senator Christopher J. Dodd, the Senate voted to amend its financial regulatory legislation to allow the Federal Reserve to retain its supervision of state-chartered banks and some bank-holding companies.",The Senate on Wednesday voted to amend its major financial regulatory legislation to allow the Federal Reserve to retain its supervision of state-chartered banks and bank-holding companies with less than $50 billion in assets rather than transfer that supervisory authority to the Federal Deposit Insurance Corporation.,The New York Times,[],[],2010-05-12T17:15:45+0000,article,National,U.S.,Politics,nyt://article/ba7bd5a7-2ac2-5ae7-8c57-6136fbf9a848,240,nyt://article/ba7bd5a7-2ac2-5ae7-8c57-6136fbf9a848,Senate Backs Fed Oversight of State Banks,The Caucus,,,,,,By David M. Herszenhorn,"[{'firstname': 'David', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
1,Rachael Ray sounded off to lawmakers about what she considers to be the stingy reimbursement rates in the Child Nutrition Act.,https://www.nytimes.com/2010/05/12/nyregion/12food.html,Rachael Ray sounded off to lawmakers about what she considers to be the stingy reimbursement rates in the Child Nutrition Act.,WASHINGTON — Rachael Ray’s signature smile evaporated during a car ride to the Capitol on Tuesday. None of her trademark catchphrases — “Yum-o” or “fantabulous” — tumbled from her mouth. ,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/12/nyregion/12food_CA0_337-inline/12food_CA0-popup.jpg', 'height': 442, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/12/nyregion/12food_CA0_337-inline/12food_CA0-articleInline.jpg', 'height': 128, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/12/nyregion/12food_CA0_337-inline/12food_CA0-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/05/12/nyregion/12food_CA0_337-inline/12food_CA0-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Senate', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Gillibrand, Kirsten E', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Lunch and Breakfast Programs', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Ray, Rachael', 'rank': 7, 'major': 'N'}]",2010-05-12T01:10:28+0000,article,Metro,New York,,nyt://article/1fae15be-3ea0-5802-9704-80df0353d617,799,nyt://article/1fae15be-3ea0-5802-9704-80df0353d617,Rachael Ray and Senator Lobby for School Lunch,,,TV Chef Asks Capital To Increase Lunch Aid,,,,By Michael Barbaro,"[{'firstname': 'Michael', 'middlename': None, 'lastname': 'Barbaro', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,21,News
2,"A “credible plan” could help long-term interest rates and raise confidence, Ben S. Bernanke said to a Congressional panel.",https://www.nytimes.com/2010/04/15/business/economy/15fed.html,"A “credible plan” could help long-term interest rates and raise confidence, Ben S. Bernanke said to a Congressional panel.",WASHINGTON — The Federal Reserve chairman said Wednesday that the government had to make “difficult choices” to address its gaping deficits and warned that “postponing them will only make them more difficult.” ,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/15/business/economy/15fed-ready/15fed-ready-articleLarge-v2.jpg', 'height': 331, 'width': 600, 'legacy': {'xlarge': 'images/2010/04/15/business/economy/15fed-ready/15fed-ready-articleLarge-v2.jpg', 'xlargewidth': 600, 'xlargeheight': 331}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/15/business/economy/15fed-ready/15fed-ready-popup-v2.jpg', 'height': 442, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/15/business/economy/15fed-ready/15fed-ready-articleInline-v2.jpg', 'height': 252, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/15/business/economy/15fed-ready/15fed-ready-sfSpan-v2.jpg', 'height': 264, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/15/business/economy/15fed-ready/15fed-ready-thumbStandard-v2.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/04/15/business/economy/15fed-ready/15fed-ready-thumbStandard-v2.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'United States Economy', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Reserve System', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Credit', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Interest Rates', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Bernanke, Ben S', 'rank': 5, 'major': 'N'}]",2010-04-14T14:16:23+0000,article,Business,Business Day,Economy,nyt://article/03ad20d8-3b47-5512-abec-485702f3fd6d,996,nyt://article/03ad20d8-3b47-5512-abec-485702f3fd6d,"U.S. Must Start to Rein In Deficit, Fed Chief Says",,,Bernanke Says a Plan to Address the U.S. Deficit Could Keep Rates Down,,,,By Sewell Chan,"[{'firstname': 'Sewell', 'middlename': None, 'lastname': 'Chan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,8,News
3,"At a Judiciary Committee hearing, senators begin discussions about legislation that would affect campaign finance in the wake of the Citizens United ruling.",https://thecaucus.blogs.nytimes.com/2010/03/10/campaign-finance-freak-out/,"At a Judiciary Committee hearing, senators begin discussions about legislation that would affect campaign finance in the wake of the Citizens United ruling.",Is it hyperbole to describe people’s reactions to a Supreme Court decision on campaign finance as “freaking out?”,The New York Times,[],[],2010-03-10T21:00:05+0000,article,National,U.S.,Politics,nyt://article/1e36cc2c-4d90-5939-a908-acc436d44f14,649,nyt://article/1e36cc2c-4d90-5939-a908-acc436d44f14,Campaign Finance Freak-Out,The Caucus,,,,,,By Kate Phillips,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Phillips', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
4,"At the annual National Prayer Breakfast, the president also chides those who would question his citizenship.",https://thecaucus.blogs.nytimes.com/2010/02/04/obama-calls-for-civility-at-prayer-breakfast/,"At the annual National Prayer Breakfast, the president also chides those who would question his citizenship."," President Obama urged Democrats and Republicans to not question one another’s motives and to make an effort to move beyond the cynicism and skepticism that has weighed down the politics of Washington, saying: “Civility is not a sign of weakness.”",The New York Times,[],[],2010-02-04T15:32:53+0000,article,National,U.S.,Politics,nyt://article/562114c0-fc98-5b70-a51b-5766a2b0bcde,831,nyt://article/562114c0-fc98-5b70-a51b-5766a2b0bcde,Obama Calls for ‘Civility’ at Prayer Breakfast,The Caucus,,,,,,By Jeff Zeleny,"[{'firstname': 'Jeff', 'middlename': None, 'lastname': 'Zeleny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
5,"Ben S. Bernanke’s prospects for confirmation to a second term as chairman of the Federal Reserve advanced on Tuesday as the Senate majority leader, Harry Reid, scheduled a crucial vote in the process for Thursday.",https://dealbook.nytimes.com/2010/01/27/vote-on-bernanke-confirmation-is-scheduled-for-thursday/,"Ben S. Bernanke’s prospects for confirmation to a second term as chairman of the Federal Reserve advanced on Tuesday as the Senate majority leader, Harry Reid, scheduled a crucial vote in the process for Thursday.","Ben S. Bernanke’s prospects for confirmation to a second term as chairman of the Federal Reserve advanced on Tuesday as the Senate majority leader, Harry Reid, scheduled a crucial vote in the process for Thursday.",The New York Times,[],"[{'name': 'persons', 'value': 'Bernanke, Ben S', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AMERICAN INTERNATIONAL GROUP', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Reserve System', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Treasury Department', 'rank': 7, 'major': 'N'}]",2010-01-27T10:03:44+0000,article,Business,Business Day,,nyt://article/03365cd6-8c76-5c02-926b-692c5858a0e9,320,nyt://article/03365cd6-8c76-5c02-926b-692c5858a0e9,Vote on Bernanke Set for Thursday,DealBook,,,,,,By Dealbook,"[{'firstname': 'Dealbook', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
6,"The scheduling of the confirmation vote indicates that Senator Harry Reid, the majority leader, is confident a filibuster would be defeated.",https://www.nytimes.com/2010/01/27/business/economy/27fed.html,"The scheduling of the confirmation vote indicates that Senator Harry Reid, the majority leader, is confident a filibuster would be defeated.","WASHINGTON  Ben S. Bernanke’s prospects for confirmation to a second term as chairman of the Federal Reserve advanced on Tuesday as the Senate majority leader, Harry Reid, scheduled a crucial vote in the process for Thursday.",The New York Times,[],"[{'name': 'subject', 'value': 'Filibusters and Debate Curbs', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Reserve System', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bernanke, Ben S', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'American Recovery and Reinvestment Act (2009)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Subprime Mortgage Crisis', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'APPOINTMENTS AND EXECUTIVE CHANGES', 'rank': 8, 'major': 'N'}]",2010-01-27T03:22:41+0000,article,Business,Business Day,Economy,nyt://article/e6f2b68d-8198-5686-93eb-05a2b1533f57,329,nyt://article/e6f2b68d-8198-5686-93eb-05a2b1533f57,Vote on Bernanke Confirmation Is Scheduled for Thursday,,,Vote on Bernanke Confirmation Is Scheduled for Thursday,,,,By Sewell Chan,"[{'firstname': 'Sewell', 'middlename': None, 'lastname': 'Chan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,8,News
7,The future of the health care debate takes front and center on this week’s talk shows just as Nebraska Senator Ben Nelson signed on Saturday to cast the 60th vote in the Senate to support an overhaul.,https://thecaucus.blogs.nytimes.com/2009/12/19/sunday-breakfast-menu-dec-20-2009/,The future of the health care debate takes front and center on this week’s talk shows just as Nebraska Senator Ben Nelson signed on Saturday to cast the 60th vote in the Senate to support an overhaul.,The future of health care legislation takes front and center on this week’s talk shows just as Nebraska Senator Ben Nelson signed on Saturday to cast the 60th vote in the Senate to support of an overhaul.,The New York Times,[],[],2009-12-19T18:22:28+0000,article,National,U.S.,Politics,nyt://article/6d3ed917-87db-5668-a795-c00ef2976128,332,nyt://article/6d3ed917-87db-5668-a795-c00ef2976128,"Sunday Breakfast Menu: Dec. 20, 2009",The Caucus,,,,,,By Ashley Southall,"[{'firstname': 'Ashley', 'middlename': None, 'lastname': 'Southall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
8,A group of Senate Democrats who are considered swing votes on pending climate change and energy legislation sent a letter to President Obama on Thursday morning detailing their conditions for backing any domestic bill or international treaty to address global warming.,https://green.blogs.nytimes.com/2009/12/03/in-letter-to-obama-senators-state-conditions-for-supporting-climate-bill/,A group of Senate Democrats who are considered swing votes on pending climate change and energy legislation sent a letter to President Obama on Thursday morning detailing their conditions for backing any domestic bill or international treaty to ad...,A group of Senate Democrats who are considered swing votes on pending climate change and energy legislation sent a letter to President Obama Thursday morning detailing their conditions for supporting any domestic bill or international treaty to address global warming.,The New York Times,[],[],2009-12-03T16:04:11+0000,article,,Business Day,Energy & Environment ,nyt://article/2cb3244b-0c29-57d0-ac60-064f481f40d0,575,nyt://article/2cb3244b-0c29-57d0-ac60-064f481f40d0,"In Letter to Obama, Senators State Conditions for Supporting Climate Bill",Green,,,,,,By John M. Broder,"[{'firstname': 'John', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
9,Afghanistan and health care stay in the forefront of the weekend’s news.,https://thecaucus.blogs.nytimes.com/2009/10/18/the-sunday-word-afghanistan/,Afghanistan and health care stay in the forefront of the weekend’s news.,"The results of a United Nations-led audit of Afghanistan’s presidential election are expected today, a ruling that will most likely award President Hamid Karzai less than 50 percent of the vote and set the country on track for a second round race. In a flurry of visits and phone calls Saturday, allies pressed the resistant Karzai administration to accept the United Nations verdict. ",The New York Times,[],[],2009-10-18T12:39:32+0000,article,National,U.S.,Politics,nyt://article/4a5d5a96-1eb4-5493-afbc-1686e807ddc1,771,nyt://article/4a5d5a96-1eb4-5493-afbc-1686e807ddc1,The Sunday Word: Afghanistan,The Caucus,,,,,,By Janie Lorber,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'Lorber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
