,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,Afghanistan and health care stay in the forefront of the weekend's news.,https://thecaucus.blogs.nytimes.com/2009/10/18/blogs/18thecaucus-the-sund48413.html,Afghanistan and health care stay in the forefront of the weekend's news.,"The results of a United Nations-led audit of Afghanistan's presidential election are expected today, a ruling that will most likely award President Hamid Karzai less than 50 percent of the vote and set the country on track for a second round race. In a flurry of visits and phone calls Saturday, allies pressed the resistant Karzai administration to accept the United Nations verdict. ",The New York Times,[],[],2009-10-18T12:39:32+0000,article,None,Blogs,Web Log,nyt://article/592f8dda-d280-5417-9b1f-272d761a3a9a,767,nyt://article/592f8dda-d280-5417-9b1f-272d761a3a9a,The Sunday Word: Afghanistan,The Caucus,,The Sunday Word: Afghanistan,,,,By JANIE LORBER,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'LORBER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,Democratic women in Senate speak out on the need for health legislation to improve women's medical care.,https://prescriptions.blogs.nytimes.com/2009/10/08/blogs/08prescriptions-democrat9367.html,Democratic women in Senate speak out on the need for health legislation to improve women's medical care.,Women Democratic senators took to the floor on Thursday to describe the proposed health care legislation as crucial for American women. ,The New York Times,[],[],2009-10-08T22:25:37+0000,article,None,Blogs,Web Log,nyt://article/3dfb1b44-3353-52b5-aca1-b5bc877c6bd6,922,nyt://article/3dfb1b44-3353-52b5-aca1-b5bc877c6bd6,Democratic Women in Senate Speak on Behalf of Health Legislation,Prescriptions,,Democratic Women in Senate Speak on Behalf of Health Legislation,,,,By DAVID M. HERSZENHORN,"[{'firstname': 'David', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
2,Democratic women in Senate speak out on the need for health legislation to improve women’s medical care.,https://prescriptions.blogs.nytimes.com/2009/10/08/democratic-women-in-senate-speak-on-behalf-of-health-legislation/,Democratic women in Senate speak out on the need for health legislation to improve women’s medical care.,Women Democratic senators took to the floor on Thursday to describe the proposed health care legislation as crucial for American women. ,The New York Times,[],[],2009-10-08T22:25:37+0000,article,,Health,,nyt://article/22a4097d-876d-5c44-81e2-98a6020f6cd6,914,nyt://article/22a4097d-876d-5c44-81e2-98a6020f6cd6,Democratic Women in Senate Speak on Behalf of Health Legislation,Prescriptions,,,,,,By David M. Herszenhorn,"[{'firstname': 'David', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,The Minnesota senator can't help but provide a little humor up on Capitol Hill.,https://thecaucus.blogs.nytimes.com/2009/09/23/blogs/23thecaucus-the-fran44477.html,The Minnesota senator can't help but provide a little humor up on Capitol Hill.,Count props and one-liners among the tricks Senator Al Franken has carried over from his comedy career. ,The New York Times,[],[],2009-09-23T18:28:04+0000,article,None,Blogs,Web Log,nyt://article/70892a84-0cc9-547f-b824-fc48951028e3,218,nyt://article/70892a84-0cc9-547f-b824-fc48951028e3,The Franken Funnies,The Caucus,,The Franken Funnies,,,,By JANIE LORBER,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'LORBER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,The Minnesota senator can’t help but provide a little humor up on Capitol Hill.,https://thecaucus.blogs.nytimes.com/2009/09/23/the-franken-funnies/,The Minnesota senator can’t help but provide a little humor up on Capitol Hill.,Count props and one-liners among the tricks Senator Al Franken has carried over from his comedy career. ,The New York Times,[],[],2009-09-23T18:28:04+0000,article,National,U.S.,News,nyt://article/b0cc7c97-98ee-501a-9fd0-289733dcdf9b,217,nyt://article/b0cc7c97-98ee-501a-9fd0-289733dcdf9b,The Franken Funnies,The Caucus,,,,,,By Janie Lorber,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'Lorber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
5,"The Senate approves another expansion of gun rights, despite Amtrak's concerns.",https://thecaucus.blogs.nytimes.com/2009/09/16/blogs/16thecaucus-senate-v43073.html,"The Senate approves another expansion of gun rights, despite Amtrak's concerns.","The Senate voted on Wednesday to allow Amtrak passengers to carry unloaded and locked handguns in checked baggage, even though Amtrak officials had raised concerns that the proposal could present ""numerous challenges.""",The New York Times,[],[],2009-09-16T21:24:09+0000,article,None,Blogs,Web Log,nyt://article/273da419-447e-516a-b575-fc495471820b,564,nyt://article/273da419-447e-516a-b575-fc495471820b,Senate Votes to O.K. Checked Guns on Amtrak,The Caucus,,Senate Votes to O.K. Checked Guns on Amtrak,,,,By BERNIE BECKER,"[{'firstname': 'Bernie', 'middlename': None, 'lastname': 'BECKER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
6,"The Senate approves another expansion of gun rights, despite Amtrak’s concerns.",https://thecaucus.blogs.nytimes.com/2009/09/16/senate-votes-to-ok-guns-on-amtrak/,"The Senate approves another expansion of gun rights, despite Amtrak’s concerns.","The Senate voted on Wednesday to allow Amtrak passengers to carry unloaded and locked handguns in checked baggage, even though Amtrak officials had raised concerns that the proposal could present “numerous challenges.”",The New York Times,[],[],2009-09-16T21:24:09+0000,article,National,U.S.,News,nyt://article/46fbef86-2760-55c2-b074-1922d1dec87c,561,nyt://article/46fbef86-2760-55c2-b074-1922d1dec87c,Senate Votes to O.K. Checked Guns on Amtrak,The Caucus,,,,,,By Bernie Becker,"[{'firstname': 'Bernie', 'middlename': None, 'lastname': 'Becker', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
7,Al Franken demonstrates the art of sticking up for local industry.,https://prescriptions.blogs.nytimes.com/2009/09/16/senator-franken-lobbies-baucus-on-behalf-of-device-makers/,Al Franken demonstrates the art of sticking up for local industry.," During the long, tortured battle to win his seat as Minnesota’s junior senator, Al Franken received an unusually high amount in campaign contributions from fellow comedians and actors, compared with the traditional corporate donors politicians usually rely on.",The New York Times,[],[],2009-09-16T17:37:24+0000,article,,Health,News,nyt://article/e2470f53-7c63-5253-be37-007052deeff6,290,nyt://article/e2470f53-7c63-5253-be37-007052deeff6,Franken Lobbies Baucus on Behalf of Device Makers,Prescriptions,,,,,,By Barry Meier,"[{'firstname': 'Barry', 'middlename': None, 'lastname': 'Meier', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
8,Four senators sent a letter to Senator Max Baucus on Tuesday asking that the finance chairman reconsider fees on medical devices in his health care proposal.,https://www.nytimes.com/2009/09/16/health/policy/16prescriptions.text.html,Four senators sent a letter to Senator Max Baucus on Tuesday asking that the finance chairman reconsider fees on medical devices in his health care proposal.,"The following is a letter to the Senate Finance Committee chairman, Max Baucus, Democrat of Montana, sent by four senators from states that are home to medical device makers. The senators said that they opposed a provision in Mr. Baucus's health care proposal that would impose $4 billion in annual fees on the makers of products like heart pacemakers and artificial hips.",The New York Times,[],[],2009-09-16T17:25:21+0000,article,Washington,Health,Text,nyt://article/1e9c5d9c-2062-5f35-875b-6fc0cc22e501,543,nyt://article/1e9c5d9c-2062-5f35-875b-6fc0cc22e501,Letter Regarding Medical Device Tax,Text,,,,,,,[],,Money & Policy
9,The drug makers like the Baucus plan. They should — they helped create it.,https://prescriptions.blogs.nytimes.com/2009/09/16/drug-makers-like-the-baucus-plan-others-not-so-much/,The drug makers like the Baucus plan. They should — they helped create it.," Earlier this year, after the Senate Finance Committee and the White House asked health industry groups to make concessions to help pay for a health care overhaul, only two groups ultimately came through. One, the drug industry, offered $80 billion over 10 years, while the other, hospitals, offered $155 billion.",The New York Times,[],[],2009-09-16T16:51:28+0000,article,,Health,News,nyt://article/1068f03c-f8d8-5e57-a92b-48b84b01f2d1,713,nyt://article/1068f03c-f8d8-5e57-a92b-48b84b01f2d1,"Baucus Plan Pleases Drug Makers, but Not Other Groups",Prescriptions,,,,,,By Duff Wilson,"[{'firstname': 'Duff', 'middlename': None, 'lastname': 'Wilson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
