,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,"PHILADELPHIA, Sept. 28--The Montreal Expos made it two straight over the Philadelphia Phillies today and swept back into first place in the National League's Eastern Division with one week to play.  ",https://www.nytimes.com/1980/09/29/archives/expos-foil-phils-again-regain-first-place-phillies-box-score.html,,,43,The New York Times,[],[],1980-09-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/18567c16-c01e-5b47-b707-616bd7dbbfc9,0,nyt://article/18567c16-c01e-5b47-b707-616bd7dbbfc9,"Expos Foil Phils Again, Regain First Place; Phillies Box Score ",1,,"Expos Foil Phils Again, Regain First Place; Phillies Box Score ",,,,By Joseph Durso Special To the New York Times,"[{'firstname': 'Joseph', 'middlename': 'Durso', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,"HOUSTON ""HEY, Joe, what team are you  on?"" Cesar Cedeno asked the question as Joe Morgan engaged a quintet of Cincinnati Reds around the batting cage last night, regaling them with the details of his three home runs on the Houston Astros' recent road trip.  ",https://www.nytimes.com/1980/09/28/archives/morgan-is-described-as-soul-of-the-team-in-rise-of-the-astros.html,,,3,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/130a6c10-14fb-5c56-9615-1a5aaeca0f1d,0,nyt://article/130a6c10-14fb-5c56-9615-1a5aaeca0f1d,Morgan Is Described As 'Soul of the Team' In Rise of the Astros; Sambito Praises Morgan Smith Leaves and Returns Character Counts Ryan Given $3.5 Million Contract Mental Approach Important ,1,,Morgan Is Described As 'Soul of the Team' In Rise of the Astros; Sambito Praises Morgan Smith Leaves and Returns Character Counts Ryan Given $3.5 Million Contract Mental Approach Important ,,,,By George Vecsey,"[{'firstname': 'George', 'middlename': None, 'lastname': 'Vecsey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S
2,"When the Mets had won 56 games and lost 57 by Aug. 13, they were an aggressive and optimistic club that had faint hopes of challenging for the National League Eastern Division championship.  ",https://www.nytimes.com/1980/09/28/archives/mets-lose-to-cards-last-place-beckons-brief-rally-stalls.html,,,5,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/2b6fe538-bd9f-5c01-9a70-4a625a891abc,0,nyt://article/2b6fe538-bd9f-5c01-9a70-4a625a891abc,"Mets Lose to Cards, Last Place Beckons; Brief Rally Stalls ",1,,"Mets Lose to Cards, Last Place Beckons; Brief Rally Stalls ",,,,By Thomas Rogers,"[{'firstname': 'Thomas', 'middlename': None, 'lastname': 'Rogers', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S
3,"PHILADELPHIA, Sept. 27--The Montreal Expos, fighting to stay alive in the race for the National League's Eastern title, revived mightily today to defeat Steve Carlton and the Philadelphia Phillies, 4-3, before 53,058 fans in Veterans Stadium.  ",https://www.nytimes.com/1980/09/28/archives/expos-down-phils-43-trail-by-halfgame-expos-win-and-cut-phils-lead.html,,,1,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/48303526-e00e-5990-bcb9-6169060953ca,0,nyt://article/48303526-e00e-5990-bcb9-6169060953ca,"Expos Down Phils, 4-3, Trail by Half-Game; Expos Win and Cut Phils' Lead Dodgers 6, Padres 4 Brett Drops to .384 ",2,,"Expos Down Phils, 4-3, Trail by Half-Game; Expos Win and Cut Phils' Lead Dodgers 6, Padres 4 Brett Drops to .384 ",,,,By Joseph Durso Special To the New York Times,"[{'firstname': 'Joseph', 'middlename': 'Durso', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,S
4,"Choate-Rosemary Hall and Phillips Exeter have not met many times on the football field, but yesterday's game at Exeter will long be remembered. Exeter lost a 23-20 heartbreaker when Choate intercepted a pass on its 30-yard line with 1:10 left.  ",https://www.nytimes.com/1980/09/28/archives/choate-steals-a-pass-to-foil-exeter-2320-preps-wyoming-seminary.html,,,10,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/dbc05ade-f4ed-5d91-bd99-4d411a9bbb66,0,nyt://article/dbc05ade-f4ed-5d91-bd99-4d411a9bbb66,"Choate Steals a Pass To Foil Exeter, 23-20; Preps Wyoming Seminary Wins Again Worcester Triumphs Groton Beats St. Paul's",1,,"Choate Steals a Pass To Foil Exeter, 23-20; Preps Wyoming Seminary Wins Again Worcester Triumphs Groton Beats St. Paul's",,,,,[],,S
5,"The good news for Dobbs Ferry is that the Eagles shut out Hastings yesterday, 26-0, behind the brilliant running of Mo Sanginiti, but there was bad news for the school, too. Its star running back, Pete DeFilippis, injured his ankle and could be sidelined for several games.  ",https://www.nytimes.com/1980/09/28/archives/dobbs-ferry-wins-loses-star-westchester-irvington-romps-john-jay.html,,,10,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/838e01e9-0e71-5558-a713-19f679f9ba38,0,nyt://article/838e01e9-0e71-5558-a713-19f679f9ba38,Dobbs Ferry Wins: Loses Star; Westchester Irvington Romps John Jay Routs Gorton Pleasantville Routs Rye Neck ,1,,Dobbs Ferry Wins: Loses Star; Westchester Irvington Romps John Jay Routs Gorton Pleasantville Routs Rye Neck ,,,,,[],,S
6,"NORMAN, Okla., Sept. 27 (AP)-- Stanford, led by the passing and running of John Elway, surprised Oklahoma, 31-14, in football today.  ",https://www.nytimes.com/1980/09/28/archives/oklahoma-upset-by-stanford-team-3114-missouri-31-san-diego-state-7.html,,,9,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/52a26a42-8bcb-525e-ab9a-634f208fbce5,0,nyt://article/52a26a42-8bcb-525e-ab9a-634f208fbce5,"Oklahoma Upset by Stanford Team, 31-14; Missouri 31, San Diego State 7 Indiana 49, Colorado 7 Ohio State 38, Arizona State 21 U.S.C. 24, Minnesota 7 Iowa State 10, Iowa 7 Virginia 20, Duke 17 Kentucky 21, Bowling Green 20",1,,"Oklahoma Upset by Stanford Team, 31-14; Missouri 31, San Diego State 7 Indiana 49, Colorado 7 Ohio State 38, Arizona State 21 U.S.C. 24, Minnesota 7 Iowa State 10, Iowa 7 Virginia 20, Duke 17 Kentucky 21, Bowling Green 20",,,,,[],,S
7,,https://www.nytimes.com/1980/09/28/archives/letters-to-the-editor-defining-conservatism-the-nostalgic-henry.html,,,134,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/284676f4-3666-5d03-b36b-47dbe013488f,0,nyt://article/284676f4-3666-5d03-b36b-47dbe013488f,Letters TO THE EDITOR; Defining Conservatism The Nostalgic Henry Morgan Reaching for The Sun Looking Ahead With Exxon ,1,,Letters TO THE EDITOR; Defining Conservatism The Nostalgic Henry Morgan Reaching for The Sun Looking Ahead With Exxon ,,,,GARY OLDELEONARD RUBINPETE SEEGERHAVEN BRADFORD GOWGARY HARTGEORGE A. KARAMBELASPETER M. RUGGIEROLLOYD SEIDMANSONDRA GORDONILSE L. GOODMANLAWRENCE CORRADODAVID THOMAS,"[{'firstname': 'Gary', 'middlename': 'Oldeleonard', 'lastname': 'RUBINPETE', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,T
8,,https://www.nytimes.com/1980/09/28/archives/connecticut-weekly-connecticutthis-week-art-music-theater-film.html,,,14,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/e6352d20-b35a-5ee4-a0df-311de950490f,0,nyt://article/e6352d20-b35a-5ee4-a0df-311de950490f,Connecticut/This Week; ART MUSIC THEATER FILM LECTURES CHILDREN MISCELLANEOUS SPORTS IN WESTCHESTER ,1,,Connecticut/This Week; ART MUSIC THEATER FILM LECTURES CHILDREN MISCELLANEOUS SPORTS IN WESTCHESTER ,,,,,[],,C
9,"A.C. Bostwick, a prominent amateur steeplechase rider in the United States and England and breeder-owner of the colt Mate, winner of the Preakness Stakes in 1931, died Friday at his home in Old Westbury, L.I. He was 79 years old.  ",https://www.nytimes.com/1980/09/28/archives/ac-bostwick-79-racing-figure-who-won-the-preakness-in-1931.html,,,44,The New York Times,[],[],1980-09-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/a67297fe-6fd6-56ae-8465-a71cb88d68a9,0,nyt://article/a67297fe-6fd6-56ae-8465-a71cb88d68a9,"A.C. Bostwick, 79, Racing Figure Who Won the Preakness in 1931",1,,"A.C. Bostwick, 79, Racing Figure Who Won the Preakness in 1931",,,,By Alfred E. Clark,"[{'firstname': 'Alfred', 'middlename': 'E.', 'lastname': 'Clark', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
