,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,Miss Miller criticized,https://www.nytimes.com/1928/03/18/archives/blood-and-strife-mark-indore-house-holkar-family-descends-from-a.html,Miss Miller criticized,,2,The New York Times,[],"[{'name': 'persons', 'value': 'HOLKAR, TUKOJI RAO', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'HOLKAR, TUKOJI RAO', 'rank': 2, 'major': 'N'}]",1928-03-18T05:00:00+0000,article,None,Archives,Archives,nyt://article/96981689-fe5e-5b38-bdba-a27d45c7345b,0,nyt://article/96981689-fe5e-5b38-bdba-a27d45c7345b,"BLOOD AND STRIFE MARK INDORE HOUSE; Holkar Family Descends From a Peasant of 1694, Who Fought Way to Throne. SEVERAL RULERS OUSTED Some Have Been Imbeciles, Others Insane--Intrigues and Murders Long Held Sway. Carved Out a Kingdom. Profiligate Woman Held Sway.",,,"BLOOD AND STRIFE MARK INDORE HOUSE; Holkar Family Descends From a Peasant of 1694, Who Fought Way to Throne. SEVERAL RULERS OUSTED Some Have Been Imbeciles, Others Insane--Intrigues and Murders Long Held Sway. Carved Out a Kingdom. Profiligate Woman Held Sway.",,,,,[],,
1,"Investigation of Mrs. B Bolte's maternity hosp in Jersey City, N J, as result of charge of conspiracy between Mrs. Bolte and Mrs. L Thygersen in sale of baby born to Mary Hurst",https://www.nytimes.com/1925/12/12/archives/arrest-two-women-in-baby-sale-case-police-also-seek-two-men-inquiry.html,"Investigation of Mrs. B Bolte's maternity hosp in Jersey City, N J, as result of charge of conspiracy between Mrs. Bolte and Mrs. L Thygersen in sale of baby born to Mary Hurst",,3,The New York Times,[],"[{'name': 'persons', 'value': 'BOLTE , BERTHA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Babies', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sales', 'rank': 3, 'major': 'N'}]",1925-12-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/4c5cfe99-d993-5451-a460-045ac4cb02cb,0,nyt://article/4c5cfe99-d993-5451-a460-045ac4cb02cb,ARREST TWO WOMEN IN BABY SALE CASE; Police Also Seek Two Men -Inquiry Begins in Jersey Maternity Hospital.,,,ARREST TWO WOMEN IN BABY SALE CASE; Police Also Seek Two Men -Inquiry Begins in Jersey Maternity Hospital.,,,,,[],,
2,"RATAN DEVI sang,"" wrote Rabindranath Tagore, ""and I forgot for a moment that I was in a London drawing room. My mind got itself transported in the magnificence of an Eastern night, with its darkness transparent yet unfathomable, like the eyes of an Indian maiden, and I seemed to be standing alone in the depths of its stillness and stars.""  ",https://www.nytimes.com/1916/04/02/archives/oriental-poetry-more-realistic-than-ours-not-result-of-deliberate.html,,,12,The New York Times,[],[],1916-04-02T05:00:00+0000,article,None,Archives,Archives,nyt://article/370e8d5e-a903-5d28-9649-2fbadbb7249c,0,nyt://article/370e8d5e-a903-5d28-9649-2fbadbb7249c,"Oriental Poetry More Realistic Than Ours; Not Result of Deliberate Effort, Says Hindu Philosopher; Part of Everyday Life of People, Says His Wife, Madame Devi ",1,,"Oriental Poetry More Realistic Than Ours; Not Result of Deliberate Effort, Says Hindu Philosopher; Part of Everyday Life of People, Says His Wife, Madame Devi ",,,,By Joyce Kilmer,"[{'firstname': 'Joyce', 'middlename': None, 'lastname': 'Kilmer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,MAGAZINE
3,,https://www.nytimes.com/1910/09/24/archives/literary-notes-from-boston-a-varied-assortment-of-villains-in-mr.html,,,13,The New York Times,[],[],1910-09-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/685aca4d-4634-59c2-977a-51177a70c5f4,0,nyt://article/685aca4d-4634-59c2-977a-51177a70c5f4,LITERARY NOTES FROM BOSTON; A Varied Assortment of Villains in Mr. Oppenheim's New Book -- Many New Juveniles,1,,LITERARY NOTES FROM BOSTON; A Varied Assortment of Villains in Mr. Oppenheim's New Book -- Many New Juveniles,,,,STEPHENSON BROWNE,"[{'firstname': 'Stephenson', 'middlename': None, 'lastname': 'BROWNE', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,T
4,,https://www.nytimes.com/1903/07/10/archives/obituary-1-no-title.html,,,7,The New York Times,[],[],1903-07-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/cc751b85-5b81-58cd-b428-dc5a5f515aea,0,nyt://article/cc751b85-5b81-58cd-b428-dc5a5f515aea,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
5,Pharmacy Laws; Amendments Urged,https://www.nytimes.com/1897/03/07/archives/curious-funeral-customs-rites-that-are-observed-in-india-by-the.html,Pharmacy Laws; Amendments Urged,,6,The New York Times,[],"[{'name': 'glocations', 'value': 'India', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'India', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'New York State', 'rank': 3, 'major': 'N'}]",1897-03-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/fba56ef0-45ff-5cd1-b98d-b6d07ddee73b,0,nyt://article/fba56ef0-45ff-5cd1-b98d-b6d07ddee73b,"CURIOUS FUNERAL CUSTOMS; Rites That Are Observed in India by the Native Hindus, Parsees, and Mohammedans. VULTURES FEAST ON PARSEES. Funeral Pyre of a Hindu Must Be Lighted by His Son or an Adopted Son -- The Mohammedan Is Buried with His Pace Toward Mecca.",,,"CURIOUS FUNERAL CUSTOMS; Rites That Are Observed in India by the Native Hindus, Parsees, and Mohammedans. VULTURES FEAST ON PARSEES. Funeral Pyre of a Hindu Must Be Lighted by His Son or an Adopted Son -- The Mohammedan Is Buried with His Pace Toward Mecca.",,,,,[],,
6,Growth of Business,https://www.nytimes.com/1889/01/05/archives/fortunes-in-bluestone-quarries-which-have-proved-gold-mines-to.html,Growth of Business,,2,The New York Times,[],[],1889-01-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/5c66002b-f039-59e8-897d-32c13e48459e,0,nyt://article/5c66002b-f039-59e8-897d-32c13e48459e,FORTUNES IN BLUESTONE.; QUARRIES WHICH HAVE PROVED GOLD MINES TO THEIR OWNERS.,,,FORTUNES IN BLUESTONE.; QUARRIES WHICH HAVE PROVED GOLD MINES TO THEIR OWNERS.,,,,,[],,
7,,https://www.nytimes.com/1888/05/19/archives/incoming-steamships.html,,,3,The New York Times,[],[],1888-05-19T05:00:00+0000,article,None,Archives,Archives,nyt://article/c28be86d-917e-5218-b15e-55372713bc68,0,nyt://article/c28be86d-917e-5218-b15e-55372713bc68,INCOMING STEAMSHIPS.,1,,INCOMING STEAMSHIPS.,,,,,[],,
8,"A pistol-shot was fired at Allen and Division Streets just before 2 o'clock yesterday morning, and several persons found lying near the elevated railroad lumber-yard Morris Berwald, who was mortally wounded in the left breast.  ",https://www.nytimes.com/1882/11/27/archives/found-dying-in-the-street-alleging-he-was-shot-by-robbers-belief.html,,,8,The New York Times,[],[],1882-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/52f5bd53-e63f-55b1-a756-54993d594450,0,nyt://article/52f5bd53-e63f-55b1-a756-54993d594450,FOUND DYING IN THE STREET.; ALLEGING HE WAS SHOT BY ROBBERS-- BELIEF THAT HE COMMITTED SUICIDE.,1,,FOUND DYING IN THE STREET.; ALLEGING HE WAS SHOT BY ROBBERS-- BELIEF THAT HE COMMITTED SUICIDE.,,,,,[],,
9,Chicago and North-western; Moving Engine Explodes near Oconto,https://www.nytimes.com/1882/09/24/archives/unparalleled-in-railroading-an-engine-explodes-while-in-motion-and.html,Chicago and North-western; Moving Engine Explodes near Oconto,,4,The New York Times,[],"[{'name': 'subject', 'value': 'Explosions', 'rank': 1, 'major': 'N'}]",1882-09-24T05:00:00+0000,article,None,Archives,Archives,nyt://article/69a72d12-c7e3-5212-86b4-4b191f95cd0d,0,nyt://article/69a72d12-c7e3-5212-86b4-4b191f95cd0d,"UNPARALLELED IN RAILROADING.; AN ENGINE EXPLODES WHILE IN MOTION AND LEAVES A CLEAR TRACK FOR THE TRAIN, WHICH RUNS A MILE.",,,"UNPARALLELED IN RAILROADING.; AN ENGINE EXPLODES WHILE IN MOTION AND LEAVES A CLEAR TRACK FOR THE TRAIN, WHICH RUNS A MILE.",,,,,[],,
