,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,pres and chmn H L Bache dies,https://www.nytimes.com/1968/03/16/archives/obituary-1-no-title.html,pres and chmn H L Bache dies,,31,The New York Times,[],"[{'name': 'organizations', 'value': 'BACHE & CO INC.', 'rank': 1, 'major': 'N'}]",1968-03-16T05:00:00+0000,article,None,Archives,Archives,nyt://article/37b606f7-42bf-561a-8b0b-00e30619520e,0,nyt://article/37b606f7-42bf-561a-8b0b-00e30619520e,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
1,Bklyn grand jury opens probe of her Jan 31 murder,https://www.nytimes.com/1968/03/14/archives/grand-jury-investigating-flatbush-womans-murder.html,Bklyn grand jury opens probe of her Jan 31 murder,,38,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Murders and Attempted Murders', 'rank': 2, 'major': 'N'}]",1968-03-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/deccc6bf-fa46-597e-b360-a01079ad5f46,0,nyt://article/deccc6bf-fa46-597e-b360-a01079ad5f46,Grand Jury Investigating Flatbush Woman's Murder,,,Grand Jury Investigating Flatbush Woman's Murder,,,,,[],
2,,https://www.nytimes.com/1968/03/14/archives/amy-edmonds-smith-alumna-is-affianced-to-brian-chrisfaldi-gpelnl.html,,,39,The New York Times,[],[],1968-03-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/3dbaa763-941f-59a9-8b89-40132045d8c3,0,nyt://article/3dbaa763-941f-59a9-8b89-40132045d8c3,"Amy Edmonds, Smith Alumna, Is Affianced to Brian Chrisfaldi .gpe'lnl ICJ",1,,"Amy Edmonds, Smith Alumna, Is Affianced to Brian Chrisfaldi .gpe'lnl ICJ",,,,The New Yol'k Tlmt's,[],The 'k Tlmt's
3,,https://www.nytimes.com/1968/03/13/archives/obituary-1-no-title.html,,,47,The New York Times,[],[],1968-03-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/63ade9cc-50dc-5050-b3a9-90d0a3ae8b07,0,nyt://article/63ade9cc-50dc-5050-b3a9-90d0a3ae8b07,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
4,"About half-way through his opening night performance at the Waldorf-Astoria's Empire Room Monday night, Ray Bolger slipped into ""The Old Soft Shoe."" As he weaved around the edge of the dance floor, arms out and slightly bent like the wings of a tipsy frigate bird, it was a moment of timeless sentimentality.  ",https://www.nytimes.com/1968/03/13/archives/ray-bolger-outsteps-father-time-at-empire-room.html,,,40,The New York Times,[],[],1968-03-13T05:00:00+0000,article,None,Archives,Archives,nyt://article/5b5cdcf3-f54f-5e4a-a93a-04c88cc786e3,0,nyt://article/5b5cdcf3-f54f-5e4a-a93a-04c88cc786e3,Ray Bolger Outsteps Father Time at Empire Room,1,,Ray Bolger Outsteps Father Time at Empire Room,,,,By Vincent Canby,"[{'firstname': 'Vincent', 'middlename': None, 'lastname': 'Canby', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,"Schaefer, Louis E (Dr)",https://www.nytimes.com/1968/03/12/archives/obituary-1-no-title.html,"Schaefer, Louis E (Dr)",,43,The New York Times,[],"[{'name': 'persons', 'value': 'GOLDMAN, MORRIS', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'SCHAEFER, LOUIS E', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 4, 'major': 'N'}]",1968-03-12T05:00:00+0000,article,None,Archives,Archives,nyt://article/b78cdd2d-b048-5763-ba29-97c4a20437d4,0,nyt://article/b78cdd2d-b048-5763-ba29-97c4a20437d4,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
6,,https://www.nytimes.com/1968/03/11/archives/amy-dietrich-bright-is-betrothed.html,,,45,The New York Times,[],[],1968-03-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/146f08e7-d7f3-5f42-92b6-d2a867ace829,0,nyt://article/146f08e7-d7f3-5f42-92b6-d2a867ace829,Amy Dietrich Bright Is Betrothed,1,,Amy Dietrich Bright Is Betrothed,,,,,[],
7,Vice Pres Nguyen Cao Ky says gen mobilization is needed,https://www.nytimes.com/1968/03/11/archives/ky-urges-mobilization.html,Vice Pres Nguyen Cao Ky says gen mobilization is needed,,12,The New York Times,[],"[{'name': 'glocations', 'value': 'Vietnam', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'MILITARY BUILDUP, AID, LONG-RANGE PLANNING', 'rank': 2, 'major': 'N'}]",1968-03-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/76828e7a-cba4-587a-a3db-19e6fd2e096c,0,nyt://article/76828e7a-cba4-587a-a3db-19e6fd2e096c,Ky Urges Mobilization,,,Ky Urges Mobilization,,,,,[],
8,,https://www.nytimes.com/1968/03/10/archives/marriage-announcement-2-no-title.html,,,90,The New York Times,[],[],1968-03-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/905d40df-6acc-588e-8f31-def9146928e0,0,nyt://article/905d40df-6acc-588e-8f31-def9146928e0,Marriage Announcement 2 -- No Title,1,,Marriage Announcement 2 -- No Title,,,,,[],
9,,https://www.nytimes.com/1968/03/10/archives/birth-notice-1-no-title.html,,,90,The New York Times,[],[],1968-03-10T05:00:00+0000,article,None,Archives,Archives,nyt://article/100a6a13-554c-5396-baec-2dbc8d80c650,0,nyt://article/100a6a13-554c-5396-baec-2dbc8d80c650,Birth Notice 1 -- No Title,1,,Birth Notice 1 -- No Title,,,,,[],
