,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name,print_section,print_page
0,Al Franken demonstrates the art of sticking up for local industry.,https://prescriptions.blogs.nytimes.com/2009/09/16/senator-franken-lobbies-baucus-on-behalf-of-device-makers/,Al Franken demonstrates the art of sticking up for local industry.," During the long, tortured battle to win his seat as Minnesota’s junior senator, Al Franken received an unusually high amount in campaign contributions from fellow comedians and actors, compared with the traditional corporate donors politicians usually rely on.",The New York Times,[],[],2009-09-16T17:37:24+0000,article,,Health,News,nyt://article/e2470f53-7c63-5253-be37-007052deeff6,290,nyt://article/e2470f53-7c63-5253-be37-007052deeff6,Franken Lobbies Baucus on Behalf of Device Makers,Prescriptions,,,,,,By Barry Meier,"[{'firstname': 'Barry', 'middlename': None, 'lastname': 'Meier', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
1,Four senators sent a letter to Senator Max Baucus on Tuesday asking that the finance chairman reconsider fees on medical devices in his health care proposal.,https://www.nytimes.com/2009/09/16/health/policy/16prescriptions.text.html,Four senators sent a letter to Senator Max Baucus on Tuesday asking that the finance chairman reconsider fees on medical devices in his health care proposal.,"The following is a letter to the Senate Finance Committee chairman, Max Baucus, Democrat of Montana, sent by four senators from states that are home to medical device makers. The senators said that they opposed a provision in Mr. Baucus's health care proposal that would impose $4 billion in annual fees on the makers of products like heart pacemakers and artificial hips.",The New York Times,[],[],2009-09-16T17:25:21+0000,article,Washington,Health,Text,nyt://article/1e9c5d9c-2062-5f35-875b-6fc0cc22e501,543,nyt://article/1e9c5d9c-2062-5f35-875b-6fc0cc22e501,Letter Regarding Medical Device Tax,Text,,,,,,,[],,Money & Policy,,
2,The drug makers like the Baucus plan. They should -- they helped create it.,https://prescriptions.blogs.nytimes.com/2009/09/16/blogs/16prescriptions-drug-mak6227.html,The drug makers like the Baucus plan. They should -- they helped create it.,"Earlier this year, after the Senate Finance Committee and the White House asked health industry groups to make concessions to help pay for a health care overhaul, only two groups ultimately came through. One, the drug industry, offered $80 billion over 10 years, while the other, hospitals, offered $155 billion.",The New York Times,[],[],2009-09-16T16:51:28+0000,article,None,Blogs,Web Log,nyt://article/64ed304b-1b62-5a7b-9ab8-a468e83bc71d,643,nyt://article/64ed304b-1b62-5a7b-9ab8-a468e83bc71d,"Baucus Plan Pleases Drug Makers, but Not Other Groups",Prescriptions,,"Baucus Plan Pleases Drug Makers, but Not Other Groups",,,,,[],,,,
3,The drug makers like the Baucus plan. They should — they helped create it.,https://prescriptions.blogs.nytimes.com/2009/09/16/drug-makers-like-the-baucus-plan-others-not-so-much/,The drug makers like the Baucus plan. They should — they helped create it.," Earlier this year, after the Senate Finance Committee and the White House asked health industry groups to make concessions to help pay for a health care overhaul, only two groups ultimately came through. One, the drug industry, offered $80 billion over 10 years, while the other, hospitals, offered $155 billion.",The New York Times,[],[],2009-09-16T16:51:28+0000,article,,Health,News,nyt://article/1068f03c-f8d8-5e57-a92b-48b84b01f2d1,713,nyt://article/1068f03c-f8d8-5e57-a92b-48b84b01f2d1,"Baucus Plan Pleases Drug Makers, but Not Other Groups",Prescriptions,,,,,,By Duff Wilson,"[{'firstname': 'Duff', 'middlename': None, 'lastname': 'Wilson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
4,"While protesters assembled in Washington to oppose President Obama, an estimated 15,000 people gave him a thunderous ovation at the Target Center.",https://www.nytimes.com/2009/09/13/health/policy/13obama.html,"While protesters assembled in Washington to oppose President Obama, an estimated 15,000 people gave him a thunderous ovation at the Target Center.","MINNEAPOLIS  Thousands of roaring supporters turned out Saturday to rally behind President Obama’s call to overhaul the nation’s health care system, packing a basketball arena here as Mr. Obama warned that nearly half of all Americans under 65 could lose their insurance at some point during the next decade.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/us/obama_600.jpg', 'height': 351, 'width': 600, 'legacy': {'xlarge': 'images/2009/09/13/us/obama_600.jpg', 'xlargewidth': 600, 'xlargeheight': 351}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/us/obama_600.jpg', 'height': 351, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/us/obama_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/09/13/us/obama_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'Minnesota', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Demonstrations and Riots', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Reform and Reorganization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 6, 'major': 'N'}]",2009-09-13T00:18:31+0000,article,National,Health,News,nyt://article/19dd1262-d33b-545e-999a-4d85a4e70143,634,nyt://article/19dd1262-d33b-545e-999a-4d85a4e70143,Thousands Rally in Minnesota Behind Obama’s Call for Health Care Overhaul,,,Thousands Rally in Minnesota Behind Obama’s Call for Health Care Overhaul,,,,By Sheryl Gay Stolberg,"[{'firstname': 'Sheryl', 'middlename': 'Gay', 'lastname': 'Stolberg', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Money & Policy,A,35
5,"Efforts to reward providers of higher-quality, lower-cost care prompted a duel between urban and rural Democrats over Medicare payments, a major new hurdle for health overhaul.",https://www.nytimes.com/2009/09/08/health/policy/08cost.html,"Efforts to reward providers of higher-quality, lower-cost care prompted a duel between urban and rural Democrats over Medicare payments, a major new hurdle for health overhaul.","WASHINGTON  For years, health policy experts have said health care spending is much higher in New York City and Boston because doctors and hospitals there provide more services, practicing medicine in a more intensive way.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/08/health/policy/08cost1.650.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/08/health/policy/08cost1.inline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/08/health/policy/08cost.sf.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'organizations', 'value': 'Democratic Party', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Rural Areas', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Reform and Reorganization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicare', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Urban Areas', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 8, 'major': 'N'}]",2009-09-08T02:14:00+0000,article,National,Health,News,nyt://article/bc688c2a-02a2-5418-a88f-bd39ec1f77a0,1098,nyt://article/bc688c2a-02a2-5418-a88f-bd39ec1f77a0,Data Fuel Regional Fight on Medicare Spending,,,Data Fuel Regional Fight on Medicare Spending,,,,By Robert Pear,"[{'firstname': 'Robert', 'middlename': None, 'lastname': 'Pear', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Money & Policy,A,12
6,This week the Sunday talk shows are consumed by talk of health care legislation.,https://thecaucus.blogs.nytimes.com/2009/09/05/sunday-breakfast-menu-sept-6/,This week the Sunday talk shows are consumed by talk of health care legislation.,"On the Sunday shows, health care legislation leads the sugar rush — though that’s no surprise with the Gang of 534 on its way back to Washington to fight over competing ideas — followed at a distance by the swine flu, the war in Afghanistan and the Smithsonian.",The New York Times,[],[],2009-09-05T18:39:45+0000,article,National,U.S.,News,nyt://article/3ba749c0-f76d-5970-a6a0-795dfb8b7634,636,nyt://article/3ba749c0-f76d-5970-a6a0-795dfb8b7634,"Sunday Breakfast Menu, Sept. 6",The Caucus,,,,,,By Ashley Southall,"[{'firstname': 'Ashley', 'middlename': None, 'lastname': 'Southall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics,,
7,This week the Sunday talk shows are consumed by talk of health care legislation.,https://thecaucus.blogs.nytimes.com/2009/09/05/blogs/05thecaucus-sunday-b41103.html,This week the Sunday talk shows are consumed by talk of health care legislation.,"On the Sunday shows, health care legislation leads the sugar rush -- though that's no surprise with the Gang of 534 on its way back to Washington to fight over competing ideas -- followed at a distance by the swine flu, the war in Afghanistan and the Smithsonian.",The New York Times,[],[],2009-09-05T18:39:45+0000,article,None,Blogs,Web Log,nyt://article/a76cce0d-f805-5607-9b92-88592151ccbe,646,nyt://article/a76cce0d-f805-5607-9b92-88592151ccbe,"Sunday Breakfast Menu, Sept. 6",The Caucus,,"Sunday Breakfast Menu, Sept. 6",,,,By ASHLEY SOUTHALL,"[{'firstname': 'Ashley', 'middlename': None, 'lastname': 'SOUTHALL', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
8,"Several administration members, including the top two officials, fan out across the country to talk about the economy in advance of what are likely to be gloomy job loss reports later this week.",https://thecaucus.blogs.nytimes.com/2009/08/05/blogs/05thecaucus-the-earl37143.html,"Several administration members, including the top two officials, fan out across the country to talk about the economy in advance of what are likely to be gloomy job loss reports later this week.","The White House shifts its focus back to the economy on Wednesday, with President Obama and Vice President Joseph R. Biden Jr. fanning out to the Midwest to talk up the administration's recovery efforts.",The New York Times,[],[],2009-08-05T12:44:26+0000,article,None,Blogs,Web Log,nyt://article/e9a2795d-25ed-5b2d-a88d-c674d9d1e006,1315,nyt://article/e9a2795d-25ed-5b2d-a88d-c674d9d1e006,The Early Word: Back to the Economy,The Caucus,,The Early Word: Back to the Economy,,,,By BERNIE BECKER,"[{'firstname': 'Bernie', 'middlename': None, 'lastname': 'BECKER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,
9,"Several administration members, including the top two officials, fan out across the country to talk about the economy in advance of what are likely to be gloomy job loss reports later this week.",https://thecaucus.blogs.nytimes.com/2009/08/05/the-early-word-back-to-the-economy/,"Several administration members, including the top two officials, fan out across the country to talk about the economy in advance of what are likely to be gloomy job loss reports later this week.","The White House shifts its focus back to the economy on Wednesday, with President Obama and Vice President Joseph R. Biden Jr. fanning out to the Midwest to talk up the administration’s recovery efforts.",The New York Times,[],[],2009-08-05T12:44:26+0000,article,National,U.S.,News,nyt://article/f9eaa76e-c900-5f47-a289-3bb2d4330d0b,1301,nyt://article/f9eaa76e-c900-5f47-a289-3bb2d4330d0b,The Early Word: Back to the Economy,,,,,,,By Bernie Becker,"[{'firstname': 'Bernie', 'middlename': None, 'lastname': 'Becker', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics,,
