,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page
0,Opera.,https://www.nytimes.com/2003/04/27/arts/music/music-listings.html,Opera., Opera ,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2003-04-27T05:00:00+0000,article,Arts / Music,Arts,Music,Results Listing,nyt://article/ab589d30-b36f-52c7-9c7c-7c565f074e2c,2335,nyt://article/ab589d30-b36f-52c7-9c7c-7c565f074e2c,Music Listings,,,Music Listings,,,,,[],,,
1,"Gerald Jonas reviews following books: Aye, and Gomorrah by Samuel R Delany; Guardian by Joe Haldeman; and The Risen Empire: Book One of Succession by Scott Westerfeld (M)",https://www.nytimes.com/2003/04/27/books/science-fiction.html,"Gerald Jonas reviews following books: Aye, and Gomorrah by Samuel R Delany; Guardian by Joe Haldeman; and The Risen Empire: Book One of Succession by Scott Westerfeld (M)","At the age of 61, Samuel R. Delany has negotiated the passage from boy wonder to grand old man of science fiction with enviable grace. Delany, who published eight well-received novels before his 25th birthday and has won four Nebula Awards and two Hugos, is now a professor of English and creative writing at Temple University. Over the last two decades he has become science fiction's leading academic critic, bringing to bear on the finest products of the genre the apparatus of postmodern analysis.",The New York Times,[],"[{'name': 'persons', 'value': 'Westerfeld, Scott', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Delany, Samuel R', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Haldeman, Joe', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'RISEN EMPIRE, THE: BOOK ONE OF SUCCESSION (BOOK)', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'AYE, AND GOMORRAH (BOOK)', 'rank': 7, 'major': 'N'}, {'name': 'creative_works', 'value': 'GUARDIAN (BOOK)', 'rank': 8, 'major': 'N'}]",2003-04-27T05:00:00+0000,article,Book Review Desk,Books,,Review,nyt://article/c9a4fe1e-cfe1-5fa7-80c4-fccdfb7baec8,1096,nyt://article/c9a4fe1e-cfe1-5fa7-80c4-fccdfb7baec8,SCIENCE FICTION,,,SCIENCE FICTION,,,,By Gerald Jonas,"[{'firstname': 'Gerald', 'middlename': None, 'lastname': 'Jonas', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,7,23
2,"DELANEY-Mark Alexander. It is with heartfelt sorrow that the family of Mark Alexander Delaney share with family and friends the sad news of his unexpected death on Tuesday, April 22, 2003. He died suddenly at home at the age of 47. Born in West Hartford, CT, he lived in Lake Hiawatha, NJ, Cherry Point, NC, and West Palm Beach, FL. Mr. Delaney was a self-employed carpenter who excelled in advanced mathematics. He was a member of the Delbarton Alumni Association, The Fordham University Alumni Association. He was a member of the swim team at Delbarton and played hockey for Fordham University. He was an avid surfer and sports enthusiast. He is survived by two daughters, Meghan Lynn Delaney and Chelsea Ann Delaney, five siblings, Elise Ann Collins of Boonton Township, Michael John Delaney of Boonton Township, Sean Gerard Delaney of Dorchester, MA, Frank A. Delaney IV of Rumson, NJ and Erin Kathleen Delaney of Boonton Township, his parents Frank A. Delaney III and Elise (Murphy) of Boonton Township, three great-aunts, Kathryn Corley Sharp of Mass, Mary Flaherty Stuermer of Montville, NJ and Elizabeth Addis Corley of Denville, NJ, nine aunts and uncles, many nieces and nephews and 33 cousins. Friends may call at Lewis & Carey Funeral Home, 312 West Main St, Boonton, NJ on Sunday April 27th 2-6PM. Mass of Christian Burial will be celebrated at St. Mary's Abbey at Delbarton on Mendham Road in Morristownship on Monday, April 28th at 10AM. A private cremation will follow Mass. In lieu of flowers donations in his memory to Sunrise House, 37 Sunset Inn Rd, Newton, NJ 07860 or the Delbarton School Fund, St. Mary's Abbey office, Mendham Road, Morristown, NJ 07960 would be greatly appreciated.",https://www.nytimes.com/2003/04/26/classified/paid-notice-deaths-delaney-mark-alexander.html,,"DELANEY-Mark Alexander. It is with heartfelt sorrow that the family of Mark Alexander Delaney share with family and friends the sad news of his unexpected death on Tuesday, April 22, 2003. He died suddenly at home at the age of 47. Born in West Hartford, CT, he lived in Lake Hiawatha, NJ, Cherry Point, NC, and West Palm Beach, FL. Mr. Delaney was a self-employed carpenter who excelled in advanced mathematics. He was a member of the Delbarton Alumni Association, The Fordham University Alumni Association. He was a member of the swim team at Delbarton and played hockey for Fordham University. He was an avid surfer and sports enthusiast. He is survived by two daughters, Meghan Lynn Delaney and Chelsea Ann Delaney, five siblings, Elise Ann Collins of Boonton Township, Michael John Delaney of Boonton Township, Sean Gerard Delaney of Dorchester, MA, Frank A. Delaney IV of Rumson, NJ and Erin Kathleen Delaney of Boonton Township, his parents Frank A. Delaney III and Elise (Murphy) of Boonton Township, three great-aunts, Kathryn Corley Sharp of Mass, Mary Flaherty Stuermer of Montville, NJ and Elizabeth Addis Corley of Denville, NJ, nine aunts and uncles, many nieces and nephews and 33 cousins. Friends may call at Lewis & Carey Funeral Home, 312 West Main St, Boonton, NJ on Sunday April 27th 2-6PM. Mass of Christian Burial will be celebrated at St. Mary's Abbey at Delbarton on Mendham Road in Morristownship on Monday, April 28th at 10AM. A private cremation will follow Mass. In lieu of flowers donations in his memory to Sunrise House, 37 Sunset Inn Rd, Newton, NJ 07860 or the Delbarton School Fund, St. Mary's Abbey office, Mendham Road, Morristown, NJ 07960 would be greatly appreciated.",The New York Times,[],"[{'name': 'persons', 'value': 'DELANEY, MARK ALEXANDER', 'rank': 1, 'major': 'N'}]",2003-04-26T05:00:00+0000,article,Classified,Archives,,Paid Death Notice,nyt://article/b37f4178-a203-57ec-97d5-020ef15d4b25,285,nyt://article/b37f4178-a203-57ec-97d5-020ef15d4b25,"Paid Notice: Deaths  DELANEY, MARK ALEXANDER",,,"Paid Notice: Deaths  DELANEY, MARK ALEXANDER",,,,,[],,C,18
3," A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    ADULT, Bowery Ballroom, 6 Delancey Street, near the Bowery, Lower East Side, (212) 533-2111. The Detroit-based duo Adult. (the group uses a period at the end of its name) specialized in tuneless, clammy tracks full of old-fashioned synthesizer lines and impassive vocals. Its new album, ''Anxiety Always'' (Ersatz Audio), includes a ridiculous song called ''Glue Your Eyelids Together''; in the CD booklet, the principals act out the title. Tomorrow night at 10, with Magas; tickets are $12 in advance, $15 at the door (Kelefa Sanneh).",https://www.nytimes.com/2003/04/25/movies/pop-and-jazz-guide-406252.html,,A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,The New York Times,[],[],2003-04-25T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,,Schedule,nyt://article/35327620-c153-52dc-a16f-d0615904ee42,3090,nyt://article/35327620-c153-52dc-a16f-d0615904ee42,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,E,28
4," EVENTS    29TH FLOWER SHOW, Macy's, Herald Square. With displays on the main floor and a children's garden on the seventh floor, as well as special events. Through Sunday. Store hours: 10 a.m. to 8:30 p.m. through Saturday; 11 a.m. to 7 p.m. Sunday. Information: (212) 494-4495.",https://www.nytimes.com/2003/04/25/arts/spare-times-405590.html,,EVENTS,The New York Times,[],[],2003-04-25T05:00:00+0000,article,Leisure/Weekend Desk,Arts,,Schedule,nyt://article/c3ffd5a7-3c26-5ede-b4ad-8bc25414f070,1231,nyt://article/c3ffd5a7-3c26-5ede-b4ad-8bc25414f070,SPARE TIMES,,,SPARE TIMES,,,,,[],,E,43
5,"Cities with well-known museums that draw crowds of tourists and residents sometimes have less familiar ones that provide sense of discovery and opportunity to see art in relative tranquillity; among them are Michael C Carlos Museum in Atlanta, Rosenbach Museum and Library in Philadelphia, Arthur M Sackler Museum in Cambridge, Mass, and Norton Museum of Art in West Palm Beach, Fla; drawing (M)",https://www.nytimes.com/2003/04/23/arts/small-gems-a-traveler-lured-beyond-the-brand-name-galleries.html,"Cities with well-known museums that draw crowds of tourists and residents sometimes have less familiar ones that provide sense of discovery and opportunity to see art in relative tranquillity; among them are Michael C Carlos Museum in Atlanta, Ros...","ON a recent trip to Atlanta, I set aside time for a visit to the city's best known art institution, the High Museum of Art, only to decide that the special exhibitions did not intrigue me. Having gone to the museum nearly every visit in the past, I queried a friend for names of the city's smaller art collections.",The New York Times,[],"[{'name': 'organizations', 'value': 'NORTON MUSEUM OF ART', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'CARLOS, MICHAEL C, MUSEUM', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Rosenbach Museum and Library', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'SACKLER, ARTHUR M, MUSEUM', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Museums', 'rank': 5, 'major': 'N'}]",2003-04-23T05:00:00+0000,article,Museums,Arts,,News,nyt://article/ad16488f-3069-5888-928b-2db2bb0e2d16,1509,nyt://article/ad16488f-3069-5888-928b-2db2bb0e2d16,A Traveler Lured Beyond The Brand-Name Galleries,SMALL GEMS,,SMALL GEMS; A Traveler Lured Beyond The Brand-Name Galleries,,,,By Geraldine Fabrikant,"[{'firstname': 'Geraldine', 'middlename': None, 'lastname': 'Fabrikant', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,G,20
6,Opera.,https://www.nytimes.com/2003/04/20/arts/music/music-listings.html,Opera., Opera ,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2003-04-20T05:00:00+0000,article,Arts / Music,Arts,Music,Results Listing,nyt://article/7dbccef2-ff8b-53be-831f-68f69e576d43,2238,nyt://article/7dbccef2-ff8b-53be-831f-68f69e576d43,Music Listings,,,Music Listings,,,,,[],,,
7," EVENTS    29TH FLOWER SHOW, Macy's, Herald Square. With displays on the main floor and a children's garden on the seventh floor as well as special events. Through April 27. Viewing during store hours, 10 a.m. to 8:30 p.m. Mondays through Saturdays, 11 a.m. to 7 p.m. Sundays; closed Easter Sunday. Information: (212) 494-4495.",https://www.nytimes.com/2003/04/18/arts/spare-times-306380.html,,EVENTS,The New York Times,[],[],2003-04-18T05:00:00+0000,article,Leisure/Weekend Desk,Arts,,Schedule,nyt://article/8e4deb9f-71eb-5b7c-89dd-01e5c5fee32f,1569,nyt://article/8e4deb9f-71eb-5b7c-89dd-01e5c5fee32f,SPARE TIMES,,,SPARE TIMES,,,,,[],,E,38
8,Opera.,https://www.nytimes.com/2003/04/13/arts/music/music-listings.html,Opera., Opera ,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Classical Music', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Jazz', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Opera', 'rank': 5, 'major': 'N'}]",2003-04-13T05:00:00+0000,article,Arts / Music,Arts,Music,Results Listing,nyt://article/01d21b6b-d9e0-52f3-91b7-89fbaf951869,2188,nyt://article/01d21b6b-d9e0-52f3-91b7-89fbaf951869,Music Listings,,,Music Listings,,,,,[],,,
9," A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    * DEREK BAILEY, Tonic, 107 Norfolk Street, near Delancey Street, Lower East Side, (212) 358-7503. Derek Bailey, a British guitarist, hates to play the same thing twice. His improvisations are taut and thorny -- a cluster here, a run there -- with the concentrated tension that comes from turning every instant of a performance into a moment of decision. His collaborators this weekend should loosen him up. His duet partner tonight is the irrepressible Brazilian percussionist Cyro Baptista; tomorrow he is paired with the Shaking Ray Levis, a drums and electronics duo from Chattanooga, Tenn. Tonight and tomorrow night at 8 and 9:30; admission is $12 (Jon Pareles).",https://www.nytimes.com/2003/04/11/movies/pop-and-jazz-guide-207225.html,,A selective listing by critics of The Times of noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,The New York Times,[],[],2003-04-11T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,,Schedule,nyt://article/8156f05f-63cd-50a9-a496-2668795e8ede,3023,nyt://article/8156f05f-63cd-50a9-a496-2668795e8ede,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,E,24
