,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"A show of a hundred 17th-century objects, such as cases full of Dutch gold jewelry, Massachusetts colonial coins, Indonesian silver bowls and Japanese lacquered plates at the Bard Graduate Center.",https://www.nytimes.com/2009/09/18/arts/design/18antiques.html,"A show of a hundred 17th-century objects, such as cases full of Dutch gold jewelry, Massachusetts colonial coins, Indonesian silver bowls and Japanese lacquered plates at the Bard Graduate Center.","Scholars are not sure what Margrieta van Varick looked like, or even how she spelled her name, even though she ran a successful furnishings import business in Dutch New York. In her meager surviving paperwork from the 1690s the name variants include Margrita, Grietje and Magret. What is known is exactly how many ebony-framed mirrors, silver-headed walking sticks, muslin curtains and porcelain cups she wanted her four young children to inherit as she lay dying at her Flatbush home in 1695, age 46.",C,28,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/18/arts/18anti.1-500.jpg', 'height': 500, 'width': 326, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/18/arts/18anti.1-190.jpg', 'height': 290, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/18/arts/18anti.1-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/09/18/arts/18anti.1-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Art', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Bard Graduate Center for Studies in Decorative Arts', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ANTIQUES', 'rank': 3, 'major': 'N'}]",2009-09-17T23:06:32+0000,article,Weekend,Arts,Art & Design,News,nyt://article/1baaaddb-48fb-5e48-9165-ad8ba690ca4d,1059,nyt://article/1baaaddb-48fb-5e48-9165-ad8ba690ca4d,Old Dutch New York,Antiques,,Old Dutch New York,,,,By Eve M. Kahn,"[{'firstname': 'Eve', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
1,"Since nonprofit groups do not pay income taxes, they would not benefit from a tax credit for small businesses that provide health insurance to employees.",https://www.nytimes.com/2009/09/14/health/policy/14nonprofit.html,"Since nonprofit groups do not pay income taxes, they would not benefit from a tax credit for small businesses that provide health insurance to employees.",Nonprofit organizations say they are upset that Congress and the Obama administration have not addressed their rising health care costs in the various health care proposals being floated on Capitol Hill.,A,12,The New York Times,[],"[{'name': 'subject', 'value': 'Tax Exemptions', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nonprofit Organizations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Reform and Reorganization', 'rank': 5, 'major': 'N'}]",2009-09-14T01:01:14+0000,article,National,Health,Money & Policy,News,nyt://article/ad7cabbf-418f-51eb-9b87-adeda951532b,458,nyt://article/ad7cabbf-418f-51eb-9b87-adeda951532b,Nonprofit Groups Upset at Exclusion From Health Bills,,,Nonprofit Groups Upset at Exclusion From Health Bills,,,,By Stephanie Strom,"[{'firstname': 'Stephanie', 'middlename': None, 'lastname': 'Strom', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
2,New Jersey arts listings.,https://www.nytimes.com/2009/09/13/nyregion/13listingsnj-web.html,New Jersey arts listings.,Comedy,,,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Art', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'New Jersey', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Culture', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dancing', 'rank': 5, 'major': 'N'}]",2009-09-12T01:02:08+0000,article,Metro,New York,,Schedule,nyt://article/7a1a3ae2-1e18-50f5-a9d3-aad610ab929a,2822,nyt://article/7a1a3ae2-1e18-50f5-a9d3-aad610ab929a,Events in New Jersey,Calendar,,,,,,,[],
3,AROUND TOWN.,https://www.nytimes.com/2009/09/11/arts/11spare.html,AROUND TOWN.,HALCYON 10TH ANNIVERSARY,C,21,The New York Times,[],[],2009-09-10T21:50:28+0000,article,Weekend,Arts,,Schedule,nyt://article/a3c3d669-0475-59db-a9c6-c8478d2619e5,2601,nyt://article/a3c3d669-0475-59db-a9c6-c8478d2619e5,Spare Times,,,,,,,By Anne Mancuso,"[{'firstname': 'Anne', 'middlename': None, 'lastname': 'Mancuso', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
4,Dates are subject to change.,https://www.nytimes.com/2009/09/13/arts/dance/13dancelist.html,Dates are subject to change.,Dates are subject to change.,AR,23,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/arts/dance/dance_span.jpg', 'height': 400, 'width': 600, 'legacy': {'xlarge': 'images/2009/09/13/arts/dance/dance_span.jpg', 'xlargewidth': 600, 'xlargeheight': 400}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/13/arts/dance/dance_span.jpg', 'height': 400, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'subject', 'value': 'Dancing', 'rank': 1, 'major': 'N'}]",2009-09-09T18:37:44+0000,article,Arts&Leisure,Arts,Dance,Schedule,nyt://article/766b119e-43ca-5c6a-a376-3517f9a0effc,3905,nyt://article/766b119e-43ca-5c6a-a376-3517f9a0effc,"Leaps, Bounds, Birthdays, Despite Belt Tightening",The New Season | Dance,,"Leaps, Bounds, Birthdays, Despite Belt Tightening",,,,By Claudia La Rocco,"[{'firstname': 'Claudia', 'middlename': None, 'lastname': 'La Rocco', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,A look at the N.F.C. with the season about to open.,https://fifthdown.blogs.nytimes.com/2009/09/05/nfl-preview-nfc-scouting-report/,A look at the N.F.C. with the season about to open.,"EASTWith a wild card in the Wildcat, the Eagles could test the Giants.",,,The New York Times,[],[],2009-09-05T23:09:03+0000,article,,Sports,Pro Football,News,nyt://article/5409d3a8-10f9-54e8-af51-c056efe37c0d,2493,nyt://article/5409d3a8-10f9-54e8-af51-c056efe37c0d,N.F.L. Preview: N.F.C. Scouting Report,The Fifth Down,,,,,,By Judy Battista,"[{'firstname': 'Judy', 'middlename': None, 'lastname': 'Battista', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,A look at the N.F.C. with the season about to open.,https://fifthdown.blogs.nytimes.com/2009/09/05/blogs/05fifthdown-nfl-prev16537.html,A look at the N.F.C. with the season about to open.,"EASTWith a wild card in the Wildcat, the Eagles could test the Giants.",,,The New York Times,[],[],2009-09-05T23:09:03+0000,article,None,Blogs,,Web Log,nyt://article/cd253129-a208-5a21-b2cf-b5e342affe91,2521,nyt://article/cd253129-a208-5a21-b2cf-b5e342affe91,N.F.L. Preview: N.F.C. Scouting Report,The Fifth Down,,N.F.L. Preview: N.F.C. Scouting Report,,,,By JUDY BATTISTA,"[{'firstname': 'Judy', 'middlename': None, 'lastname': 'BATTISTA', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,New Jersey arts listings.,https://www.nytimes.com/2009/09/06/nyregion/06listingsnj.html,New Jersey arts listings.,COMEDY,NJ,11,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Art', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'New Jersey', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Culture', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 5, 'major': 'N'}]",2009-09-05T02:28:08+0000,article,Metro,New York,,Schedule,nyt://article/abcc691b-442f-5e29-b311-63a7d54d9f26,2759,nyt://article/abcc691b-442f-5e29-b311-63a7d54d9f26,Events in New Jersey,Calendar,,,,,,,[],
8,The 2009-10 theater season in New Jersey offers proof that managers are working to keep the economy from affecting what appears on stage.,https://www.nytimes.com/2009/09/06/nyregion/06theatnj.html,The 2009-10 theater season in New Jersey offers proof that managers are working to keep the economy from affecting what appears on stage.,"WHETHER drama, comedy or musical, most New Jersey theater productions for the 2009-10 season will contain an element of magic. Not the rabbit-out-of-a-hat kind, but the sort of alchemy in which theater management works to keep tough financial times from affecting what appears on stage.",NJ,11,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/06/nyregion/06theatnj.1.2.large.jpg', 'height': 676, 'width': 500, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/06/nyregion/06theatnj.1.2.190.jpg', 'height': 257, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/06/nyregion/06theatnj.1.2.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/09/06/nyregion/06theatnj.1.2.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'McCarter Theater', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'New Jersey', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 3, 'major': 'N'}]",2009-09-05T00:43:20+0000,article,Metro,New York,,News,nyt://article/b40764da-38a6-591b-9aad-e6a53d225432,1266,nyt://article/b40764da-38a6-591b-9aad-e6a53d225432,The Show Must Go On,Arts | New Jersey,,The Show Must Go On,,,,By Carla Baranauckas,"[{'firstname': 'Carla', 'middlename': None, 'lastname': 'Baranauckas', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,POP.,https://www.nytimes.com/2009/09/04/arts/music/04pop.html,POP.,POP,C,17,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/03/arts/04pop.jpg', 'height': 370, 'width': 600, 'legacy': {'xlarge': 'images/2009/09/03/arts/04pop.jpg', 'xlargewidth': 600, 'xlargeheight': 370}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/09/03/arts/04pop.jpg', 'height': 370, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]",[],2009-09-03T20:18:18+0000,article,Weekend,Arts,Music,Schedule,nyt://article/7f0c3418-eef5-53c4-9534-3bdcb30f83bf,1590,nyt://article/7f0c3418-eef5-53c4-9534-3bdcb30f83bf,Pop and Rock Listings,,,The Listings ,,,,By The New York Times,[],The New York Times
