,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"DeGray, Robert",https://www.nytimes.com/1968/03/29/archives/obituary-1-no-title.html,"DeGray, Robert",,41,The New York Times,[],"[{'name': 'persons', 'value': 'Reiser, Paul', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'WILLIAMS, HENRY PHILLIPS JR', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'DEGRAY, ROBERT', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 6, 'major': 'N'}]",1968-03-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/c3a28b13-e0e4-5cc6-a3aa-4bd8117543f8,0,nyt://article/c3a28b13-e0e4-5cc6-a3aa-4bd8117543f8,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
1,"Ed, noting recent disclosures of perils from US chem warfare research, urges Cong or Pres probe of biological warfare research",https://www.nytimes.com/1968/03/27/archives/poison-gas-boomerangs.html,"Ed, noting recent disclosures of perils from US chem warfare research, urges Cong or Pres probe of biological warfare research",,46,The New York Times,[],"[{'name': 'subject', 'value': 'CHEMICAL WARFARE', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Water', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'POLLUTION', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Earthquakes', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'BIOLOGICAL WARFARE', 'rank': 7, 'major': 'N'}]",1968-03-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/57213139-3a4a-5e19-b429-a5daa671ed79,0,nyt://article/57213139-3a4a-5e19-b429-a5daa671ed79,Poison Gas Boomerangs,,,Poison Gas Boomerangs,,,,,[],
2,,https://www.nytimes.com/1968/03/26/archives/amy-williams-to-be-wed-in-may.html,,,37,The New York Times,[],[],1968-03-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/0dfb3f8d-e30b-57d6-bb54-f90c7ffda3ef,0,nyt://article/0dfb3f8d-e30b-57d6-bb54-f90c7ffda3ef,Amy Williams to Be Wed in May,1,,Amy Williams to Be Wed in May,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
3,"Meyer, Herbert (NYC Youth Bd chmn)",https://www.nytimes.com/1968/03/26/archives/obituary-1-no-title.html,"Meyer, Herbert (NYC Youth Bd chmn)",,45,The New York Times,[],"[{'name': 'persons', 'value': 'MEYER, HERBERT', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-03-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/5a6e4d20-3aa4-58c8-889f-d537db5f9154,0,nyt://article/5a6e4d20-3aa4-58c8-889f-d537db5f9154,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
4,"JERUSALEM, March 22 -- Many Israelis expressed uneasiness today as they began to consider the consequences of yesterday's punitive raid against Jordan.",https://www.nytimes.com/1968/03/23/archives/raids-questioned-by-many-israelis-value-and-cost-debated-end-to.html,,,5,The New York Times,[],"[{'name': 'glocations', 'value': 'Middle East', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'ESHKOL, LEVI', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ISRAELI-ARAB CONFLICT', 'rank': 3, 'major': 'N'}]",1968-03-23T05:00:00+0000,article,None,Archives,Archives,nyt://article/4dc1baf7-10b0-5dd1-b500-8136288c934c,0,nyt://article/4dc1baf7-10b0-5dd1-b500-8136288c934c,RAIDS QUESTIONED BY MANY ISRAELIS; Value and Cost Debated -- End to Terrorism Doubted,,,RAIDS QUESTIONED BY MANY ISRAELIS; Value and Cost Debated -- End to Terrorism Doubted,,,,By James Feron,"[{'firstname': 'James', 'middlename': None, 'lastname': 'Feron', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
5,"captured by FBI agent, Buffalo area apt, while holding Mrs M Patmos and baby as hostages; illus; charged with raping Mrs M Kulaga earlier",https://www.nytimes.com/1968/03/22/archives/genovese-slayer-yields-gun-gives-up-genovese-slayer-is-seized-in.html,"captured by FBI agent, Buffalo area apt, while holding Mrs M Patmos and baby as hostages; illus; charged with raping Mrs M Kulaga earlier",,1,The New York Times,[],"[{'name': 'persons', 'value': 'Moseley, Winston', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SEX CRIME', 'rank': 2, 'major': 'N'}]",1968-03-22T05:00:00+0000,article,None,Archives,Archives,nyt://article/dabb2cc2-a80c-5401-8c07-2c528ce27dc9,0,nyt://article/dabb2cc2-a80c-5401-8c07-2c528ce27dc9,"Genovese Slayer Yields Gun, Gives Up; Genovese Slayer Is Seized in Buffalo",,,"Genovese Slayer Yields Gun, Gives Up; Genovese Slayer Is Seized in Buffalo",,,,By Maurice Carrollspecial To the New York Times,"[{'firstname': 'Maurice', 'middlename': 'Carrollspecial', 'lastname': 'To', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
6,"Natl Animal Disease Center toxicologist investigates cause of death of 5,000 sheep in lost 6 days, Skull Valley, Utah; local officials rept deaths caused by 'some kind of poison'",https://www.nytimes.com/1968/03/21/archives/5000-sheep-dead-in-utah-expert-is-rushed-to-scene.html,"Natl Animal Disease Center toxicologist investigates cause of death of 5,000 sheep in lost 6 days, Skull Valley, Utah; local officials rept deaths caused by 'some kind of poison'",,43,The New York Times,[],"[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Livestock', 'rank': 2, 'major': 'N'}]",1968-03-21T05:00:00+0000,article,None,Archives,Archives,nyt://article/1258185d-4ea2-52de-90a1-47dd6ce2fe8a,0,nyt://article/1258185d-4ea2-52de-90a1-47dd6ce2fe8a,"5,000 Sheep Dead in Utah; Expert Is Rushed to Scene",,,"5,000 Sheep Dead in Utah; Expert Is Rushed to Scene",,,,,[],
7,"White, John J (NBC ex-music dir)",https://www.nytimes.com/1968/03/20/archives/obituary-1-no-title.html,"White, John J (NBC ex-music dir)",,47,The New York Times,[],"[{'name': 'persons', 'value': 'White, John J', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1968-03-20T05:00:00+0000,article,None,Archives,Archives,nyt://article/4ed45152-259c-5260-b30e-f2948f3acc22,0,nyt://article/4ed45152-259c-5260-b30e-f2948f3acc22,Obituary 1 -- No Title,,,Obituary 1 -- No Title,,,,,[],
8,,https://www.nytimes.com/1968/03/17/archives/a-reception-and-film-premiere-will-assist-waif.html,,,84,The New York Times,[],[],1968-03-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/30773092-46a0-516b-8b1f-99a854c1af48,0,nyt://article/30773092-46a0-516b-8b1f-99a854c1af48,A Reception and Film Premiere Will Assist WAIF,1,,A Reception and Film Premiere Will Assist WAIF,,,,,[],
9,,https://www.nytimes.com/1968/03/17/archives/obituary-1-no-title.html,,,81,The New York Times,[],[],1968-03-17T05:00:00+0000,article,None,Archives,Archives,nyt://article/43b15e65-e65f-5538-8e2f-e5228eaf95b1,0,nyt://article/43b15e65-e65f-5538-8e2f-e5228eaf95b1,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],
