,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section
0,,https://www.nytimes.com/1969/12/16/archives/william-andrew-saks-to-wed-miss-amy-sussman-next-june.html,,,59,The New York Times,[],[],1969-12-16T05:00:00+0000,article,None,Archives,Archives,nyt://article/24b7b288-4509-5106-839e-7507b7c9f11e,0,nyt://article/24b7b288-4509-5106-839e-7507b7c9f11e,William Andrew Saks to Wed Miss Amy Sussman Next June,1,,William Andrew Saks to Wed Miss Amy Sussman Next June,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,illus,https://www.nytimes.com/1969/12/14/archives/report-from-peru-the-reformers-in-brass-hats-the-reformers-in-brass.html,illus,,58,The New York Times,[],"[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Peru', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'VELASCO ALVARADO, JUAN', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'LABOR', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'WAGES AND HOURS', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AMERICAN NATIONS AND WESTERN HEMISPHERE POSSESSIONS', 'rank': 6, 'major': 'N'}]",1969-12-14T05:00:00+0000,article,None,Archives,Archives,nyt://article/8f88873c-9872-5966-a01d-a64926f9aac6,0,nyt://article/8f88873c-9872-5966-a01d-a64926f9aac6,Report From Peru: The Reformers In Brass Hats; The reformers in brass hats,,,Report From Peru: The Reformers In Brass Hats; The reformers in brass hats,,,,By Jose Yglesias,"[{'firstname': 'Jose', 'middlename': None, 'lastname': 'Yglesias', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,SM
2,Por,https://www.nytimes.com/1969/12/11/archives/army-leaders-in-dahomey-oust-the-president-and-take-power.html,Por,,2,The New York Times,[],"[{'name': 'glocations', 'value': 'DAHOMEY', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'ZINSOU, EMILE-DERLIN', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'KOUANDETE, MAURICE', 'rank': 3, 'major': 'N'}]",1969-12-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/4670c580-5806-5ff9-8e92-56efe13cf8ff,0,nyt://article/4670c580-5806-5ff9-8e92-56efe13cf8ff,Army Leaders in Dahomey Oust the President and Take Power,,,Army Leaders in Dahomey Oust the President and Take Power,,,,,[],,
3,,https://www.nytimes.com/1969/12/11/archives/obituary-1-no-title.html,,,55,The New York Times,[],[],1969-12-11T05:00:00+0000,article,None,Archives,Archives,nyt://article/61cac854-1efd-53c6-bdcc-2f9b8e3bac87,0,nyt://article/61cac854-1efd-53c6-bdcc-2f9b8e3bac87,Obituary 1 -- No Title,1,,Obituary 1 -- No Title,,,,,[],,
4,Butler accuses Bankers Trust Co of violation of securities laws by failing to rept more than 10% interest in Comprehensive; Bankers denies holding such interest and says that if it did it would not be obliged to rept it,https://www.nytimes.com/1969/12/08/archives/a-bank-is-accused-by-butler-aviation-butler-aviation-accuses-a-bank.html,Butler accuses Bankers Trust Co of violation of securities laws by failing to rept more than 10% interest in Comprehensive; Bankers denies holding such interest and says that if it did it would not be obliged to rept it,,75,The New York Times,[],"[{'name': 'organizations', 'value': 'BUTLER AVIATION INTERNATIONAL INC.', 'rank': 1, 'major': 'N'}]",1969-12-08T05:00:00+0000,article,None,Archives,Archives,nyt://article/197a0fa4-9bee-5692-bcfa-6e869418caba,0,nyt://article/197a0fa4-9bee-5692-bcfa-6e869418caba,A Bank Is Accused By Butler Aviation; BUTLER AVIATION ACCUSES A BANK,,,A Bank Is Accused By Butler Aviation; BUTLER AVIATION ACCUSES A BANK,,,,,[],,BUSINESS AND FINANCE
5,"$325,559 recd from 339 donors before official opening of drive; list of donors",https://www.nytimes.com/1969/12/08/archives/58th-campaign-for-the-neediest-opens-with-32555962-already-received.html,"$325,559 recd from 339 donors before official opening of drive; list of donors",,49,The New York Times,[],"[{'name': 'subject', 'value': 'HUNDRED NEEDIEST CASES (A FUND COLLECTED ANNUALLY BY THE NY TIMES FOR 8 BENEVOLENT ORGNS)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""CONTRIBUTIONS ('69 DRIVE)"", 'rank': 2, 'major': 'N'}]",1969-12-08T05:00:00+0000,article,None,Archives,Archives,nyt://article/1f5c24de-6b1b-5405-9294-3cb4538cd500,0,nyt://article/1f5c24de-6b1b-5405-9294-3cb4538cd500,"58th Campaign for the Neediest Opens, With $325,559.62 Already Received; 339 Donations on Hand for the Start",,,"58th Campaign for the Neediest Opens, With $325,559.62 Already Received; 339 Donations on Hand for the Start",,,,,[],,
6,,https://www.nytimes.com/1969/12/07/archives/amy-kriger-affianced.html,,,108,The New York Times,[],[],1969-12-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/45455b4b-e433-52b1-95bf-6c83a56b34e3,0,nyt://article/45455b4b-e433-52b1-95bf-6c83a56b34e3,Amy Kriger Affianced,1,,Amy Kriger Affianced,,,,,[],,
7,Eighty two young women will be presented at the 34th Debutante Cotillion and Christmas Ball to be held on Dec. 22 at the Waldorf-Astoria Hotel.  ,https://www.nytimes.com/1969/12/07/archives/82-debutantes-will-be-presented-at-dec-22-ball.html,,,108,The New York Times,[],[],1969-12-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/949fbbb6-7620-5074-b88d-0200cb9c5a77,0,nyt://article/949fbbb6-7620-5074-b88d-0200cb9c5a77,82 Debutantes Will Be Presented at Dec. 22 Ball,1,,82 Debutantes Will Be Presented at Dec. 22 Ball,,,,,[],,
8,Appeals ('69 Drive),https://www.nytimes.com/1969/12/07/archives/new-yorks-100-neediest-cases.html,Appeals ('69 Drive),,1,The New York Times,[],"[{'name': 'subject', 'value': 'HUNDRED NEEDIEST CASES (A FUND COLLECTED ANNUALLY BY THE NY TIMES FOR 8 BENEVOLENT ORGNS)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""APPEALS ('69 DRIVE)"", 'rank': 2, 'major': 'N'}]",1969-12-07T05:00:00+0000,article,None,Archives,Archives,nyt://article/0eda6ee7-5948-56b9-9aab-d16b4c54b671,0,nyt://article/0eda6ee7-5948-56b9-9aab-d16b4c54b671,NEW YORK'S 100 NEEDIEST CASES,,,NEW YORK'S 100 NEEDIEST CASES,,,,,[],,D
9,"Medina, during recess in Peers bd investigation, denies to newsmen that he ordered or saw massacre; says he did not shoot a child; is accompanied by Bailey; before meeting with newsmen, Bailey explains Medina is not subject to publicity-restraining order; Medina describes events at Songmy on day of alleged massacre; estimates that 20-28 civilians were killed during action; says he killed woman; says he never heard repts of indiscriminate killings, but that he had recd order to make sure innocent civilians were not killed; Thompson testifies before bd; declines to comment on most questions from newsmen; NY Post columnist repts that former Vietnam reporter wrote to Sen Percy that soldiers commanded by Maj C S Robb, former Pres Johnson's son-in-law, committed atrocities against civilians; says Robb denies knowledge of incidents or any orders to harm civilians; Medina, Bailey and Thompson illus",https://www.nytimes.com/1969/12/05/archives/captain-denies-seeing-massacre-medina-also-says-he-gave-no-order.html,"Medina, during recess in Peers bd investigation, denies to newsmen that he ordered or saw massacre; says he did not shoot a child; is accompanied by Bailey; before meeting with newsmen, Bailey explains Medina is not subject to publicity-restrainin...",,1,The New York Times,[],"[{'name': 'glocations', 'value': 'Vietnam', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'LEVITT, ARTHUR', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bailey, F Lee', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'US PERSONNEL', 'rank': 4, 'major': 'N'}]",1969-12-05T05:00:00+0000,article,None,Archives,Archives,nyt://article/57504bae-a732-5d9c-aafa-40e2ff82b3ea,0,nyt://article/57504bae-a732-5d9c-aafa-40e2ff82b3ea,CAPTAIN DENIES SEEING MASSACRE; Medina Also Says He Gave No Order for Troops to Kill Songmy Civilians Captain Medina Denies Seeing Massacre at Songmy,,,CAPTAIN DENIES SEEING MASSACRE; Medina Also Says He Gave No Order for Troops to Kill Songmy Civilians Captain Medina Denies Seeing Massacre at Songmy,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
