,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0," A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    RALPH ALESSI QUINTET, Jazz Gallery, 290 Hudson Street, at Spring Street, South Village, (212) 242-1063. Mr. Alessi is a regular trumpeter with Ravi Coltrane's and Steve Coleman's bands and is a smooth, logical improviser. His band this weekend includes Mr. Coltrane on saxophone and Andy Milne on piano. Tomorrow night at 9 and 10:30; admission is $15 a set ($12 for members) (Ben Ratliff).",https://www.nytimes.com/2004/01/16/movies/pop-and-jazz-guide-979422.html,"A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    RALPH ALESSI QUINTET, Jazz Gallery, 290 Hudson Street, at Spring Stre...",A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,E,22,The New York Times,[],[],2004-01-16T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/544960e5-13df-5804-a926-97af7a2b0d4d,4165,nyt://article/544960e5-13df-5804-a926-97af7a2b0d4d,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,
1,Opera.,https://www.nytimes.com/2004/01/11/arts/music/music-listings.html,Opera., Correction Appended ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-01-11T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/b2bbdf96-ff5f-5810-9bcc-2c5a5db8269e,2467,nyt://article/b2bbdf96-ff5f-5810-9bcc-2c5a5db8269e,Music Listings,,,Music Listings,,,,,[],,Music
2," A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    RASHIED ALI QUINTET, Tonic, 107 Norfolk Street, near Delancey Street, Lower East Side, (212) 358-7501. Best known as John Coltrane's drummer in his last few years and his foil on the duet album ''Interstellar Space,'' Mr. Ali has never stopped collaborating with up-and-coming musicians. This band includes Greg Murphy, Joris Teepe, Jumaane Smith and Lawrence Clark. Sets are tomorrow night at 8 and 10; admission is $12 (Ben Ratliff).",https://www.nytimes.com/2004/01/09/movies/pop-and-jazz-guide-882976.html,"A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    RASHIED ALI QUINTET, Tonic, 107 Norfolk Street, near Delancey Street,...",A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,E,33,The New York Times,[],[],2004-01-09T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/92f057dd-18f2-506b-8ec3-cabfaef40f68,6831,nyt://article/92f057dd-18f2-506b-8ec3-cabfaef40f68,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,
3,"Former Enron chief financial officer Andrew S Fastow reportedly tentatively agrees to plead guilty to fraud charges and has provided evidence against another former top executive; deal, which involves prison sentence of at least 10 years, reportedly hinges in part on resolution of related case against Fastow's wife, Lea; federal judge rejects her deal because it leaves him no ability to increase five month prison sentence, possibly delaying husband's plea and expected charges against Richard A Causey, former chief accounting officer; deal with Fastow and pressure on Causey means prosecutors have reached high enough in Enron to determine whether knowledge of wrongdoing reached former chief executives Jeffrey K Skilling and Kenneth L Lay; table of people swept up in probe; photos (M)",https://www.nytimes.com/2004/01/08/business/ex-enron-figure-reportedly-near-a-plea-of-guilty.html,"Former Enron chief financial officer Andrew S Fastow reportedly tentatively agrees to plead guilty to fraud charges and has provided evidence against another former top executive; deal, which involves prison sentence of at least 10 years, reported...",Correction Appended,A,1,The New York Times,[],"[{'name': 'organizations', 'value': 'Enron Corp', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Fastow, Andrew S', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Causey, Richard A', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Skilling, Jeffrey K', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Lay, Kenneth L', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'FASTOW, LEA', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'ACCOUNTING AND ACCOUNTANTS', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Sentences (Criminal)', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 10, 'major': 'N'}]",2004-01-08T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/1cd773a2-f296-5711-8784-87f4f98af5f5,1885,nyt://article/1cd773a2-f296-5711-8784-87f4f98af5f5,EX-ENRON FIGURE REPORTEDLY NEAR A PLEA OF GUILTY,,,EX-ENRON FIGURE REPORTEDLY NEAR A PLEA OF GUILTY,,,,By Kurt Eichenwald,"[{'firstname': 'Kurt', 'middlename': None, 'lastname': 'Eichenwald', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,"Andrew Fastow, the former chief financial officer of Enron, has tentatively agreed to plead guilty to fraud charges. A judge, however, rejected a similar deal for his wife.",https://www.nytimes.com/2004/01/07/business/exenron-figure-reportedly-near-a-plea-of-guilty.html,"Andrew Fastow, the former chief financial officer of Enron, has tentatively agreed to plead guilty to fraud charges. A judge, however, rejected a similar deal for his wife."," Andrew S. Fastow, the former chief financial officer of Enron, has tentatively agreed to plead guilty to fraud charges and has provided evidence against another former high-ranking executive who is expected to face criminal charges as soon as this week, people involved in the case said yesterday. ",,,The New York Times,[],"[{'name': 'organizations', 'value': 'Enron Corporation', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Fastow, Andrew S', 'rank': 2, 'major': 'N'}]",2004-01-07T05:00:00+0000,article,Business,Business Day,News,nyt://article/c72edf8d-6b18-5388-8492-41dea5620715,1398,nyt://article/c72edf8d-6b18-5388-8492-41dea5620715,Ex-Enron Figure Reportedly Near a Plea of Guilty,,,Ex-Enron Figure Reportedly Near a Plea of Guilty,,,,By Kurt Eichenwald,"[{'firstname': 'Kurt', 'middlename': None, 'lastname': 'Eichenwald', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
5,Opera.,https://www.nytimes.com/2004/01/04/arts/music/music-listings.html,Opera., Opera ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2004-01-04T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/6bee68aa-5f47-5285-9656-5f8b1ae96a9c,2241,nyt://article/6bee68aa-5f47-5285-9656-5f8b1ae96a9c,Music Listings,,,Music Listings,,,,,[],,Music
6,Museums/Institutions.,https://www.nytimes.com/2004/01/04/arts/design/art-listings.html,Museums/Institutions., Museums/Institutions ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Art', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Museums', 'rank': 2, 'major': 'N'}]",2004-01-04T05:00:00+0000,article,Arts / Art & Design,Arts,Results Listing,nyt://article/c82cd63d-4e96-5f4c-961e-f97271bfed9a,2528,nyt://article/c82cd63d-4e96-5f4c-961e-f97271bfed9a,Art Listings,,,Art Listings,,,,,[],,Art & Design
7," A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    * GARY BARTZ, Sista's Place, 456 Nostrand Avenue, off Jefferson Avenue, Brooklyn, (718) 398-1766. His name always comes up in the roll call of middle-aged musicians who deserve to record for a major label, but Mr. Bartz is going it alone these days with his own label, Oyo. The core of the jazz scene has known for more than 30 years that it had something great in this Coltrane-inspired alto saxophonist: he has impressive reserves of power and imagination. Tomorrow night at 9 and 10:30; cover charge is $15 (Ben Ratliff).",https://www.nytimes.com/2004/01/02/movies/pop-and-jazz-guide-796816.html,"A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.    * GARY BARTZ, Sista's Place, 456 Nostrand Avenue, off Jefferson Avenu...",A selective listing by critics of The Times: New or noteworthy pop and jazz concerts in the New York metropolitan region this weekend. * denotes a highly recommended concert.,E,38,The New York Times,[],[],2004-01-02T05:00:00+0000,article,"Movies, Performing Arts/Weekend Desk",Movies,Schedule,nyt://article/16f120f3-1121-5a06-bad6-ec30a930c948,3105,nyt://article/16f120f3-1121-5a06-bad6-ec30a930c948,POP AND JAZZ GUIDE,,,POP AND JAZZ GUIDE,,,,,[],,
8,Opera.,https://www.nytimes.com/2003/12/28/arts/music/music-listings.html,Opera., Opera ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}]",2003-12-28T05:00:00+0000,article,Arts / Music,Arts,Results Listing,nyt://article/9de4fa90-3399-5f19-909b-4620394727eb,2269,nyt://article/9de4fa90-3399-5f19-909b-4620394727eb,Music Listings,,,Music Listings,,,,,[],,Music
9,Museums/Institutions.,https://www.nytimes.com/2003/12/28/arts/design/art-listings.html,Museums/Institutions., Museums/Institutions ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Art', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Museums', 'rank': 2, 'major': 'N'}]",2003-12-28T05:00:00+0000,article,Arts / Art & Design,Arts,Results Listing,nyt://article/b834ea88-3e1e-5ba7-9c94-bfc2fb4d3256,2526,nyt://article/b834ea88-3e1e-5ba7-9c94-bfc2fb4d3256,Art Listings,,,Art Listings,,,,,[],,Art & Design
