,abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization
0,"dies, 48; por",https://www.nytimes.com/1966/11/29/archives/william-mattison-works-aide-dies-city-commissioner-stricken-at.html,"dies, 48; por",,43,The New York Times,[],"[{'name': 'persons', 'value': 'MATTISON, WM C', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'MATTISON, WILLIAM C', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 3, 'major': 'N'}]",1966-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/b19d6773-71f1-5afd-9dbb-b213255908ff,0,nyt://article/b19d6773-71f1-5afd-9dbb-b213255908ff,"WILLIAM MATTISON WORKS AIDE, DIES; City Commissioner Stricken at Contractors' Meeting",,,"WILLIAM MATTISON WORKS AIDE, DIES; City Commissioner Stricken at Contractors' Meeting",,,,,[],
1,4th dies; drs hope 5th will survive,https://www.nytimes.com/1966/11/29/archives/fourth-quintuplet-dies-in-pittsburgh.html,4th dies; drs hope 5th will survive,,37,The New York Times,[],"[{'name': 'subject', 'value': 'Multiple Births', 'rank': 1, 'major': 'N'}]",1966-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/7b2bb86d-889f-5ba3-82fb-948176db35e6,0,nyt://article/7b2bb86d-889f-5ba3-82fb-948176db35e6,FOURTH QUINTUPLET DIES IN PITTSBURGH,,,FOURTH QUINTUPLET DIES IN PITTSBURGH,,,,,[],
2,,https://www.nytimes.com/1966/11/29/archives/deaths.html,,,43,The New York Times,[],[],1966-11-29T05:00:00+0000,article,None,Archives,Archives,nyt://article/e3168fae-965b-5ae3-b74f-71470609677c,0,nyt://article/e3168fae-965b-5ae3-b74f-71470609677c,Deaths,1,,Deaths,,,,,[],
3,2 others die,https://www.nytimes.com/1966/11/28/archives/3-of-quintuplets-die-in-pittsburgh-doctors-fear-only-1-of-the-2.html,2 others die,,27,The New York Times,[],"[{'name': 'subject', 'value': 'Multiple Births', 'rank': 1, 'major': 'N'}]",1966-11-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/29ade52e-1a05-50e9-b2ab-559a8a570c76,0,nyt://article/29ade52e-1a05-50e9-b2ab-559a8a570c76,3 OF QUINTUPLETS DIE IN PITTSBURGH; Doctors Fear Only 1 of the 2 Girls Left Will Survive,,,3 OF QUINTUPLETS DIE IN PITTSBURGH; Doctors Fear Only 1 of the 2 Girls Left Will Survive,,,,,[],
4,,https://www.nytimes.com/1966/11/28/archives/deaths.html,,,39,The New York Times,[],[],1966-11-28T05:00:00+0000,article,None,Archives,Archives,nyt://article/3ca13ad0-c447-5609-911a-e2ba09667352,0,nyt://article/3ca13ad0-c447-5609-911a-e2ba09667352,Deaths,1,,Deaths,,,,,[],
5,"55th drive set; participating agencies, trust funds listed; needy cases other than 100 chosen by Times benefit",https://www.nytimes.com/1966/11/27/archives/appeal-for-100-neediest-cases-to-open-officially-next-sunday.html,"55th drive set; participating agencies, trust funds listed; needy cases other than 100 chosen by Times benefit",,86,The New York Times,[],"[{'name': 'subject', 'value': 'HUNDRED NEEDIEST CASES (A FUND COLLECTED ANNUALLY BY THE NY TIMES FOR 8 BENEVOLENT ORGNS)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL', 'rank': 2, 'major': 'N'}]",1966-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/b0b61922-fb1e-57c3-9df0-9ea26a61910c,0,nyt://article/b0b61922-fb1e-57c3-9df0-9ea26a61910c,Appeal for 100 Neediest Cases To Open Officially Next Sunday; 'Appalling Revelation' All Money to Fund Largest Donation Nine More Gifts,,,Appeal for 100 Neediest Cases To Open Officially Next Sunday; 'Appalling Revelation' All Money to Fund Largest Donation Nine More Gifts,,,,,[],
6,"dance instructions for '67 Viennese Opera Ball held, NYC; illus",https://www.nytimes.com/1966/11/27/archives/as-in-old-vienna-practice-makes-perfect-starting-with-waltz-too.html,"dance instructions for '67 Viennese Opera Ball held, NYC; illus",,122,The New York Times,[],"[{'name': 'subject', 'value': 'Society', 'rank': 1, 'major': 'N'}]",1966-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/34e194b3-8fe1-5b04-947a-b76abc186aee,0,nyt://article/34e194b3-8fe1-5b04-947a-b76abc186aee,"As in Old Vienna, Practice Makes Perfect; Starting With Waltz Too Many Pupils",,,"As in Old Vienna, Practice Makes Perfect; Starting With Waltz Too Many Pupils",,,,By Stephen R. Connthe New York Times (BY JACK MANNING),"[{'firstname': 'Stephen', 'middlename': 'R.', 'lastname': 'Connthe', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
7,,https://www.nytimes.com/1966/11/27/archives/birth-notice-2-no-title.html,,,92,The New York Times,[],[],1966-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/42c0efb5-2474-5d40-b2ab-21a14fab683e,0,nyt://article/42c0efb5-2474-5d40-b2ab-21a14fab683e,Birth Notice 2 -- No Title,1,,Birth Notice 2 -- No Title,,,,,[],
8,"Honolulu, Hawaii; illus; map",https://www.nytimes.com/1966/11/27/archives/where-aristocrats-do-the-hula-and-vote-republican-land-and-commerce.html,"Honolulu, Hawaii; illus; map",,90,The New York Times,[],"[{'name': 'glocations', 'value': 'HONOLULU, HAWAII', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Society', 'rank': 2, 'major': 'N'}]",1966-11-27T05:00:00+0000,article,None,Archives,Archives,nyt://article/4b389341-9463-53d5-92ca-9865c884042a,0,nyt://article/4b389341-9463-53d5-92ca-9865c884042a,Where Aristocrats Do the Hula and Vote Republican; Land and Commerce Screens From Japan New England Heritage Attended Punahou Cousins Society Plumeria and Orchids,,,Where Aristocrats Do the Hula and Vote Republican; Land and Commerce Screens From Japan New England Heritage Attended Punahou Cousins Society Plumeria and Orchids,,,,By Charlotte Curtis Special To the New York Timesthe New York Times (BY CARL T. GOSSETT JR.),"[{'firstname': 'Charlotte', 'middlename': 'Curtis', 'lastname': 'Special', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
9,"The Plaza's Grand Ballroom took a kaleidoscopic turn to white and gold last night for the first of the season's Junior Assemblies. It had been white and green Wednesday for the Junior League Debutante Ball, pink and red for Thursday's Gotham Ball. And this evening it will go bronze, yellow and white for the Grosvenor Debutante Ball.  ",https://www.nytimes.com/1966/11/26/archives/first-junior-assembly-of-season-is-held-dinners-are-given-in-honor.html,,,39,The New York Times,[],[],1966-11-26T05:00:00+0000,article,None,Archives,Archives,nyt://article/29793e69-20c6-55d0-b70d-64a1b08cf5be,0,nyt://article/29793e69-20c6-55d0-b70d-64a1b08cf5be,First Junior Assembly of Season Is Held; Dinners Are Given in Honor of Girls Before Dance ,1,,First Junior Assembly of Season Is Held; Dinners Are Given in Honor of Girls Before Dance ,,,,,[],
