,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,"Op-Ed article by Peter Buttigieg, Peter V Emerson and Ganesh Sitaraman holds that analysis of Republican and Democratic platforms since 1960 suggests that their length and content can be remarkably helpful in gauging party's health and its chances of electoral success; holds that simple factor like platform's page count correlates strongly to party's success in winning White House--in inverse proportion; notes that since 1960, average page count of Democrats platforms in losing years was 82, nearly double average from winning years, which was 46; drawing (M)",https://www.nytimes.com/2004/07/10/opinion/winning-between-the-lines.html,"Op-Ed article by Peter Buttigieg, Peter V Emerson and Ganesh Sitaraman holds that analysis of Republican and Democratic platforms since 1960 suggests that their length and content can be remarkably helpful in gauging party's health and its chances...",Want to know who is going to win the presidential election?,A,17,The New York Times,[],"[{'name': 'subject', 'value': 'Presidential Elections (US)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'ELECTION ISSUES', 'rank': 2, 'major': 'N'}]",2004-07-10T05:00:00+0000,article,Editorial Desk,Opinion,Op-Ed,nyt://article/7313d71f-2488-57f4-a22c-109c4e9c8871,637,nyt://article/7313d71f-2488-57f4-a22c-109c4e9c8871,Winning Between The Lines,,,Winning Between The Lines,,,,"By Peter Buttigieg, Peter V. Emerson and Ganesh Sitaraman","[{'firstname': 'Peter', 'middlename': None, 'lastname': 'Buttigieg', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Peter', 'middlename': 'V.', 'lastname': 'Emerson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}, {'firstname': 'Ganesh', 'middlename': None, 'lastname': 'Sitaraman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 3}]",,
1,"Computer Associates International chairman Charles B Wang resigns; Sanjay Kumar, who has been chief executive, will succeed him; Wang will not receive pension and board is not negotiating retirement package for him; Securities and Exchange Commission and federal prosecutors in Brooklyn are examining whether Computer Associates inflated its reported profits from 1995 through 1998, when Wang stood receive grant of 12.15 million shares of stock if price reached $53.33 per share; photos (M)",https://www.nytimes.com/2002/11/19/business/chairman-of-computer-associates-resigns.html,"Computer Associates International chairman Charles B Wang resigns; Sanjay Kumar, who has been chief executive, will succeed him; Wang will not receive pension and board is not negotiating retirement package for him; Securities and Exchange Commiss...","The chairman of Computer Associates International, Charles B. Wang, said yesterday that he would step down immediately, closing out a 26-year career that started with fast growth but ended in the shadow of a criminal investigation into the company's accounting practices.",C,1,The New York Times,[],"[{'name': 'organizations', 'value': 'COMPUTER ASSOCIATES INTERNATIONAL INC', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Securities and Exchange Commission', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Kumar, Sanjay', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Wang, Charles B', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Suspensions, Dismissals and Resignations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'APPOINTMENTS AND EXECUTIVE CHANGES', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'ACCOUNTING AND ACCOUNTANTS', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Securities and Commodities Violations', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 10, 'major': 'N'}]",2002-11-19T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/6cb5d84a-ed7d-5fec-bc57-d72e629048ee,1027,nyt://article/6cb5d84a-ed7d-5fec-bc57-d72e629048ee,Chairman of Computer Associates Resigns,,,Chairman of Computer Associates Resigns,,,,By Alex Berenson,"[{'firstname': 'Alex', 'middlename': None, 'lastname': 'Berenson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
2,"Travel agencies feel effects of Sept 11 terror attacks and, combined with recession and large cuts made by corporations in travel and entertainment budgets, industry is seeing enormous drop in business; agencies in Manhattan report drop off in business anywhere from 40 to 65 percent; even boom in private charter flights among extremely well-heeled cannot begin to make up lost profits; photo (M)",https://www.nytimes.com/2001/12/24/nyregion/a-stay-at-home-public-is-only-the-latest-worry-for-travel-agents.html,"Travel agencies feel effects of Sept 11 terror attacks and, combined with recession and large cuts made by corporations in travel and entertainment budgets, industry is seeing enormous drop in business; agencies in Manhattan report drop off in bus...","A little more than 20 years ago, Valerie Ann Wilson used family money to open a travel agency.",F,1,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Washington (DC)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'World Trade Center (NYC)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Hijacking', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 7, 'major': 'N'}]",2001-12-24T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/115451e5-e9b6-586f-8939-8c6e122ea005,1086,nyt://article/115451e5-e9b6-586f-8939-8c6e122ea005,A Stay-at-Home Public Is Only the Latest Worry for Travel Agents,,,A Stay-at-Home Public Is Only the Latest Worry for Travel Agents,,,,By Jayson Blair,"[{'firstname': 'Jayson', 'middlename': None, 'lastname': 'Blair', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
3,"Computer Associates International reassigns senior managers and will use spin-offs or other strategies to tap the value of fast-growing units that are currently overshadowed by the company's main businesses; Charles B Wang, founder, turns over job of chief executive to Sanjay Kumar, who has been president and chief operating officer; Wang will remain chairman; photo (M)",https://www.nytimes.com/2000/08/08/business/technology-computer-associates-reshuffles-its-senior-management.html,"Computer Associates International reassigns senior managers and will use spin-offs or other strategies to tap the value of fast-growing units that are currently overshadowed by the company's main businesses; Charles B Wang, founder, turns over job...","Searching for a way to bolster its sagging stock, Computer Associates International reassigned senior managers yesterday and said it intended to use spin-offs or other strategies to tap the value of fast-growing units that are currently overshadowed by the company's main businesses.",C,6,The New York Times,[],"[{'name': 'organizations', 'value': 'COMPUTER ASSOCIATES INTERNATIONAL INC', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Kumar, Sanjay', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Wang, Charles B', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'APPOINTMENTS AND EXECUTIVE CHANGES', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mergers, Acquisitions and Divestitures', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 6, 'major': 'N'}]",2000-08-08T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/0e30819b-a8af-5b15-bfd3-7151a4afc7d4,594,nyt://article/0e30819b-a8af-5b15-bfd3-7151a4afc7d4,Computer Associates Reshuffles Its Senior Management,TECHNOLOGY,,TECHNOLOGY; Computer Associates Reshuffles Its Senior Management,,,,By Barnaby J. Feder,"[{'firstname': 'Barnaby', 'middlename': 'J.', 'lastname': 'Feder', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,"  Jennifer Lynn Wilson, a daughter of Valerie A. Wilson of Bronxville, N.Y., and Robert G. Wilson of Key Biscayne, Fla., was married last evening to Brian Joseph Buttigieg, a son of Mr. and Mrs. Michael Buttigieg of Floral Park, L.I. The Rev. Dr. Robert W. Bedingfield officiated at the Reformed Church in Bronxville.   Mrs. Wilson-Buttigieg, 24 years old, is a vice president of Valerie Wilson Travel, a New York agency owned by her mother. The bride and bridegroom graduated from Haverford College. Her father, formerly a general partner of the New York investment banking firm of Goldman, Sachs & Company, is the chairman and chief executive of Ecologic Waste Services, a landfill renovator in Miami. Her stepmother is Anne C. Wilson of Key Biscayne.",https://www.nytimes.com/1992/06/14/style/weddings-jennifer-wilson-brian-buttigieg.html,,"Jennifer Lynn Wilson, a daughter of Valerie A. Wilson of Bronxville, N.Y., and Robert G. Wilson of Key Biscayne, Fla., was married last evening to Brian Joseph Buttigieg, a son of Mr. and Mrs. Michael Buttigieg of Floral Park, L.I. The Rev. Dr. Robert W. Bedingfield officiated at the Reformed Church in Bronxville.",9,11,The New York Times,[],"[{'name': 'persons', 'value': 'WILSON, JENNIFER LYNN', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'BUTTIGIEG, BRIAN JOSEPH', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Weddings and Engagements', 'rank': 3, 'major': 'N'}]",1992-06-14T05:00:00+0000,article,Society Desk,Style,News,nyt://article/d6796680-9c56-5a19-99de-0b65bb4c9461,163,nyt://article/d6796680-9c56-5a19-99de-0b65bb4c9461,"Jennifer Wilson, Brian Buttigieg",WEDDINGS,,"WEDDINGS; Jennifer Wilson, Brian Buttigieg",,,,,[],,
5,"  Valerie Ann Wilson of Bronxville, N.Y., and Robert G. Wilson of Key Biscayne, Fla., have announced the engagement of their daughter Jennifer Lynn Wilson to Brian Joseph Buttigieg, the son of Mr. and Mrs. Michael Buttigieg of Floral Park, L.I. A wedding is planned for June.   Miss Wilson, 23 years old, and her fiance, 24, graduated from Haverford College. She is a vice president of Valerie Wilson Travel in New York, a company owned by her mother. Her father is the chairman of Ecologic Waste Services in Fort Lauderdale, Fla.",https://www.nytimes.com/1991/08/25/style/jennifer-wilson-to-marry-in-june.html,,"Valerie Ann Wilson of Bronxville, N.Y., and Robert G. Wilson of Key Biscayne, Fla., have announced the engagement of their daughter Jennifer Lynn Wilson to Brian Joseph Buttigieg, the son of Mr. and Mrs. Michael Buttigieg of Floral Park, L.I. A wedding is planned for June.",1,58,The New York Times,[],"[{'name': 'persons', 'value': 'WILSON, JENNIFER LYNN', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'BUTTIGIEG, BRIAN JOSEPH', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Weddings and Engagements', 'rank': 3, 'major': 'N'}]",1991-08-25T05:00:00+0000,article,Society Desk,Style,News,nyt://article/f8ba01de-2e14-5060-ba90-0d8062633f8d,123,nyt://article/f8ba01de-2e14-5060-ba90-0d8062633f8d,Jennifer Wilson To Marry in June,,,Jennifer Wilson To Marry in June,,,,,[],,
6,LEAD: Thousands of aliens who do not have papers to stay in the United States are trying to take advantage of two openings in the legalization program that resulted from Federal court rulings. The issue has led to allegations of fraud and Government foot-dragging.,https://www.nytimes.com/1990/04/16/us/fraud-charges-rise-as-many-aliens-seek-to-use-88-rulings.html,,Thousands of aliens who do not have papers to stay in the United States are trying to take advantage of two openings in the legalization program that resulted from Federal court rulings. The issue has led to allegations of fraud and Government foot-dragging.,A,13,The New York Times,[],"[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'IMMIGRATION AND NATURALIZATION SERVICE', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ILLEGAL ALIENS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Immigration and Emigration', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AMNESTIES', 'rank': 6, 'major': 'N'}]",1990-04-16T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/5b5784f5-638a-5dee-9cba-97ff294472a6,949,nyt://article/5b5784f5-638a-5dee-9cba-97ff294472a6,Fraud Charges Rise as Many Aliens Seek to Use '88 Rulings,,,Fraud Charges Rise as Many Aliens Seek to Use '88 Rulings,,,,By Marvine Howe,"[{'firstname': 'Marvine', 'middlename': None, 'lastname': 'Howe', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
7,"LEAD: THEY came to the United States from places like Thailand, Poland, Nigeria, Korea and Argentina. They came because the United States is still considered the land of opportunity, and many have settled and found work on Long Island.",https://www.nytimes.com/1987/06/14/nyregion/alien-amnesty-off-to-slow-start.html,"LEAD: THEY came to the United States from places like Thailand, Poland, Nigeria, Korea and Argentina. They came because the United States is still considered the land of opportunity, and many have settled and found work on Long Island.","LEAD: THEY came to the United States from places like Thailand, Poland, Nigeria, Korea and Argentina. They came because the United States is still considered the land of opportunity, and many have settled and found work on Long Island.",11LI,1,The New York Times,[],"[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Long Island (NY)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'IMMIGRATION AND NATURALIZATION SERVICE (US)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'METZ, VICKI', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Immigration and Emigration', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'ILLEGAL ALIENS', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Deportation', 'rank': 8, 'major': 'N'}]",1987-06-14T05:00:00+0000,article,Long Island Weekly Desk,New York,News,nyt://article/40e6ff2c-9dc0-5796-a577-f7fb2af6c406,1178,nyt://article/40e6ff2c-9dc0-5796-a577-f7fb2af6c406,ALIEN AMNESTY OFF TO SLOW START,,,ALIEN AMNESTY OFF TO SLOW START,,,,By Vicki Metz,"[{'firstname': 'Vicki', 'middlename': None, 'lastname': 'Metz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Long Island
8,"LEAD: Lawyers, real-estate agents, notaries public, travel agents and even some driving instructors have put up signs in recent weeks offering to help illegal aliens sort their way through the complexities of the new immigration law.",https://www.nytimes.com/1987/05/17/nyregion/illegal-aliens-learn-caveat-emptor.html,,"Lawyers, real-estate agents, notaries public, travel agents and even some driving instructors have put up signs in recent weeks offering to help illegal aliens sort their way through the complexities of the new immigration law.",1,50,The New York Times,[],"[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'ILLEGAL ALIENS', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'LAWYERS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Immigration and Emigration', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'FEES (PROFESSIONAL)', 'rank': 5, 'major': 'N'}]",1987-05-17T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/0ba0ec6f-a319-58e9-b646-eb17030983f8,1155,nyt://article/0ba0ec6f-a319-58e9-b646-eb17030983f8,ILLEGAL ALIENS LEARN 'CAVEAT EMPTOR',,,ILLEGAL ALIENS LEARN 'CAVEAT EMPTOR',,,,By Marvine Howe,"[{'firstname': 'Marvine', 'middlename': None, 'lastname': 'Howe', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
9,"  A gilded French 18th-century cabinet, used at Versailles during the reign of Louis XV, sold Sunday in Monte Carlo for 15 million French francs or about $1.6 million.   The ebony and mahogany cabinet, crafted by Guillaume Beneman, a master cabinetmaker, once was owned by Alphonse de Rothschild, of the French banking family.",https://www.nytimes.com/1984/11/13/arts/louis-xv-cabinet-fetches-1.6-million.html,,"A gilded French 18th-century cabinet, used at Versailles during the reign of Louis XV, sold Sunday in Monte Carlo for 15 million French francs or about $1.6 million.",C,20,The New York Times,[],"[{'name': 'glocations', 'value': 'France', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Paris (France)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ANTIQUES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Auctions', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Furniture', 'rank': 5, 'major': 'N'}]",1984-11-13T05:00:00+0000,article,Cultural Desk,Arts,News,nyt://article/9df6f471-69fd-5fab-8e85-81da393e9615,223,nyt://article/9df6f471-69fd-5fab-8e85-81da393e9615,Louis XV Cabinet Fetches $1.6 Million,,,Louis XV Cabinet Fetches $1.6 Million,,,,,[],,
